a0,loc0,lfw0,risk_proxy,quantile_level,risk_threshold,equality_tolerance,strictly_above_count,boundary_tie_count,high_risk_unique_path_count,high_risk_empirical_mass,high_risk_pareto_count,pareto_empirical_mass,empirical_weighting_mode,pareto_objectives
2,1,0,grid_max_wind_mps,0.95,20.7972926228444,2.07972926228444e-11,497,111,608,0.0811999999999998,3,0.0002,frequency/15000,path_probability_min_risk_max
2,1,0,grid_cumulative_excess_mps,0.95,0,1e-12,383,0,383,0.0268666666666666,6,0.0004,frequency/15000,path_probability_min_risk_max
2,1,0,road_max_wind_mps,0.95,20.7972926228444,2.07972926228444e-11,497,111,608,0.0811999999999998,3,0.0002,frequency/15000,path_probability_min_risk_max
2,1,0,road_cumulative_excess_mps,0.95,0,1e-12,134,0,134,0.00926666666666667,4,0.000266666666666667,frequency/15000,path_probability_min_risk_max
2,1,0,grid_max_wind_mps,0.99,28.5462838645292,2.85462838645292e-11,140,25,165,0.0116666666666667,3,0.0002,frequency/15000,path_probability_min_risk_max
2,1,0,grid_cumulative_excess_mps,0.99,65.8892634927125,6.58892634927125e-11,141,6,147,0.0102666666666667,6,0.0004,frequency/15000,path_probability_min_risk_max
2,1,0,road_max_wind_mps,0.99,28.5462838645292,2.85462838645292e-11,140,25,165,0.0116666666666667,3,0.0002,frequency/15000,path_probability_min_risk_max
2,1,0,road_cumulative_excess_mps,0.99,0,1e-12,134,0,134,0.00926666666666667,4,0.000266666666666667,frequency/15000,path_probability_min_risk_max
2,1,0,grid_max_wind_mps,0.995,36.8591512423487,3.68591512423487e-11,70,6,76,0.0052,2,0.000133333333333333,frequency/15000,path_probability_min_risk_max
2,1,0,grid_cumulative_excess_mps,0.995,224.944308396354,2.24944308396354e-10,73,1,74,0.00506666666666667,5,0.000333333333333333,frequency/15000,path_probability_min_risk_max
2,1,0,road_max_wind_mps,0.995,36.8591512423487,3.68591512423487e-11,70,6,76,0.0052,2,0.000133333333333333,frequency/15000,path_probability_min_risk_max
2,1,0,road_cumulative_excess_mps,0.995,73.751345462181,7.3751345462181e-11,71,13,84,0.00573333333333334,3,0.0002,frequency/15000,path_probability_min_risk_max
2,2,0,grid_max_wind_mps,0.95,20.7972926228444,2.07972926228444e-11,543,87,630,0.0756666666666664,5,0.000333333333333333,frequency/15000,path_probability_min_risk_max
2,2,0,grid_cumulative_excess_mps,0.95,0,1e-12,398,0,398,0.0273999999999999,4,0.000266666666666667,frequency/15000,path_probability_min_risk_max
2,2,0,road_max_wind_mps,0.95,20.7972926228444,2.07972926228444e-11,543,87,630,0.0756666666666664,5,0.000333333333333333,frequency/15000,path_probability_min_risk_max
2,2,0,road_cumulative_excess_mps,0.95,0,1e-12,139,0,139,0.0094,8,0.000533333333333334,frequency/15000,path_probability_min_risk_max
2,2,0,grid_max_wind_mps,0.99,29.0474711013738,2.90474711013738e-11,147,2,149,0.0100666666666667,5,0.000333333333333333,frequency/15000,path_probability_min_risk_max
2,2,0,grid_cumulative_excess_mps,0.99,70.1583738195259,7.01583738195259e-11,146,2,148,0.0100666666666667,4,0.000266666666666667,frequency/15000,path_probability_min_risk_max
2,2,0,road_max_wind_mps,0.99,29.0474711013738,2.90474711013738e-11,147,2,149,0.0100666666666667,5,0.000333333333333333,frequency/15000,path_probability_min_risk_max
2,2,0,road_cumulative_excess_mps,0.99,0,1e-12,139,0,139,0.0094,8,0.000533333333333334,frequency/15000,path_probability_min_risk_max
2,2,0,grid_max_wind_mps,0.995,36.8591512423487,3.68591512423487e-11,65,16,81,0.00553333333333333,3,0.0002,frequency/15000,path_probability_min_risk_max
