relative_path,bytes,sha256,lightweight
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/19_s4_grid_aware_recoverability/01_baseline_reproduction/baseline_cross_audit.csv,981,26b0558f1c689def6cd729e0aef33904947e5071313679acf1cfe34a1e48ec53,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/19_s4_grid_aware_recoverability/01_baseline_reproduction/baseline_path_identity_QA.csv,415,9fcec64f3f93ffda4943a29ee4bc66756d7a2481dfc8d6eaade61f01454151f7,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/19_s4_grid_aware_recoverability/01_baseline_reproduction/repository_preflight.csv,1033,c17dafcf2d6b0a8e19b0f63e723d808427429ea8e61b92b5d8a50e10a71e1467,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/19_s4_grid_aware_recoverability/02_effective_pmax/s4_125_hourly_effective_pmax.csv,146402,3bcbab6c789abaae563578ed430485270f461951cb0dca051293122b1f41bb92,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/19_s4_grid_aware_recoverability/02_effective_pmax/s4_125_hourly_effective_pmax_definition.md,1013,0598aec1ee0509792c4035162d88303e75411270bbe7557ed0122845db185411,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/19_s4_grid_aware_recoverability/03_grid_aware_recoverability/path_level_recovery_window_comparison.csv,1963,b03b38fb2da83471984ad7ba9ee6ecd8359f6acf716865398f010b0ce5ac2630,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/19_s4_grid_aware_recoverability/03_grid_aware_recoverability/s4_125_grid_aware_recovery_by_event.csv,13386,e9e70f4487a1dc650de20679d7c3c15e3a8e4ee71da0dbc6efdd9f999abdd16d,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/19_s4_grid_aware_recoverability/03_grid_aware_recoverability/s4_125_grid_aware_summary_by_checkpoint.csv,246,262e5014d2b583ba21bfd07ff2ec7c250dfa269670b3ad3f64804b3d0097e8a1,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/19_s4_grid_aware_recoverability/03_grid_aware_recoverability/s4_125_grid_aware_summary_by_failure_type.csv,268,a0a8c272fe8370af7e5efd44816046feacaa9a6c8165dcbd1ca15a384e0dbc49,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/19_s4_grid_aware_recoverability/04_voltage_clipping_severity/s4_voltage_clipping_severity.csv,821,d4425b023cfd8eddd4dc5540a8fb6da8bd617a7b154b4db458ccc52a4dac2f35,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/19_s4_grid_aware_recoverability/05_bus18_mechanism/bus18_recovery_loss_summary.csv,1115,567f0bbb3a566740245f63efc2dc4b1ae938cc578ff8a4383515bffd455b0e2d,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/19_s4_grid_aware_recoverability/06_tail_analysis/s4_125_grid_aware_tail_retention.csv,257,41e5285db8b7ed0fd0c239f02aa39cb92da3eabfcb9cbc8f341df072067c5a8f,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/19_s4_grid_aware_recoverability/07_workflow_gate/final_status.csv,563,a4efcd5d6b5a01dc16bf82d58820e059c50f5e25cb2fa8a83a45014ebe093ba3,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/19_s4_grid_aware_recoverability/07_workflow_gate/workflow_gate_evaluation.csv,503,7ec0103d5b5a3c75a3fc53801ba35d2e0ae2206e62d2f39d528857ec94b12d04,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/19_s4_grid_aware_recoverability/07_workflow_gate/workflow_gate_thresholds.csv,374,0877fe19a5956195d00b5b34234b0e47e314a7ec46f3361d001ce9216c89999c,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/19_s4_grid_aware_recoverability/08_summary/README.md,4050,73bb99d1ba48a60f97b7afce639afa0574336504082b5db5b3bbc2dcf4ca1bad,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/19_s4_grid_aware_recoverability/09_qa/independent_qa.csv,22690,4033914d6a294e99f2e46c74c838e1d05e979451c5dd81d3d890ea4cfc596202,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/19_s4_grid_aware_recoverability/09_qa/main_qa.csv,1494,8c6f06add7afc91a6997f31750aa8614dd4eae9828c1160c634683c6828c0006,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/19_s4_grid_aware_recoverability/09_qa/visual_audit.csv,814,5d58cc7323d63f9c8e8d434ccd8fef06fb5de6b7eee426b19bc31f4fea699d09,True
