check,observed,expected,tolerance,pass
accepted_raw_hashes_before,"{'path_summary/oos_path_summary.csv': '99ec55faba4e60e88b25d757deb1a8146515faf666d52979fe69c64362047502', 'path_summary/oos_stage_summary.csv': '969c373a9a2ff1b271cde6fda95a6fe8e64b10362518fe4b807c0dc86437c15d', 'path_summary/oos_stage_site_summary.csv': 'eab41bdf5d58fc971bc65af8c5745de3bd08cc25a0a4d44cc386aeba3f99c89e', 'hourly_site/oos_hour_site.csv': 'af3b3d5c4aa69e6d29b35a88008b4d82360c4b8391fc783141078f7ad68b0cda', 'grid_hourly/oos_hour_system.csv': 'b9eaa83ee3e8a720f3cb5afd5d54da050c2d3ef45c434efe74f8ba8b976b63c6'}","{'path_summary/oos_path_summary.csv': '99ec55faba4e60e88b25d757deb1a8146515faf666d52979fe69c64362047502', 'path_summary/oos_stage_summary.csv': '969c373a9a2ff1b271cde6fda95a6fe8e64b10362518fe4b807c0dc86437c15d', 'path_summary/oos_stage_site_summary.csv': 'eab41bdf5d58fc971bc65af8c5745de3bd08cc25a0a4d44cc386aeba3f99c89e', 'hourly_site/oos_hour_site.csv': 'af3b3d5c4aa69e6d29b35a88008b4d82360c4b8391fc783141078f7ad68b0cda', 'grid_hourly/oos_hour_system.csv': 'b9eaa83ee3e8a720f3cb5afd5d54da050c2d3ef45c434efe74f8ba8b976b63c6'}",exact,True
terminal_hash,2fa1958944110701239a109ebf46d959324a351f2f27c1c3fbd62f333066eaa8,2fa1958944110701239a109ebf46d959324a351f2f27c1c3fbd62f333066eaa8,exact,True
bank_identity,6bf3d1190a402ded052b8d3d08ed369042236e151f562bdd9fd4db7b8ff386c6/a186e8d4ac870082d0925a05311ab8f4c5a0b70cb61b6fd06955a48a647b3941,6bf3d1190a402ded052b8d3d08ed369042236e151f562bdd9fd4db7b8ff386c6/a186e8d4ac870082d0925a05311ab8f4c5a0b70cb61b6fd06955a48a647b3941,exact,True
path_stage7_shortfall_counts,10000/6124/473,10000/6124/473,exact,True
failure_partition,"{'PURE_SPATIAL_MISMATCH': 203, 'MIXED_QUANTITY_AND_SPATIAL': 152, 'PURE_QUANTITY_SHORTFALL': 118}",118/203/152,exact,True
no_padded_zero_hours,285888,285888,exact,True
formal_Pmax_identity,"{1: 300.0, 2: 200.0, 3: 120.0, 4: 150.0}","{1: 300.0, 2: 200.0, 3: 120.0, 4: 150.0}",exact,True
baseline_count_-16,70,70,exact,True
baseline_set_-16,d3bb0a3cc96be5aa4b849b45942edbd109add9212ec09d4f5522429155d6fe79,d3bb0a3cc96be5aa4b849b45942edbd109add9212ec09d4f5522429155d6fe79,exact,True
baseline_valid_n_-16,470,470,exact,True
baseline_count_-8,156,156,exact,True
baseline_set_-8,ae68498f4f24d95d36352bdfde96cc3f5055bc50a82eab9443eb40de693485ff,ae68498f4f24d95d36352bdfde96cc3f5055bc50a82eab9443eb40de693485ff,exact,True
baseline_valid_n_-8,473,473,exact,True
baseline_count_-4,167,167,exact,True
baseline_set_-4,084a0ac13d64ab7191220ac495ebe66b3713470797754bf2d76821053da5e98c,084a0ac13d64ab7191220ac495ebe66b3713470797754bf2d76821053da5e98c,exact,True
baseline_valid_n_-4,473,473,exact,True
baseline_all_qa,13,13,exact,True
baseline_missing_not_padded,3,3,exact,True
candidate_count_B0_-16,70,70,exact,True
candidate_set_B0_-16,d3bb0a3cc96be5aa4b849b45942edbd109add9212ec09d4f5522429155d6fe79,d3bb0a3cc96be5aa4b849b45942edbd109add9212ec09d4f5522429155d6fe79,exact,True
candidate_valid_n_B0_-16,470,470,exact,True
candidate_count_B0_-8,156,156,exact,True
candidate_set_B0_-8,ae68498f4f24d95d36352bdfde96cc3f5055bc50a82eab9443eb40de693485ff,ae68498f4f24d95d36352bdfde96cc3f5055bc50a82eab9443eb40de693485ff,exact,True
candidate_valid_n_B0_-8,473,473,exact,True
candidate_count_B0_-4,167,167,exact,True
candidate_set_B0_-4,084a0ac13d64ab7191220ac495ebe66b3713470797754bf2d76821053da5e98c,084a0ac13d64ab7191220ac495ebe66b3713470797754bf2d76821053da5e98c,exact,True
candidate_valid_n_B0_-4,473,473,exact,True
candidate_count_S1_125_-16,34,34,exact,True
candidate_set_S1_125_-16,9e4d7527c7d0b73ce623502fd730a6cab8961831cc6eccf4044ea93f6e06effa,9e4d7527c7d0b73ce623502fd730a6cab8961831cc6eccf4044ea93f6e06effa,exact,True
candidate_valid_n_S1_125_-16,470,470,exact,True
candidate_count_S1_125_-8,141,141,exact,True
candidate_set_S1_125_-8,a2506401e249f403b215ec90cc6f5dbae00c9c294e79d662b0127da4c23ccc07,a2506401e249f403b215ec90cc6f5dbae00c9c294e79d662b0127da4c23ccc07,exact,True
candidate_valid_n_S1_125_-8,473,473,exact,True
candidate_count_S1_125_-4,158,158,exact,True
candidate_set_S1_125_-4,f1af6a6ce2fa6c5db7edd9a31476b36b2939636e72facdf3acedfe72301457e1,f1af6a6ce2fa6c5db7edd9a31476b36b2939636e72facdf3acedfe72301457e1,exact,True
candidate_valid_n_S1_125_-4,473,473,exact,True
candidate_count_S2_125_-16,39,39,exact,True
candidate_set_S2_125_-16,b448a1a1956710e7274b164ce0ebb7bff4bc7b1fbeb4ecc2195494130969d0ce,b448a1a1956710e7274b164ce0ebb7bff4bc7b1fbeb4ecc2195494130969d0ce,exact,True
candidate_valid_n_S2_125_-16,470,470,exact,True
candidate_count_S2_125_-8,145,145,exact,True
candidate_set_S2_125_-8,764ec8e787cd5249c7ef60a45a806a96509f0945771c99b0e42adecd067bbde5,764ec8e787cd5249c7ef60a45a806a96509f0945771c99b0e42adecd067bbde5,exact,True
candidate_valid_n_S2_125_-8,473,473,exact,True
candidate_count_S2_125_-4,159,159,exact,True
candidate_set_S2_125_-4,9a690e7c1fffb0be8e9049a31f86b922090528f0a5177e7a3d4344e29c44af13,9a690e7c1fffb0be8e9049a31f86b922090528f0a5177e7a3d4344e29c44af13,exact,True
candidate_valid_n_S2_125_-4,473,473,exact,True
candidate_count_S3_125_-16,44,44,exact,True
candidate_set_S3_125_-16,2ad295133ad4aebf74745d7a46b8452f325390fa8322fa4feaa4abad087f0cd2,2ad295133ad4aebf74745d7a46b8452f325390fa8322fa4feaa4abad087f0cd2,exact,True
candidate_valid_n_S3_125_-16,470,470,exact,True
candidate_count_S3_125_-8,147,147,exact,True
candidate_set_S3_125_-8,e975d2b127a8e156a63ece02a58f2b5543eab4b7a598ce29f27abfbbc001e45b,e975d2b127a8e156a63ece02a58f2b5543eab4b7a598ce29f27abfbbc001e45b,exact,True
candidate_valid_n_S3_125_-8,473,473,exact,True
candidate_count_S3_125_-4,164,164,exact,True
candidate_set_S3_125_-4,5ea7d7edeea297441e8471137c88facd322212d3e3cc2a1a77ee21f3237f5b8c,5ea7d7edeea297441e8471137c88facd322212d3e3cc2a1a77ee21f3237f5b8c,exact,True
candidate_valid_n_S3_125_-4,473,473,exact,True
candidate_count_S4_125_-16,39,39,exact,True
candidate_set_S4_125_-16,b448a1a1956710e7274b164ce0ebb7bff4bc7b1fbeb4ecc2195494130969d0ce,b448a1a1956710e7274b164ce0ebb7bff4bc7b1fbeb4ecc2195494130969d0ce,exact,True
candidate_valid_n_S4_125_-16,470,470,exact,True
candidate_count_S4_125_-8,147,147,exact,True
candidate_set_S4_125_-8,e975d2b127a8e156a63ece02a58f2b5543eab4b7a598ce29f27abfbbc001e45b,e975d2b127a8e156a63ece02a58f2b5543eab4b7a598ce29f27abfbbc001e45b,exact,True
candidate_valid_n_S4_125_-8,473,473,exact,True
candidate_count_S4_125_-4,159,159,exact,True
candidate_set_S4_125_-4,9a690e7c1fffb0be8e9049a31f86b922090528f0a5177e7a3d4344e29c44af13,9a690e7c1fffb0be8e9049a31f86b922090528f0a5177e7a3d4344e29c44af13,exact,True
candidate_valid_n_S4_125_-4,473,473,exact,True
candidate_count_S1_150_-16,25,25,exact,True
candidate_set_S1_150_-16,e1d3e9586ef21d17296586fda8a94979b59bfa1050eb75541c8a02794f6abe3e,e1d3e9586ef21d17296586fda8a94979b59bfa1050eb75541c8a02794f6abe3e,exact,True
candidate_valid_n_S1_150_-16,470,470,exact,True
candidate_count_S1_150_-8,121,121,exact,True
candidate_set_S1_150_-8,216800e6661ada0b8026ee5a6002ba4caae76f1dbb50b1c41d5859ba972c6392,216800e6661ada0b8026ee5a6002ba4caae76f1dbb50b1c41d5859ba972c6392,exact,True
candidate_valid_n_S1_150_-8,473,473,exact,True
candidate_count_S1_150_-4,151,151,exact,True
candidate_set_S1_150_-4,e514fde807b556aad9388eaacbbe9776923fcf820a82e770a9f436a22c4c9ff9,e514fde807b556aad9388eaacbbe9776923fcf820a82e770a9f436a22c4c9ff9,exact,True
candidate_valid_n_S1_150_-4,473,473,exact,True
candidate_count_S2_150_-16,32,32,exact,True
candidate_set_S2_150_-16,b68ef328130489b94e2a40c16437152be43202c8593fbdd2d9a08572b23856ea,b68ef328130489b94e2a40c16437152be43202c8593fbdd2d9a08572b23856ea,exact,True
candidate_valid_n_S2_150_-16,470,470,exact,True
candidate_count_S2_150_-8,128,128,exact,True
candidate_set_S2_150_-8,96a4ebbc8bb8d23ca4f057a33c483cfdff670c9d9bdb3ac268ab2b7df0fe3ff6,96a4ebbc8bb8d23ca4f057a33c483cfdff670c9d9bdb3ac268ab2b7df0fe3ff6,exact,True
candidate_valid_n_S2_150_-8,473,473,exact,True
candidate_count_S2_150_-4,156,156,exact,True
candidate_set_S2_150_-4,4182cd7142cdaf3d620147a0346a5e3bf67a0e7b3a84f6faf98e55912cbb2cf9,4182cd7142cdaf3d620147a0346a5e3bf67a0e7b3a84f6faf98e55912cbb2cf9,exact,True
candidate_valid_n_S2_150_-4,473,473,exact,True
candidate_count_S3_150_-16,39,39,exact,True
candidate_set_S3_150_-16,b448a1a1956710e7274b164ce0ebb7bff4bc7b1fbeb4ecc2195494130969d0ce,b448a1a1956710e7274b164ce0ebb7bff4bc7b1fbeb4ecc2195494130969d0ce,exact,True
candidate_valid_n_S3_150_-16,470,470,exact,True
candidate_count_S3_150_-8,145,145,exact,True
candidate_set_S3_150_-8,764ec8e787cd5249c7ef60a45a806a96509f0945771c99b0e42adecd067bbde5,764ec8e787cd5249c7ef60a45a806a96509f0945771c99b0e42adecd067bbde5,exact,True
candidate_valid_n_S3_150_-8,473,473,exact,True
candidate_count_S3_150_-4,159,159,exact,True
candidate_set_S3_150_-4,9a690e7c1fffb0be8e9049a31f86b922090528f0a5177e7a3d4344e29c44af13,9a690e7c1fffb0be8e9049a31f86b922090528f0a5177e7a3d4344e29c44af13,exact,True
candidate_valid_n_S3_150_-4,473,473,exact,True
candidate_count_S4_150_-16,34,34,exact,True
