arrival_after_stage,arrival_label,path_count,mean_target_kg,mean_final_inventory_kg,adequate_probability,positive_gap_probability,gap_if_positive_kg,adequate_surplus_mean_kg,adequate_surplus_median_kg,mean_production_kg,mean_final16h_production_kg,mean_final8h_production_kg,mean_HTT_kg,ordinary_shortage_probability,ordinary_shortage_if_positive_kg,mean_ordinary_shortage_kg,mean_actual_operating_cost_yuan
2,after Stage2,80,6.77797891332,185.329548201,0.9625,0.0375,14.9461060096,185.37987917,182.014475204,117.195072997,117.195072997,3.31507299743,1.195137827,0,,0,29114.6471114
3,after Stage3,1149,22.0475194247,171.40619776,0.942558746736,0.0574412532637,46.7515511578,159.479161222,149.443112104,147.585622694,33.7056226937,24.1822788861,7.85505760988,0.0313315926893,37.7307916155,1.18216579474,51024.1819856
4,after Stage4,2613,41.3595450068,201.679645439,0.92039800995,0.0796019900498,48.0095675045,175.608077061,164.396048638,215.327772329,90.2722242706,60.0299592047,9.51216881586,0.0830463069269,32.8056969159,2.72439197503,60385.5220549
5,after Stage5,1841,49.5094690557,202.324425279,0.920152091255,0.0798479087452,43.7139376811,166.401597245,145.079651007,273.597826127,113.587464795,29.9734469685,14.3846568751,0.117327539381,39.1393527291,4.59212394867,81832.7825898
6,after Stage6,441,70.7200402837,220.255994122,0.888888888889,0.111111111111,41.753101162,167.553076948,142.106122248,336.225302901,74.1513089938,43.3879692926,22.0543144757,0.122448979592,44.0369692515,5.39228194916,104665.361548
