path_id,positive_target,first_system_total_adequate_relative_hour,first_all_sites_adequate_relative_hour,stable_all_sites_adequate_relative_hour,stable_preparation_bin,terminal_only_flag
1,False,-23,-23,-23,16-24h,False
3,False,-31,-31,-31,>24h,False
6,False,-23,-23,-23,16-24h,False
8,False,-39,-39,-39,>24h,False
9,False,-31,-31,-31,>24h,False
13,False,-23,-23,-23,16-24h,False
17,False,-31,-31,-31,>24h,False
19,True,-38,-37,-1,0-4h,False
22,False,-47,-47,-47,>24h,False
25,False,-39,-39,-39,>24h,False
27,True,-17,-5,-5,4-8h,False
28,True,-15,-10,-6,4-8h,False
29,True,-10,-4,-4,4-8h,False
30,False,-39,-39,-39,>24h,False
31,False,-31,-31,-31,>24h,False
33,False,-39,-39,-39,>24h,False
34,False,-39,-39,-39,>24h,False
37,False,-39,-39,-39,>24h,False
39,False,-39,-39,-39,>24h,False
41,False,-39,-39,-39,>24h,False
42,True,-38,-37,-14,8-16h,False
43,False,-31,-31,-31,>24h,False
44,False,-31,-31,-31,>24h,False
45,False,-31,-31,-31,>24h,False
46,False,-31,-31,-31,>24h,False
50,False,-39,-39,-39,>24h,False
53,False,-39,-39,-39,>24h,False
54,False,-31,-31,-31,>24h,False
57,False,-23,-23,-23,16-24h,False
59,False,-31,-31,-31,>24h,False
60,False,-39,-39,-39,>24h,False
62,False,-31,-31,-31,>24h,False
65,False,-23,-23,-23,16-24h,False
66,False,-39,-39,-39,>24h,False
68,False,-31,-31,-31,>24h,False
72,False,-39,-39,-39,>24h,False
73,False,-39,-39,-39,>24h,False
75,False,-31,-31,-31,>24h,False
77,True,-18,-8,-8,8-16h,False
78,False,-39,-39,-39,>24h,False
80,False,-31,-31,-31,>24h,False
81,False,-23,-23,-23,16-24h,False
83,False,-23,-23,-23,16-24h,False
84,False,-47,-47,-47,>24h,False
85,False,-31,-31,-31,>24h,False
86,False,-23,-23,-23,16-24h,False
89,False,-39,-39,-39,>24h,False
90,False,-31,-31,-31,>24h,False
91,True,-14,-2,-2,0-4h,False
92,False,-23,-23,-23,16-24h,False
94,False,-39,-39,-39,>24h,False
99,False,-39,-39,-39,>24h,False
104,False,-31,-31,-31,>24h,False
107,True,-23,-21,-4,4-8h,False
108,False,-39,-39,-39,>24h,False
112,False,-23,-23,-23,16-24h,False
114,False,-31,-31,-31,>24h,False
115,False,-39,-39,-39,>24h,False
116,True,-31,-31,-7,4-8h,False
117,False,-31,-31,-31,>24h,False
118,False,-15,-15,-15,8-16h,False
119,False,-31,-31,-31,>24h,False
122,False,-31,-31,-31,>24h,False
124,False,-23,-23,-23,16-24h,False
126,False,-23,-23,-23,16-24h,False
127,False,-47,-47,-47,>24h,False
129,False,-31,-31,-31,>24h,False
130,False,-31,-31,-31,>24h,False
131,False,-39,-39,-39,>24h,False
132,False,-31,-31,-31,>24h,False
133,False,-31,-31,-31,>24h,False
135,True,-23,-12,-12,8-16h,False
136,False,-31,-31,-31,>24h,False
137,False,-31,-31,-31,>24h,False
141,False,-39,-39,-39,>24h,False
143,False,-39,-39,-39,>24h,False
144,False,-31,-31,-31,>24h,False
146,False,-31,-31,-31,>24h,False
148,False,-31,-31,-31,>24h,False
150,False,-31,-31,-31,>24h,False
151,False,-31,-31,-31,>24h,False
157,False,-23,-23,-23,16-24h,False
160,False,-23,-23,-23,16-24h,False
161,False,-23,-23,-23,16-24h,False
162,False,-23,-23,-23,16-24h,False
164,False,-31,-31,-31,>24h,False
165,False,-31,-31,-31,>24h,False
166,False,-23,-23,-23,16-24h,False
167,False,-31,-31,-31,>24h,False
169,False,-39,-39,-39,>24h,False
172,False,-39,-39,-39,>24h,False
173,False,-39,-39,-39,>24h,False
174,False,-31,-31,-31,>24h,False
176,False,-39,-39,-39,>24h,False
177,False,-39,-39,-39,>24h,False
178,False,-39,-39,-39,>24h,False
180,False,-31,-31,-31,>24h,False
181,False,-39,-39,-39,>24h,False
187,False,-47,-47,-47,>24h,False
188,False,-15,-15,-15,8-16h,False
189,False,-47,-47,-47,>24h,False
193,True,-39,-29,-29,>24h,False
198,False,-31,-31,-31,>24h,False
199,False,-23,-23,-23,16-24h,False
203,False,-39,-39,-39,>24h,False
204,False,-47,-47,-47,>24h,False
205,False,-23,-23,-23,16-24h,False
208,True,-39,-39,-39,>24h,False
209,False,-23,-23,-23,16-24h,False
211,False,-39,-39,-39,>24h,False
213,True,-47,-45,-22,16-24h,False
217,False,-39,-39,-39,>24h,False
220,False,-39,-39,-39,>24h,False
221,False,-47,-47,-47,>24h,False
224,False,-31,-31,-31,>24h,False
225,True,-47,-2,-2,0-4h,False
228,True,-23,-23,-23,16-24h,False
229,False,-23,-23,-23,16-24h,False
231,False,-31,-31,-31,>24h,False
236,False,-23,-23,-23,16-24h,False
237,False,-31,-31,-31,>24h,False
239,False,-31,-31,-31,>24h,False
240,True,-39,-39,-39,>24h,False
241,False,-39,-39,-39,>24h,False
242,True,-38,-11,-11,8-16h,False
245,False,-23,-23,-23,16-24h,False
250,False,-31,-31,-31,>24h,False
251,False,-39,-39,-39,>24h,False
252,False,-31,-31,-31,>24h,False
254,False,-23,-23,-23,16-24h,False
255,False,-23,-23,-23,16-24h,False
256,False,-39,-39,-39,>24h,False
257,False,-39,-39,-39,>24h,False
262,True,-38,-37,-2,0-4h,False
264,False,-39,-39,-39,>24h,False
265,False,-47,-47,-47,>24h,False
266,False,-23,-23,-23,16-24h,False
269,False,-31,-31,-31,>24h,False
273,True,-30,-5,-5,4-8h,False
274,False,-31,-31,-31,>24h,False
275,False,-31,-31,-31,>24h,False
277,True,-39,-39,-39,>24h,False
278,False,-39,-39,-39,>24h,False
280,False,-31,-31,-31,>24h,False
283,False,-39,-39,-39,>24h,False
284,False,-23,-23,-23,16-24h,False
290,False,-31,-31,-31,>24h,False
292,False,-47,-47,-47,>24h,False
294,False,-39,-39,-39,>24h,False
295,True,-5,0,0,0-4h,True
297,False,-23,-23,-23,16-24h,False
302,True,-30,-29,-2,0-4h,False
305,True,-31,-31,-31,>24h,False
306,False,-31,-31,-31,>24h,False
307,False,-31,-31,-31,>24h,False
308,True,-30,-29,-4,4-8h,False
311,False,-31,-31,-31,>24h,False
314,False,-31,-31,-31,>24h,False
316,False,-47,-47,-47,>24h,False
318,False,-31,-31,-31,>24h,False
319,False,-23,-23,-23,16-24h,False
322,False,-23,-23,-23,16-24h,False
327,False,-31,-31,-31,>24h,False
328,False,-23,-23,-23,16-24h,False
329,False,-39,-39,-39,>24h,False
331,False,-31,-31,-31,>24h,False
332,False,-31,-31,-31,>24h,False
333,False,-39,-39,-39,>24h,False
334,False,-39,-39,-39,>24h,False
339,False,-23,-23,-23,16-24h,False
340,False,-23,-23,-23,16-24h,False
341,False,-23,-23,-23,16-24h,False
342,False,-31,-31,-31,>24h,False
345,False,-39,-39,-39,>24h,False
346,False,-31,-31,-31,>24h,False
347,False,-39,-39,-39,>24h,False
348,False,-31,-31,-31,>24h,False
349,False,-23,-23,-23,16-24h,False
350,False,-39,-39,-39,>24h,False
352,False,-31,-31,-31,>24h,False
355,False,-39,-39,-39,>24h,False
356,False,-39,-39,-39,>24h,False
357,False,-31,-31,-31,>24h,False
358,False,-47,-47,-47,>24h,False
359,False,-39,-39,-39,>24h,False
360,False,-31,-31,-31,>24h,False
364,False,-31,-31,-31,>24h,False
365,False,-47,-47,-47,>24h,False
367,False,-39,-39,-39,>24h,False
368,False,-23,-23,-23,16-24h,False
369,False,-31,-31,-31,>24h,False
370,True,-31,-31,-31,>24h,False
373,False,-47,-47,-47,>24h,False
374,False,-23,-23,-23,16-24h,False
375,False,-31,-31,-31,>24h,False
380,False,-39,-39,-39,>24h,False
381,False,-39,-39,-39,>24h,False
382,False,-23,-23,-23,16-24h,False
384,False,-39,-39,-39,>24h,False
385,False,-39,-39,-39,>24h,False
387,False,-31,-31,-31,>24h,False
388,True,-30,-1,-1,0-4h,False
389,False,-15,-15,-15,8-16h,False
390,True,-39,-39,-39,>24h,False
392,False,-39,-39,-39,>24h,False
393,False,-31,-31,-31,>24h,False
394,False,-31,-31,-31,>24h,False
395,False,-39,-39,-39,>24h,False
399,False,-39,-39,-39,>24h,False
401,True,-31,-29,-29,>24h,False
403,True,-10,-2,-2,0-4h,False
405,False,-23,-23,-23,16-24h,False
407,False,-15,-15,-15,8-16h,False
408,False,-47,-47,-47,>24h,False
409,False,-31,-31,-31,>24h,False
410,False,-31,-31,-31,>24h,False
411,False,-31,-31,-31,>24h,False
412,False,-31,-31,-31,>24h,False
413,True,-31,-5,-5,4-8h,False
414,False,-39,-39,-39,>24h,False
416,False,-39,-39,-39,>24h,False
417,False,-31,-31,-31,>24h,False
418,False,-31,-31,-31,>24h,False
420,False,-31,-31,-31,>24h,False
421,False,-47,-47,-47,>24h,False
422,True,-39,-37,-20,16-24h,False
423,False,-23,-23,-23,16-24h,False
424,False,-31,-31,-31,>24h,False
425,False,-31,-31,-31,>24h,False
426,True,-30,-19,-19,16-24h,False
429,False,-31,-31,-31,>24h,False
430,False,-31,-31,-31,>24h,False
431,False,-31,-31,-31,>24h,False
432,False,-31,-31,-31,>24h,False
437,False,-23,-23,-23,16-24h,False
438,False,-39,-39,-39,>24h,False
440,False,-31,-31,-31,>24h,False
441,False,-31,-31,-31,>24h,False
442,False,-31,-31,-31,>24h,False
444,False,-23,-23,-23,16-24h,False
445,False,-31,-31,-31,>24h,False
446,True,-31,-29,-2,0-4h,False
449,False,-31,-31,-31,>24h,False
450,False,-39,-39,-39,>24h,False
451,True,-30,-29,0,0-4h,True
453,False,-23,-23,-23,16-24h,False
454,False,-23,-23,-23,16-24h,False
455,False,-39,-39,-39,>24h,False
456,False,-23,-23,-23,16-24h,False
458,False,-39,-39,-39,>24h,False
460,False,-47,-47,-47,>24h,False
463,False,-31,-31,-31,>24h,False
466,False,-39,-39,-39,>24h,False
471,False,-39,-39,-39,>24h,False
474,False,-47,-47,-47,>24h,False
475,False,-31,-31,-31,>24h,False
476,False,-31,-31,-31,>24h,False
479,True,-46,0,0,0-4h,True
480,False,-31,-31,-31,>24h,False
482,False,-47,-47,-47,>24h,False
485,False,-31,-31,-31,>24h,False
489,False,-39,-39,-39,>24h,False
492,False,-39,-39,-39,>24h,False
493,False,-23,-23,-23,16-24h,False
494,False,-39,-39,-39,>24h,False
497,False,-39,-39,-39,>24h,False
499,False,-39,-39,-39,>24h,False
501,False,-31,-31,-31,>24h,False
505,False,-31,-31,-31,>24h,False
506,False,-23,-23,-23,16-24h,False
508,False,-31,-31,-31,>24h,False
509,True,-23,-2,-2,0-4h,False
514,False,-31,-31,-31,>24h,False
515,False,-15,-15,-15,8-16h,False
522,False,-39,-39,-39,>24h,False
523,False,-47,-47,-47,>24h,False
524,False,-31,-31,-31,>24h,False
526,False,-23,-23,-23,16-24h,False
527,False,-31,-31,-31,>24h,False
529,False,-39,-39,-39,>24h,False
530,False,-39,-39,-39,>24h,False
531,False,-31,-31,-31,>24h,False
533,False,-39,-39,-39,>24h,False
535,False,-31,-31,-31,>24h,False
536,False,-31,-31,-31,>24h,False
540,False,-31,-31,-31,>24h,False
541,False,-31,-31,-31,>24h,False
542,False,-31,-31,-31,>24h,False
543,False,-39,-39,-39,>24h,False
544,False,-39,-39,-39,>24h,False
545,False,-31,-31,-31,>24h,False
546,False,-31,-31,-31,>24h,False
548,False,-39,-39,-39,>24h,False
549,False,-39,-39,-39,>24h,False
553,False,-31,-31,-31,>24h,False
555,False,-47,-47,-47,>24h,False
557,False,-39,-39,-39,>24h,False
558,True,-39,-39,-39,>24h,False
559,True,-31,-31,-31,>24h,False
563,False,-31,-31,-31,>24h,False
565,False,-39,-39,-39,>24h,False
568,True,-31,-29,-5,4-8h,False
569,True,-38,-27,-27,>24h,False
572,False,-39,-39,-39,>24h,False
574,False,-31,-31,-31,>24h,False
576,False,-23,-23,-23,16-24h,False
580,False,-39,-39,-39,>24h,False
581,False,-31,-31,-31,>24h,False
582,False,-31,-31,-31,>24h,False
583,True,-23,-23,-23,16-24h,False
585,False,-23,-23,-23,16-24h,False
586,False,-47,-47,-47,>24h,False
587,False,-31,-31,-31,>24h,False
593,False,-31,-31,-31,>24h,False
594,False,-31,-31,-31,>24h,False
595,False,-31,-31,-31,>24h,False
596,False,-31,-31,-31,>24h,False
598,False,-31,-31,-31,>24h,False
599,False,-31,-31,-31,>24h,False
600,False,-23,-23,-23,16-24h,False
601,False,-31,-31,-31,>24h,False
602,False,-39,-39,-39,>24h,False
603,False,-39,-39,-39,>24h,False
605,False,-31,-31,-31,>24h,False
606,False,-23,-23,-23,16-24h,False
608,False,-31,-31,-31,>24h,False
610,False,-31,-31,-31,>24h,False
611,True,-31,-31,-31,>24h,False
613,False,-39,-39,-39,>24h,False
616,False,-31,-31,-31,>24h,False
620,False,-31,-31,-31,>24h,False
621,False,-47,-47,-47,>24h,False
622,False,-39,-39,-39,>24h,False
623,False,-31,-31,-31,>24h,False
624,False,-31,-31,-31,>24h,False
625,False,-31,-31,-31,>24h,False
626,False,-23,-23,-23,16-24h,False
628,False,-31,-31,-31,>24h,False
630,False,-31,-31,-31,>24h,False
631,False,-31,-31,-31,>24h,False
632,True,-14,0,0,0-4h,True
633,False,-23,-23,-23,16-24h,False
635,False,-31,-31,-31,>24h,False
637,False,-31,-31,-31,>24h,False
638,False,-31,-31,-31,>24h,False
639,False,-23,-23,-23,16-24h,False
640,False,-39,-39,-39,>24h,False
641,True,-31,-31,-31,>24h,False
644,False,-39,-39,-39,>24h,False
646,False,-39,-39,-39,>24h,False
647,False,-39,-39,-39,>24h,False
649,False,-31,-31,-31,>24h,False
650,False,-39,-39,-39,>24h,False
654,False,-31,-31,-31,>24h,False
655,False,-39,-39,-39,>24h,False
656,False,-23,-23,-23,16-24h,False
660,False,-31,-31,-31,>24h,False
661,False,-31,-31,-31,>24h,False
662,False,-23,-23,-23,16-24h,False
663,True,-31,-20,-20,16-24h,False
665,False,-23,-23,-23,16-24h,False
667,False,-31,-31,-31,>24h,False
672,False,-39,-39,-39,>24h,False
673,False,-23,-23,-23,16-24h,False
674,False,-31,-31,-31,>24h,False
675,False,-23,-23,-23,16-24h,False
680,False,-31,-31,-31,>24h,False
682,False,-31,-31,-31,>24h,False
684,True,-22,-2,-2,0-4h,False
685,False,-31,-31,-31,>24h,False
686,False,-31,-31,-31,>24h,False
689,False,-31,-31,-31,>24h,False
690,False,-31,-31,-31,>24h,False
691,False,-31,-31,-31,>24h,False
692,False,-39,-39,-39,>24h,False
694,False,-31,-31,-31,>24h,False
695,False,-31,-31,-31,>24h,False
696,False,-23,-23,-23,16-24h,False
697,False,-39,-39,-39,>24h,False
698,False,-39,-39,-39,>24h,False
700,True,-38,-27,-27,>24h,False
701,False,-39,-39,-39,>24h,False
702,False,-23,-23,-23,16-24h,False
703,False,-31,-31,-31,>24h,False
705,False,-39,-39,-39,>24h,False
706,False,-31,-31,-31,>24h,False
707,True,-47,-47,-47,>24h,False
708,False,-39,-39,-39,>24h,False
709,False,-23,-23,-23,16-24h,False
712,False,-39,-39,-39,>24h,False
717,True,-38,-27,-13,8-16h,False
718,False,-39,-39,-39,>24h,False
719,False,-31,-31,-31,>24h,False
722,False,-31,-31,-31,>24h,False
724,True,-47,-47,-47,>24h,False
725,False,-31,-31,-31,>24h,False
728,False,-39,-39,-39,>24h,False
729,False,-39,-39,-39,>24h,False
731,False,-31,-31,-31,>24h,False
732,False,-39,-39,-39,>24h,False
734,False,-39,-39,-39,>24h,False
735,True,-46,-45,0,0-4h,True
