candidate,iteration_id,iteration_budget,LB,UB_estimate,LB_increment,forward_sampled_objective,elapsed_seconds,iteration_runtime_s,forward_runtime_s,backward_runtime_s,cuts_before,cut_count,cuts_added,Stage1_production_kg,Stage1_site1_production_kg,Stage1_site2_production_kg,Stage1_site3_production_kg,Stage1_site4_production_kg,Stage1_end_inventory_kg,Stage1_site1_inventory_kg,Stage1_site2_inventory_kg,Stage1_site3_inventory_kg,Stage1_site4_inventory_kg,solver_status,warning_id,warning_message,numerical_finite,cut_violation_flag,scope
ARM-B1011,1,10,7666.68421740672,NOT_FORMALLY_AVAILABLE,NaN,47308.1057426305,35.4177076,35.4177246,0.1112929,35.2075054,0,1051,1051,142.35,58.5,31.2,23.4,29.25,269.977481134483,101.705355961593,68.8621752057055,44.6976415005701,54.7123084666148,OPTIMAL,,,1,1,FIXED_10_ITER_ENGINEERING_SMOKE
ARM-B1011,2,10,43137.7272357926,NOT_FORMALLY_AVAILABLE,35471.0430183859,35400.5303720669,79.6196423,43.7446233,0.0448806,43.5536587,1051,2102,1051,0,0,0,0,0,127.627481134483,43.2053559615926,37.6621752057055,21.2976415005701,25.4623084666148,OPTIMAL,,,1,1,FIXED_10_ITER_ENGINEERING_SMOKE
ARM-B1011,3,10,53066.1430291542,NOT_FORMALLY_AVAILABLE,9928.41579336167,77129.2933369726,132.2988869,52.3325117,0.1377915,52.0498907,2102,3153,1051,100.659309110619,48.4968091106188,15.6,14.625,21.9375,228.286790245102,91.7021650722114,53.2621752057055,35.9226415005701,47.3998084666148,OPTIMAL,,,1,1,FIXED_10_ITER_ENGINEERING_SMOKE
ARM-B1011,4,10,54086.8983721521,NOT_FORMALLY_AVAILABLE,1020.75534299789,77711.8332207311,185.5938055,53.0170486,0.1221449,52.7985217,3153,4204,1051,98.9625,43.875,15.6,17.55,21.9375,226.589981134483,87.0803559615926,53.2621752057055,38.8476415005701,47.3998084666148,OPTIMAL,,,1,1,FIXED_10_ITER_ENGINEERING_SMOKE
ARM-B1011,5,10,55355.1030520523,NOT_FORMALLY_AVAILABLE,1268.20467990015,246329.37117742,234.2674744,48.4475766,0.1349543,48.1769742,4204,5255,1051,102.8625,43.875,19.5,17.55,21.9375,230.489981134483,87.0803559615926,57.1621752057055,38.8476415005701,47.3998084666148,OPTIMAL,,,1,1,FIXED_10_ITER_ENGINEERING_SMOKE
ARM-B1011,6,10,55374.1813755369,NOT_FORMALLY_AVAILABLE,19.0783234845949,78448.156676642,283.5163963,49.0870992,0.1083181,48.8537774,5255,6306,1051,107.00625,51.1875,15.6,14.625,25.59375,234.633731134483,94.3928559615926,53.2621752057055,35.9226415005701,51.0560584666148,OPTIMAL,,,1,1,FIXED_10_ITER_ENGINEERING_SMOKE
ARM-B1011,7,10,55612.4837572282,NOT_FORMALLY_AVAILABLE,238.302381691356,9516.50952990673,330.85243,47.0841168,0.030589,46.9284949,6306,7357,1051,107.00625,51.1875,15.6,14.625,25.59375,234.633731134483,94.3928559615926,53.2621752057055,35.9226415005701,51.0560584666148,OPTIMAL,,,1,1,FIXED_10_ITER_ENGINEERING_SMOKE
ARM-B1011,8,10,55619.4858461061,NOT_FORMALLY_AVAILABLE,7.00208887788176,58220.4918812378,378.4070325,47.2791185,0.0904406,47.0571728,7357,8408,1051,117.73125,51.1875,23.4,17.55,25.59375,245.358731134483,94.3928559615926,61.0621752057055,38.8476415005701,51.0560584666148,OPTIMAL,,,1,1,FIXED_10_ITER_ENGINEERING_SMOKE
ARM-B1011,9,10,55740.0365444069,NOT_FORMALLY_AVAILABLE,120.550698300802,9713.64577990672,425.9932904,47.2794582,0.0325462,47.1193457,8408,9459,1051,117.73125,51.1875,23.4,17.55,25.59375,245.358731134483,94.3928559615926,61.0621752057055,38.8476415005701,51.0560584666148,OPTIMAL,,,1,1,FIXED_10_ITER_ENGINEERING_SMOKE
ARM-B1011,10,10,55743.1182680294,NOT_FORMALLY_AVAILABLE,3.08172362243931,9713.64577990672,473.4943627,47.2672122,0.0392606,47.1132492,9459,10510,1051,117.73125,51.1875,23.4,17.55,25.59375,245.358731134483,94.3928559615926,61.0621752057055,38.8476415005701,51.0560584666148,OPTIMAL,,,1,0,FIXED_10_ITER_ENGINEERING_SMOKE
