arm,path,filename,size,SHA256,role,generated_by,iteration,keep_local,commit_to_git
COMMON,C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\stage89q-pmax-dual-10iter-smoke\run-005\01_preflight,base_identity_matlab.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,process_log,Stage89Q Pmax smoke workflow,,True,False
COMMON,C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\stage89q-pmax-dual-10iter-smoke\run-005\01_preflight,base_identity_native_stdout.log,111,a8eb77e9748e570a05ed00b582eb5504ec4f6b5f4e9154784f702969f8f0fa0e,process_log,Stage89Q Pmax smoke workflow,,True,False
COMMON,C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\stage89q-pmax-dual-10iter-smoke\run-005\01_preflight,BASE_IDENTITY_PASS.txt,72,0f335459e92d92c37c68b4e4e06ca0c575079dd6b86483bc55e8cba4d1ce06af,diagnostic_or_QA,Stage89Q Pmax smoke workflow,,True,True
COMMON,C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\stage89q-pmax-dual-10iter-smoke\run-005\01_preflight,config-b0001_native_stdout.log,111,a8eb77e9748e570a05ed00b582eb5504ec4f6b5f4e9154784f702969f8f0fa0e,process_log,Stage89Q Pmax smoke workflow,,True,False
COMMON,C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\stage89q-pmax-dual-10iter-smoke\run-005\01_preflight,config-b1011_native_stdout.log,111,a8eb77e9748e570a05ed00b582eb5504ec4f6b5f4e9154784f702969f8f0fa0e,process_log,Stage89Q Pmax smoke workflow,,True,False
COMMON,C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\stage89q-pmax-dual-10iter-smoke\run-005\01_preflight,current_model_identity_gate.csv,576,0ce27647ea5d38cd43466820621ebc49b834db393db67abd9cd96949c6fbfb6d,diagnostic_or_QA,Stage89Q Pmax smoke workflow,,True,True
COMMON,C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\stage89q-pmax-dual-10iter-smoke\run-005\01_preflight,executable_commands.csv,1665,b2e02cf8f15a7494934c10f86f94e96e97ceab0c87bd12b986a16f343254014e,diagnostic_or_QA,Stage89Q Pmax smoke workflow,,True,True
COMMON,C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\stage89q-pmax-dual-10iter-smoke\run-005\01_preflight,executable_commands.txt,1624,eb4a10df09251217c4af4f93b8a2c4788a1aab4679aacc602f04a5bd054d8da5,diagnostic_or_QA,Stage89Q Pmax smoke workflow,,True,True
COMMON,C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\stage89q-pmax-dual-10iter-smoke\run-005\01_preflight,parameter_diff_base_vs_b0001.csv,2393,b2af3ae47ee4bb624d32e5fb33469344163ea4de07b0ee6fe9ba050c82580501,diagnostic_or_QA,Stage89Q Pmax smoke workflow,,True,True
COMMON,C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\stage89q-pmax-dual-10iter-smoke\run-005\01_preflight,parameter_diff_base_vs_b1011.csv,2393,9755833336a689e8a9d0afcb4e15ebfcd88a15be7df24c72717f7845ed5b2c2c,diagnostic_or_QA,Stage89Q Pmax smoke workflow,,True,True
COMMON,C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\stage89q-pmax-dual-10iter-smoke\run-005\01_preflight,phase_base_identity.csv,353,bfe208546a7eaf44be61e77532f442063f05fa8b6a210902d9a798d7e4d28ce3,diagnostic_or_QA,Stage89Q Pmax smoke workflow,,True,True
COMMON,C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\stage89q-pmax-dual-10iter-smoke\run-005\01_preflight,phase_config-b0001.csv,367,91bb590674b215e40b74ccb0e371c6270d9b3f98b18b0eb4739bad1ed45cd39c,diagnostic_or_QA,Stage89Q Pmax smoke workflow,,True,True
COMMON,C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\stage89q-pmax-dual-10iter-smoke\run-005\01_preflight,phase_config-b1011.csv,367,2b6cfb7b86bf61765e27db11b46d7ffe2b395b9f87e2dad208220f7559c2a5d8,diagnostic_or_QA,Stage89Q Pmax smoke workflow,,True,True
