site,baseline_Pmax_kw,shortage_frequency,shortage_q95_kg,surplus_occurrence,electrolyzer_mean_util,electrolyzer_ge90_fraction,electrolyzer_ge95_fraction,electrolyzer_ge99_fraction,near_max_ratio,recovered_paths_S125_16h,recovered_paths_S125_8h,recovered_paths_S125_4h,recovered_paths_S150_16h,recovered_paths_S150_8h,recovered_paths_S150_4h,source_scope
1,300,0.524312896406,63.7592378661,0.437632135307,0.740010864767,0.735068710359,0.734408033827,0.734011627907,0.733747357294,36,15,9,45,35,16,"previous mechanism deep dive; 473 shortfall paths, final16h utilization"
2,200,0.441860465116,82.777744336,0.545454545455,0.66048321973,0.656976744186,0.656844608879,0.656712473573,0.656712473573,31,11,8,38,28,11,"previous mechanism deep dive; 473 shortfall paths, final16h utilization"
3,120,0.642706131078,28.840976838,0.323467230444,0.625965555059,0.583113107822,0.582320295983,0.582188160677,0.582188160677,26,9,3,31,11,8,"previous mechanism deep dive; 473 shortfall paths, final16h utilization"
4,150,0.672304439746,73.960108757,0.315010570825,0.754914939169,0.753171247357,0.752510570825,0.751717758985,0.751717758985,31,9,8,36,15,9,"previous mechanism deep dive; 473 shortfall paths, final16h utilization"
