subset,candidate,window_start_relative_hour,path_id,stage,global_hour,relative_hour,profile_id,requested_increment_from_realized_kw,grid_hostable_increment_kw,grid_hosting_ratio,full_to_candidate_hostable,resulting_min_voltage_pu,voltage_margin_pu,critical_bus,critical_branch_id,critical_branch_from,critical_branch_to,max_true_s_mva,max_true_s_utilization,max_octagon_utilization,voltage_limited_flag,branch_limited_flag,substation_limited_flag,site3_plus30_hostable,site3_voltage_limited_flag,site3_max_additional_hosting_kw,site1_full_to_candidate_hostable,site1_voltage_limited_flag,site1_hosting_ratio,site2_full_to_candidate_hostable,site2_voltage_limited_flag,site2_hosting_ratio,site3_full_to_candidate_hostable,site3_hosting_ratio,site4_full_to_candidate_hostable,site4_voltage_limited_flag,site4_hosting_ratio
BASE_UNRECOVERABLE_-16H,S4_125,-16,825,1,8,-16,8,37.5,37.5,1,YES,0.935040296279,0.0350402962792,33,1,1,2,3.51710903473,0.586184839122,0.605375227791,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,6065,1,8,-16,8,37.5,37.5,1,YES,0.935040296279,0.0350402962792,33,1,1,2,3.51710903473,0.586184839122,0.605375227791,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,8245,1,8,-16,8,37.5,37.5,1,YES,0.935040296279,0.0350402962792,33,1,1,2,3.51710903473,0.586184839122,0.605375227791,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,152,2,16,-16,26,187.5,187.5,1,YES,0.926051161147,0.0260511611468,33,1,1,2,3.81596747025,0.635994578375,0.67176969161,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,467,2,16,-16,26,187.5,187.5,1,YES,0.926051161147,0.0260511611468,33,1,1,2,3.81596747025,0.635994578375,0.67176969161,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,488,2,16,-16,26,187.5,187.5,1,YES,0.926051161147,0.0260511611468,33,1,1,2,3.81596747025,0.635994578375,0.67176969161,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,801,2,16,-16,26,187.5,187.5,1,YES,0.926051161147,0.0260511611468,33,1,1,2,3.81596747025,0.635994578375,0.67176969161,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,1165,2,16,-16,26,187.5,187.5,1,YES,0.926051161147,0.0260511611468,33,1,1,2,3.81596747025,0.635994578375,0.67176969161,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,1320,2,16,-16,26,187.5,187.5,1,YES,0.926051161147,0.0260511611468,33,1,1,2,3.81596747025,0.635994578375,0.67176969161,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,2000,2,16,-16,26,187.5,187.5,1,YES,0.926051161147,0.0260511611468,33,1,1,2,3.81596747025,0.635994578375,0.67176969161,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
