objective_version,decision_label,eta,T1_kg,T2_kg,T3_kg,T4_kg,TerminalLOH_total_kg,capacity_binding_count,inventory_cost_coefficient,shortage_penalty_coefficient,C_y_primary,TerminalLOH_total_change_from_historical_same_method_kg
historical_gamma_2_M_2000_plus_Cy,SAA,0,294.589913536808,138.832065024684,93.0093009300931,150,676.431279491585,1,2,2000,True,0
historical_gamma_2_M_2000_plus_Cy,ETA_0.003,0.003,299.211738691929,137.483280118695,94.3580963878466,150,681.05311519847,1,2,2000,True,0
historical_gamma_2_M_2000_plus_Cy,ETA_0.01,0.01,300,143.468150246686,100,150,693.468150246686,3,2,2000,True,0
unified_yuan_shortage_only_primary,SAA,0,222.840465864768,119.193737555574,36.003600360036,133.376974061042,511.41477784142,0,32.5213675213675,1283.205,False,-165.016501650165
unified_yuan_shortage_only_primary,ETA_0.003,0.003,225.290752999455,121.925712142017,41.4625527230357,137.464508019752,526.143525884259,0,32.5213675213675,1283.205,False,-154.909589314211
unified_yuan_shortage_only_primary,ETA_0.01,0.01,226.65914750245,121.966076719698,44.4140410940083,139.650354720371,532.689620036528,0,32.5213675213675,1283.205,False,-160.778530210158
