audit_scope,case_id,decision_label,eta,primary_group_sum_yuan,secondary_group_sum_service_distance,secondary_expected_service_distance,shortage_preservation_error_kg,primary_objective_preservation_error_yuan,max_demand_balance_error,max_site_capacity_violation,primary_reconstruction_error_yuan,secondary_reconstruction_error,primary_status,secondary_status,maximum_mechanical_residual,lexicographic_pass,validation_id,dataset_label,decision_id,C_y_in_primary_objective,C_y_in_Pearson_loss,validation_reoptimized_T,source_step,dataset_scope,distribution_label,seed_id
optimization_grouped_nominal,1,SAA,0,118416900,12636595.9142917,870.214187151427,8.70414851306123e-14,1.49011611938477e-08,9.85878045867139e-14,2.41584530158434e-13,1.29640102386475e-05,3.42726707458496e-07,OPTIMAL,OPTIMAL,2.41584530158434e-13,1,,,,,,,,,,
optimization_grouped_nominal,2,ETA_0.003,0.003,111868063.757316,12683398.7450578,873.35450444203,5.6843418860808e-14,0,3.5527136788005e-15,2.8421709430404e-13,1.82092189788818e-05,2.98023223876953e-07,OPTIMAL,OPTIMAL,2.8421709430404e-13,1,,,,,,,,,,
optimization_grouped_nominal,3,ETA_0.01,0.01,109246382.058146,12700310.7270843,874.490304742031,5.6843418860808e-14,0,3.5527136788005e-15,1.98951966012828e-13,1.72704458236694e-05,1.564621925354e-07,OPTIMAL,OPTIMAL,1.98951966012828e-13,1,,,,,,,,,,
fixed_T_validation,,SAA,0,,,,8.5265128291212e-14,0,5.32907051820075e-15,6.82121026329696e-13,1.55419111251831e-05,2.64868140220642e-06,OPTIMAL,OPTIMAL,6.82121026329696e-13,1,1,nominal,1,0,0,0,C1,state19-nominal,nominal,
fixed_T_validation,,ETA_0.003,0.003,,,,5.6843418860808e-14,0,3.5527136788005e-15,2.41584530158434e-13,1.78813934326172e-05,3.84636223316193e-06,OPTIMAL,OPTIMAL,2.93608320073058e-13,1,1,nominal,2,0,0,0,C1,state19-nominal,nominal,
fixed_T_validation,,ETA_0.01,0.01,,,,4.2632564145606e-14,0,3.5527136788005e-15,2.27373675443232e-13,1.9073486328125e-05,3.87988984584808e-06,OPTIMAL,OPTIMAL,2.95782951113269e-13,1,1,nominal,3,0,0,0,C1,state19-nominal,nominal,
fixed_T_validation,,SAA,0,,,,5.6843418860808e-14,0,4.2632564145606e-14,7.105427357601e-13,1.10864639282227e-05,2.96719372272491e-06,OPTIMAL,OPTIMAL,7.105427357601e-13,1,2,independent-path-C2-dataset-1,1,0,0,0,C2,independent-path,independent-path-nominal,1
fixed_T_validation,,ETA_0.003,0.003,,,,9.2370555648813e-14,0,3.5527136788005e-15,2.55795384873636e-13,1.61826610565186e-05,3.00444662570953e-06,OPTIMAL,OPTIMAL,2.55795384873636e-13,1,2,independent-path-C2-dataset-1,2,0,0,0,C2,independent-path,independent-path-nominal,1
fixed_T_validation,,ETA_0.01,0.01,,,,7.8159700933611e-14,0,3.5527136788005e-15,3.12638803734444e-13,1.72853469848633e-05,3.18139791488647e-06,OPTIMAL,OPTIMAL,3.12638803734444e-13,1,2,independent-path-C2-dataset-1,3,0,0,0,C2,independent-path,independent-path-nominal,1
fixed_T_validation,,SAA,0,,,,8.5265128291212e-14,0,5.32907051820075e-15,6.82121026329696e-13,1.60634517669678e-05,4.09409403800964e-06,OPTIMAL,OPTIMAL,6.82121026329696e-13,1,3,independent-path-C2-dataset-2,1,0,0,0,C2,independent-path,independent-path-nominal,2
fixed_T_validation,,ETA_0.003,0.003,,,,7.105427357601e-14,0,1.77635683940025e-15,2.27373675443232e-13,1.78068876266479e-05,3.90410423278809e-06,OPTIMAL,OPTIMAL,2.97210373143145e-13,1,3,independent-path-C2-dataset-2,2,0,0,0,C2,independent-path,independent-path-nominal,2
fixed_T_validation,,ETA_0.01,0.01,,,,8.5265128291212e-14,0,3.5527136788005e-15,1.56319401867222e-13,1.40219926834106e-05,3.92459332942963e-06,OPTIMAL,OPTIMAL,2.98405808150469e-13,1,3,independent-path-C2-dataset-2,3,0,0,0,C2,independent-path,independent-path-nominal,2
fixed_T_validation,,SAA,0,,,,1.13686837721616e-13,0,5.32907051820075e-15,7.105427357601e-13,1.54078006744385e-05,3.33227217197418e-06,OPTIMAL,OPTIMAL,7.105427357601e-13,1,4,independent-path-C2-dataset-3,1,0,0,0,C2,independent-path,independent-path-nominal,3
fixed_T_validation,,ETA_0.003,0.003,,,,8.5265128291212e-14,0,3.5527136788005e-15,1.4210854715202e-13,1.6137957572937e-05,4.45917248725891e-06,OPTIMAL,OPTIMAL,3.40690428243148e-13,1,4,independent-path-C2-dataset-3,2,0,0,0,C2,independent-path,independent-path-nominal,3
fixed_T_validation,,ETA_0.01,0.01,,,,8.5265128291212e-14,0,3.5527136788005e-15,1.4210854715202e-13,1.50501728057861e-05,4.89130616188049e-06,OPTIMAL,OPTIMAL,3.73341896002972e-13,1,4,independent-path-C2-dataset-3,3,0,0,0,C2,independent-path,independent-path-nominal,3
fixed_T_validation,,SAA,0,,,,9.2370555648813e-14,0,5.32907051820075e-15,6.53699316899292e-13,1.32471323013306e-05,3.55765223503113e-06,OPTIMAL,OPTIMAL,6.53699316899292e-13,1,5,seed001-nominal,1,0,0,0,C3,markov-perturbation,nominal,1
fixed_T_validation,,ETA_0.003,0.003,,,,5.6843418860808e-14,0,3.5527136788005e-15,1.4210854715202e-13,1.79708003997803e-05,3.30246984958649e-06,OPTIMAL,OPTIMAL,2.51069789202039e-13,1,5,seed001-nominal,2,0,0,0,C3,markov-perturbation,nominal,1
fixed_T_validation,,ETA_0.01,0.01,,,,2.8421709430404e-14,0,3.5527136788005e-15,1.4210854715202e-13,1.56015157699585e-05,3.33599746227264e-06,OPTIMAL,OPTIMAL,2.53417451228124e-13,1,5,seed001-nominal,3,0,0,0,C3,markov-perturbation,nominal,1
fixed_T_validation,,SAA,0,,,,8.5265128291212e-14,0,5.50670620214078e-14,6.82121026329696e-13,1.75833702087402e-05,5.77419996261597e-08,OPTIMAL,OPTIMAL,6.82121026329696e-13,1,6,seed001-intensity-only,1,0,0,0,C3,markov-perturbation,intensity-only,1
fixed_T_validation,,ETA_0.003,0.003,,,,8.5265128291212e-14,5.96046447753906e-08,3.5527136788005e-15,3.12638803734444e-13,3.45706939697266e-06,5.34579157829285e-07,OPTIMAL,OPTIMAL,3.12638803734444e-13,1,6,seed001-intensity-only,2,0,0,0,C3,markov-perturbation,intensity-only,1
fixed_T_validation,,ETA_0.01,0.01,,,,8.5265128291212e-14,0,3.5527136788005e-15,2.8421709430404e-13,2.47955322265625e-05,3.39001417160034e-07,OPTIMAL,OPTIMAL,2.8421709430404e-13,1,6,seed001-intensity-only,3,0,0,0,C3,markov-perturbation,intensity-only,1
fixed_T_validation,,SAA,0,,,,5.6843418860808e-14,0,5.59552404411079e-14,6.53699316899292e-13,7.61449337005615e-06,1.9315630197525e-06,OPTIMAL,OPTIMAL,6.53699316899292e-13,1,7,seed001-location-only,1,0,0,0,C3,markov-perturbation,location-only,1
fixed_T_validation,,ETA_0.003,0.003,,,,6.03961325396085e-14,0,3.5527136788005e-15,1.70530256582424e-13,1.29640102386475e-05,1.84029340744019e-06,OPTIMAL,OPTIMAL,1.70530256582424e-13,1,7,seed001-location-only,2,0,0,0,C3,markov-perturbation,location-only,1
fixed_T_validation,,ETA_0.01,0.01,,,,5.6843418860808e-14,0,1.77635683940025e-15,1.70530256582424e-13,1.39325857162476e-05,2.07684934139252e-06,OPTIMAL,OPTIMAL,1.70530256582424e-13,1,7,seed001-location-only,3,0,0,0,C3,markov-perturbation,location-only,1
fixed_T_validation,,SAA,0,,,,1.13686837721616e-13,2.98023223876953e-08,2.75335310107039e-14,6.25277607468888e-13,2.99811363220215e-05,1.91107392311096e-06,OPTIMAL,OPTIMAL,6.25277607468888e-13,1,8,seed001-lfw-only,1,0,0,0,C3,markov-perturbation,lfw-only,1
fixed_T_validation,,ETA_0.003,0.003,,,,8.5265128291212e-14,0,3.5527136788005e-15,2.27373675443232e-13,1.06841325759888e-05,1.81794166564941e-06,OPTIMAL,OPTIMAL,2.27373675443232e-13,1,8,seed001-lfw-only,2,0,0,0,C3,markov-perturbation,lfw-only,1
fixed_T_validation,,ETA_0.01,0.01,,,,7.8159700933611e-14,0,3.5527136788005e-15,2.55795384873636e-13,1.12205743789673e-05,2.03214585781097e-06,OPTIMAL,OPTIMAL,2.55795384873636e-13,1,8,seed001-lfw-only,3,0,0,0,C3,markov-perturbation,lfw-only,1
fixed_T_validation,,SAA,0,,,,8.5265128291212e-14,0,9.05941988094128e-14,6.53699316899292e-13,2.40504741668701e-05,1.96322798728943e-06,OPTIMAL,OPTIMAL,6.53699316899292e-13,1,9,seed001-combined-mild,1,0,0,0,C3,markov-perturbation,combined-mild,1
fixed_T_validation,,ETA_0.003,0.003,,,,8.5265128291212e-14,0,3.5527136788005e-15,2.27373675443232e-13,8.67247581481934e-06,1.95764005184174e-06,OPTIMAL,OPTIMAL,2.27373675443232e-13,1,9,seed001-combined-mild,2,0,0,0,C3,markov-perturbation,combined-mild,1
fixed_T_validation,,ETA_0.01,0.01,,,,8.5265128291212e-14,0,3.5527136788005e-15,2.8421709430404e-13,2.86102294921875e-06,2.04518437385559e-06,OPTIMAL,OPTIMAL,2.8421709430404e-13,1,9,seed001-combined-mild,3,0,0,0,C3,markov-perturbation,combined-mild,1
fixed_T_validation,,SAA,0,,,,9.9475983006414e-14,0,7.28306304154103e-14,6.82121026329696e-13,5.76972961425781e-05,1.05798244476318e-06,OPTIMAL,OPTIMAL,6.82121026329696e-13,1,10,seed001-combined-medium,1,0,0,0,C3,markov-perturbation,combined-medium,1
fixed_T_validation,,ETA_0.003,0.003,,,,8.5265128291212e-14,0,3.5527136788005e-15,3.41060513164848e-13,4.38094139099121e-05,1.49756669998169e-06,OPTIMAL,OPTIMAL,3.41060513164848e-13,1,10,seed001-combined-medium,2,0,0,0,C3,markov-perturbation,combined-medium,1
fixed_T_validation,,ETA_0.01,0.01,,,,8.5265128291212e-14,0,3.5527136788005e-15,2.55795384873636e-13,3.21269035339355e-05,8.27014446258545e-07,OPTIMAL,OPTIMAL,2.55795384873636e-13,1,10,seed001-combined-medium,3,0,0,0,C3,markov-perturbation,combined-medium,1
fixed_T_validation,,SAA,0,,,,1.13686837721616e-13,0,6.92779167366098e-14,6.82121026329696e-13,0.0003976821899414,3.43844294548035e-06,OPTIMAL,OPTIMAL,7.23967303577813e-13,1,11,seed001-combined-strong,1,0,0,0,C3,markov-perturbation,combined-strong,1
fixed_T_validation,,ETA_0.003,0.003,,,,1.13686837721616e-13,0,3.5527136788005e-15,2.41584530158434e-13,0.0002404451370239,3.40119004249573e-06,OPTIMAL,OPTIMAL,4.541094805112e-13,1,11,seed001-combined-strong,2,0,0,0,C3,markov-perturbation,combined-strong,1
fixed_T_validation,,ETA_0.01,0.01,,,,1.13686837721616e-13,0,3.5527136788005e-15,2.55795384873636e-13,9.98973846435547e-05,3.78862023353577e-06,OPTIMAL,OPTIMAL,2.55795384873636e-13,1,11,seed001-combined-strong,3,0,0,0,C3,markov-perturbation,combined-strong,1
fixed_T_validation,,SAA,0,,,,5.6843418860808e-14,0,3.73034936274053e-14,7.105427357601e-13,1.59293413162231e-05,4.39956784248352e-06,OPTIMAL,OPTIMAL,7.105427357601e-13,1,12,seed002-nominal,1,0,0,0,C3,markov-perturbation,nominal,2
