case_id,decision_label,eta,T1_kg,T2_kg,T3_kg,T4_kg,TerminalLOH_total_kg,T1_capacity_binding,T2_capacity_binding,T3_capacity_binding,T4_capacity_binding,capacity_binding_count,c_H2_yuan_per_kg,production_cost_yuan,M_H2_yuan_per_kg,nominal_mean_shortage_kg,nominal_mean_EENS_kWh,nominal_mean_unserved_cost_yuan,nominal_mean_economic_total_yuan,nominal_expected_recourse_yuan,nominal_worst_recourse_yuan,robust_primary_objective_yuan,secondary_expected_service_distance,secondary_group_sum_service_distance,optimization_runtime_sec,lex_primary_runtime_sec,lex_secondary_runtime_sec,case_total_runtime_sec,solver_status,audit_status,case_pass,TerminalLOH_total_kg_change_vs_SAA,production_cost_yuan_change_vs_SAA,nominal_mean_shortage_kg_change_vs_SAA,nominal_mean_EENS_kWh_change_vs_SAA,nominal_mean_economic_total_yuan_change_vs_SAA
1,SAA,0,222.840465864768,119.193737555574,36.003600360036,133.376974061042,511.41477784142,0,0,0,0,0,32.5213675213675,16631.9079460394,1283.205,6.18716417096257,113.42,7939.40000000003,24571.3079460394,7939.39999999999,7939.40000000001,24571.3079460414,870.214187151427,12636595.9142917,7.9363428,3.4684796,5.044548,22.3434876,OPTIMAL,PASS,1,0,0,0,0,0
2,ETA_0.003,0.003,225.290752999455,121.925712142017,41.4625527230357,137.464508019752,526.143525884259,0,0,0,0,0,32.5213675213675,17110.9069742702,1283.205,5.84005744654416,107.057013081324,7493.9909156927,24604.8978899629,7493.99091569267,9060.70687151548,26171.6138457859,873.35450444203,12683398.7450578,233.8626016,3.4747594,4.3152353,246.8947191,OPTIMAL,PASS,1,14.728748042839,478.999028230803,-0.347106724418411,-6.362986918676,33.5899439235
3,ETA_0.01,0.01,226.65914750245,121.966076719698,44.4140410940083,139.650354720371,532.689620036528,0,0,0,0,0,32.5213675213675,17323.7949080255,1283.205,5.7007977250189,104.504173496184,7315.29214473287,24639.0870527584,7315.29214473283,10125.1898213706,27448.9847293963,874.490304742031,12700310.7270843,225.6217194,3.6613221,5.1747505,239.951312,OPTIMAL,PASS,1,21.274842195108,691.8869619861,-0.486366445943671,-8.91582650381601,67.779106719001
