validation_id,source_step,dataset_scope,dataset_label,seed_id,distribution_id,distribution_label,weighting_interpretation,decision_id,decision_label,eta,T1_kg,T2_kg,T3_kg,T4_kg,TerminalLOH_total_kg,T1_capacity_binding,T2_capacity_binding,T3_capacity_binding,T4_capacity_binding,capacity_binding_count,sample_count,c_H2_yuan_per_kg,production_cost_yuan,M_H2_yuan_per_kg,mean_shortage_kg,shortage_q95_kg,shortage_q99_kg,shortage_q995_kg,shortage_CVaR95_kg,shortage_CVaR99_kg,shortage_CVaR995_kg,maximum_shortage_kg,mean_EENS_kWh,EENS_q95_kWh,EENS_q99_kWh,EENS_q995_kWh,EENS_CVaR95_kWh,EENS_CVaR99_kWh,EENS_CVaR995_kWh,maximum_EENS_kWh,mean_unserved_cost_yuan,mean_economic_total_yuan,mean_electricity_service_rate,zero_shortage_service_share,mean_secondary_service_distance,primary_runtime_sec,secondary_runtime_sec,maximum_mechanical_residual,solver_status,validation_pass,TerminalLOH_total_kg_change_vs_SAA,production_cost_yuan_change_vs_SAA,mean_shortage_kg_change_vs_SAA,mean_EENS_kWh_change_vs_SAA,mean_unserved_cost_yuan_change_vs_SAA,mean_economic_total_yuan_change_vs_SAA,mean_electricity_service_rate_change_vs_SAA,shortage_q95_kg_change_vs_SAA,shortage_q99_kg_change_vs_SAA,shortage_q995_kg_change_vs_SAA,shortage_CVaR995_kg_change_vs_SAA,maximum_shortage_kg_change_vs_SAA,restored_energy_increment_vs_SAA_kWh,economic_increment_per_additional_restored_kWh,cost_per_restored_kWh_status
1,C1,state19-nominal,nominal,,,nominal,EMPIRICAL_EQUAL_WEIGHT_PROBABILITY_1_OVER_15000,1,SAA,0,222.840465864768,119.193737555574,36.003600360036,133.376974061042,511.41477784142,0,0,0,0,0,15000,32.5213675213675,16631.9079460393,1283.205,6.18716417096256,45.8227640945913,113.738646591932,157.379374301067,91.7166815495781,170.215094959225,207.749243823904,343.12522161307,113.42,840,2085,2885,1681.30434782609,3120.29801324504,3808.3552631579,6290,7939.40000000001,24571.3079460394,0.984463424308349,0.853266666666667,870.214187151423,3.8814794,4.7039433,6.82121026329696e-13,OPTIMAL,1,0,0,0,0,0,0,0,0,0,0,0,0,-0,,undefined_near_zero_restored_energy
1,C1,state19-nominal,nominal,,,nominal,EMPIRICAL_EQUAL_WEIGHT_PROBABILITY_1_OVER_15000,2,ETA_0.003,0.003,225.290752999455,121.925712142017,41.4625527230357,137.464508019752,526.14352588426,0,0,0,0,0,15000,32.5213675213675,17110.9069742702,1283.205,5.84005744654413,42.5497095164062,108.560169134824,154.379074271063,86.8835166586462,166.066108988717,204.307457824906,334.934294663627,107.057013081324,780,1990.07074049502,2830,1592.70518562797,3044.24087692667,3745.26216311726,6139.84802262629,7493.99091569267,24604.8978899635,0.985092098101346,0.854733333333333,873.354504442026,3.7018763,4.5793153,2.93608320073058e-13,OPTIMAL,1,14.72874804284,478.999028230901,-0.347106724418429,-6.362986918676,-445.40908430734,33.5899439241002,0.000628673792997025,-3.2730545781851,-5.178477457108,-3.00030003000401,-3.441785998998,-8.190926949443,6.362986918676,5.27895850697263,defined
1,C1,state19-nominal,nominal,,,nominal,EMPIRICAL_EQUAL_WEIGHT_PROBABILITY_1_OVER_15000,3,ETA_0.01,0.01,226.65914750245,121.966076719698,44.4140410940083,139.650354720371,532.689620036527,0,0,0,0,0,15000,32.5213675213675,17323.7949080255,1283.205,5.70079772501889,42.004200420042,104.965563353529,151.105993641738,85.1321740751948,164.539755199253,202.853336813053,331.942441714974,104.504173496184,770,1924.17622461521,2769.99952244352,1560.60044905943,3016.2605224351,3718.60594378848,6085.00287029805,7315.29214473286,24639.0870527595,0.985342949545042,0.855266666666667,874.490304742027,3.8250955,4.8836111,2.95782951113269e-13,OPTIMAL,1,21.274842195107,691.886961986198,-0.48636644594367,-8.91582650381601,-624.10785526715,67.7791067200997,0.000879525236692991,-3.8185636745493,-8.77308323840299,-6.27338065932901,-4.895907010851,-11.182779898096,8.91582650381601,7.60211144654844,defined
2,C2,independent-path,independent-path-C2-dataset-1,1,,independent-path-nominal,SEPARATE_EMPIRICAL_PROBABILITY_1_OVER_15000,1,SAA,0,222.840465864768,119.193737555574,36.003600360036,133.376974061042,511.41477784142,0,0,0,0,0,15000,32.5213675213675,16631.9079460393,1283.205,6.24777023156862,43.3679731609527,122.466792133759,172.653628999263,93.8217535589658,178.296577400064,213.688832998132,322.395875951232,114.531,795.000000000004,2244.99999999999,3165,1719.89347536618,3268.44370860927,3917.23684210527,5910.00000000001,8017.17,24649.0779460393,0.984616406601363,0.852,882.102363546631,4.111554,4.7465039,7.105427357601e-13,OPTIMAL,1,0,0,0,0,0,0,0,0,0,0,0,0,-0,,undefined_near_zero_restored_energy
2,C2,independent-path,independent-path-C2-dataset-1,1,,independent-path-nominal,SEPARATE_EMPIRICAL_PROBABILITY_1_OVER_15000,2,ETA_0.003,0.003,225.290752999455,121.925712142017,41.4625527230357,137.464508019752,526.14352588426,0,0,0,0,0,15000,32.5213675213675,17110.9069742702,1283.205,5.92622302842283,40.9176860262657,120.557510296484,165.834765294711,89.3834011571748,175.036364344575,210.567289157104,318.308341992522,108.636557445533,750.08256139049,2210,3040,1638.53181831275,3208.67911298258,3860.01426118345,5835.06937123592,7604.55902118732,24715.4659954581,0.985204513916339,0.852733333333333,884.505271785075,3.811624,4.6039956,2.55795384873636e-13,OPTIMAL,1,14.72874804284,478.999028230901,-0.321547203145791,-5.89444255446701,-412.610978812681,66.3880494188015,0.00058810731497605,-2.450287134687,-1.909281837275,-6.818863704552,-3.121543841028,-4.08753395870997,5.89444255446701,11.2628206663055,defined
2,C2,independent-path,independent-path-C2-dataset-1,1,,independent-path-nominal,SEPARATE_EMPIRICAL_PROBABILITY_1_OVER_15000,3,ETA_0.01,0.01,226.65914750245,121.966076719698,44.4140410940083,139.650354720371,532.689620036527,0,0,0,0,0,15000,32.5213675213675,17323.7949080255,1283.205,5.7950192777053,39.5492915232707,119.193737555574,164.743747101983,87.5762482220609,173.60281359472,209.303806990241,316.122495291903,106.231395889255,724.997837558837,2185,3020,1605.40399428271,3182.39997741162,3836.8527378416,5794.99952244352,7436.19771224782,24759.9926202745,0.985443141500431,0.853466666666667,885.480138298035,3.7052569,4.328483,3.12638803734444e-13,OPTIMAL,1,21.274842195107,691.886961986198,-0.452750953863321,-8.29960411074501,-580.97228775218,110.914674235202,0.000826734899068038,-3.818681637682,-3.273054578185,-7.90988189728,-4.38502600789101,-6.27338065932895,8.29960411074501,13.3638511855773,defined
3,C2,independent-path,independent-path-C2-dataset-2,2,,independent-path-nominal,SEPARATE_EMPIRICAL_PROBABILITY_1_OVER_15000,1,SAA,0,222.840465864768,119.193737555574,36.003600360036,133.376974061042,511.41477784142,0,0,0,0,0,15000,32.5213675213675,16631.9079460393,1283.205,5.99699969997001,42.5497095164062,110.192837465565,145.923683277419,89.2851662602408,162.572548645593,199.803473170284,363.854567274909,109.934,780,2020,2675.00000000001,1636.7310252996,2980.19867549669,3662.69736842106,6670,7695.38,24327.2879460394,0.984880342379176,0.854133333333333,872.861836046885,3.6694807,4.4482276,6.82121026329696e-13,OPTIMAL,1,0,0,0,0,0,0,0,0,0,0,0,0,-0,,undefined_near_zero_restored_energy
3,C2,independent-path,independent-path-C2-dataset-2,2,,independent-path-nominal,SEPARATE_EMPIRICAL_PROBABILITY_1_OVER_15000,2,ETA_0.003,0.003,225.290752999455,121.925712142017,41.4625527230357,137.464508019752,526.14352588426,0,0,0,0,0,15000,32.5213675213675,17110.9069742702,1283.205,5.66173418037365,40.9131797863073,108.560169134824,141.832365054687,84.5001911144667,159.088213075441,196.257735732386,361.122592688466,103.788080127519,749.999955252692,1990.07074049502,2600,1549.01525341484,2916.32557799246,3597.69868257824,6619.91880786862,7265.16560892638,24376.0725831972,0.985488751611272,0.855733333333333,875.721842298721,3.6296041,4.480365,2.97210373143145e-13,OPTIMAL,1,14.72874804284,478.999028230901,-0.335265519596359,-6.145919872481,-430.21439107362,48.7846371578016,0.000608409232096041,-1.6365297300989,-1.63266833074101,-4.09131822273201,-3.545737437898,-2.73197458644302,6.145919872481,7.93772749564145,defined
3,C2,independent-path,independent-path-C2-dataset-2,2,,independent-path-nominal,SEPARATE_EMPIRICAL_PROBABILITY_1_OVER_15000,3,ETA_0.01,0.01,226.65914750245,121.966076719698,44.4140410940083,139.650354720371,532.689620036527,0,0,0,0,0,15000,32.5213675213675,17323.7949080255,1283.205,5.52628969725342,39.5494094864032,104.965563353529,140.195837765595,82.5397380957667,157.777041806975,194.784999977817,361.082228110785,101.305179585201,725,1924.17622461521,2570,1513.07720890255,2892.28984188457,3570.70122709335,6619.17886461286,7091.36257096407,24415.1574789907,0.985732764179465,0.856466666666667,876.791095042556,3.8252066,4.5326204,2.98405808150469e-13,OPTIMAL,1,21.274842195107,691.886961986198,-0.47071000271659,-8.62882041479899,-604.01742903593,87.8695329512993,0.000852421800288994,-3.000300030003,-5.227274112036,-5.727845511824,-5.01847319246701,-2.77233916412399,8.62882041479899,10.1832612949734,defined
4,C2,independent-path,independent-path-C2-dataset-3,3,,independent-path-nominal,SEPARATE_EMPIRICAL_PROBABILITY_1_OVER_15000,1,SAA,0,222.840465864768,119.193737555574,36.003600360036,133.376974061042,511.41477784142,0,0,0,0,0,15000,32.5213675213675,16631.9079460393,1283.205,6.01674712925839,43.6407277091345,105.283255598287,139.650328669231,88.2137602454111,154.398943807686,191.549059212141,330.578512396694,110.296,800,1930,2560,1617.09054593875,2830.3642384106,3511.38157894737,6060,7720.72000000001,24352.6279460394,0.984963733859861,0.854466666666667,869.955571562662,3.5755081,4.4816565,7.105427357601e-13,OPTIMAL,1,0,0,0,0,0,0,0,0,0,0,0,0,-0,,undefined_near_zero_restored_energy
