dataset_scope,distribution_label,decision_label,eta,evaluation_cell_count,inventory_increment_kg,production_cost_increment_yuan,economic_increment_min_yuan,economic_increment_mean_yuan,economic_increment_max_yuan,EENS_change_min_kWh,EENS_change_mean_kWh,EENS_change_max_kWh,shortage_q95_change_mean_kg,maximum_shortage_change_mean_kg,economic_not_above_SAA_count,resilience_improvement_count
fixed-pressure,fixed-pressure,ETA_0.003,0.003,1,14.72874804284,478.999028230901,-1989.31570717902,-1989.31570717902,-1989.31570717902,-35.2616390772801,-35.2616390772801,-35.2616390772801,-4.913443266635,0,1,1
fixed-pressure,fixed-pressure,ETA_0.01,0.01,1,21.274842195107,691.886961986198,-2829.31525823701,-2829.31525823701,-2829.31525823701,-50.3028888603403,-50.3028888603403,-50.3028888603403,-7.86493163760804,0,1,1
independent-path,independent-path-nominal,ETA_0.003,0.003,3,14.72874804284,478.999028230901,32.5025010745994,49.2250625504009,66.3880494188015,-6.378521816526,-6.139628081158,-5.89444255446701,-2.183299434135,-4.09282030271767,0,3
independent-path,independent-path-nominal,ETA_0.01,0.01,3,21.274842195107,691.886961986198,66.0839641687999,88.2893904517671,110.914674235202,-8.940042825977,-8.622822450507,-8.29960411074501,-3.5458484474114,-5.81872018580831,0,3
markov-perturbation,combined-medium,ETA_0.003,0.003,3,14.72874804284,478.999028230901,-425.025374799799,-398.226060646998,-383.343004249495,-12.914634329019,-12.5317869839783,-12.319171892579,-4.4549668692,-1.81965078766632,3,3
markov-perturbation,combined-medium,ETA_0.01,0.01,3,21.274842195107,691.886961986198,-588.3642112085,-547.850099319798,-522.846827048197,-18.28930247425,-17.7105294472663,-17.35333984338,-6.3792520231077,-2.80348024465733,3,3
markov-perturbation,combined-mild,ETA_0.003,0.003,3,14.72874804284,478.999028230901,-147.976737375098,-118.625436308598,-101.6972492514,-8.95679665153398,-8.53749235058333,-8.29566110690999,-5.6367389076773,-2.73030898314767,3,3
markov-perturbation,combined-mild,ETA_0.01,0.01,3,21.274842195107,691.886961986198,-192.760024958297,-147.399469509332,-121.509585020398,-12.637814099244,-11.9898061642587,-11.619950671561,-6.54610915637033,-2.81846366454833,3,3
markov-perturbation,combined-strong,ETA_0.003,0.003,3,14.72874804284,478.999028230901,-875.084480860001,-858.711740662167,-842.497286093698,-19.344050129787,-19.1101538412447,-18.8785187759751,-4.00021161858466,0,3,3
markov-perturbation,combined-strong,ETA_0.01,0.01,3,21.274842195107,691.886961986198,-1228.7570848967,-1198.47174031177,-1170.2932870226,-27.437772098282,-27.0051243184953,-26.602574985787,-6.16744013415799,0,3,3
markov-perturbation,intensity-only,ETA_0.003,0.003,3,14.72874804284,478.999028230901,-224.105771194496,-200.508255239498,-178.711128626899,-10.04435427753,-9.70724690674433,-9.39585938370601,-3.8185636745497,-3.63930157533332,3,3
markov-perturbation,intensity-only,ETA_0.01,0.01,3,21.274842195107,691.886961986198,-303.013868121801,-266.603429530199,-233.4432928686,-14.212869001594,-13.692719878856,-13.219003640833,-5.25827986201017,-5.60696048931466,3,3
markov-perturbation,lfw-only,ETA_0.003,0.003,3,14.72874804284,478.999028230901,-137.2621912426,-102.644315172067,-77.1070014957004,-8.803731706775,-8.30919062005267,-7.94437185324701,-1.1819363754559,-4.54995977081433,3,3
markov-perturbation,lfw-only,ETA_0.01,0.01,3,21.274842195107,691.886961986198,-177.352537194598,-126.238694145866,-88.756877428601,-12.417707131173,-11.6875093733337,-11.1520548488,-1.1819363754559,-6.45513878118665,3,3
markov-perturbation,location-only,ETA_0.003,0.003,3,14.72874804284,478.999028230901,10.4791297340998,24.8790467101984,33.5239074799974,-6.69314140710601,-6.48742830744634,-6.363930296448,0,-2.73030898314767,0,3
markov-perturbation,location-only,ETA_0.01,0.01,3,21.274842195107,691.886961986198,32.7020885174024,56.7375403820661,71.8514288112965,-9.41692676385601,-9.07356316578833,-8.857650473942,-0.909177639574899,-3.72759329936567,0,3
markov-perturbation,nominal,ETA_0.003,0.003,3,14.72874804284,478.999028230901,36.2626687308002,61.6573705337323,81.7384763375994,-6.324805135723,-5.962023681395,-5.675150741339,-2.63662729909363,-2.73030898314767,0,3
markov-perturbation,nominal,ETA_0.01,0.01,3,21.274842195107,691.886961986198,69.6461331418977,107.927907263365,137.556674142899,-8.889154697788,-8.34227221033807,-7.919004112058,-3.00029584230433,-3.72759329936567,0,3
state19-nominal,nominal,ETA_0.003,0.003,1,14.72874804284,478.999028230901,33.5899439241002,33.5899439241002,33.5899439241002,-6.362986918676,-6.362986918676,-6.362986918676,-3.2730545781851,-8.190926949443,0,1
state19-nominal,nominal,ETA_0.01,0.01,1,21.274842195107,691.886961986198,67.7791067200997,67.7791067200997,67.7791067200997,-8.91582650381601,-8.91582650381601,-8.91582650381601,-3.8185636745493,-11.182779898096,0,1
