"process_label","process_type","exit_code","started_at","ended_at","runtime_sec","log_path","pass"
"prepare","MATLAB","0","2026-08-02T23:10:56.0639862+08:00","2026-08-02T23:11:07.9398055+08:00","11.8758193","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\51-unified-economic-terminal-loh\run-003\process_logs\prepare.txt","True"
"opt-001","MATLAB","0","2026-08-02T23:11:07.9595663+08:00","2026-08-02T23:11:37.6997654+08:00","29.7401991","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\51-unified-economic-terminal-loh\run-003\process_logs\opt-001.txt","True"
"opt-002","MATLAB","0","2026-08-02T23:11:37.7025991+08:00","2026-08-02T23:15:55.6485601+08:00","257.945961","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\51-unified-economic-terminal-loh\run-003\process_logs\opt-002.txt","True"
"opt-003","MATLAB","0","2026-08-02T23:15:55.6498184+08:00","2026-08-02T23:20:04.3280799+08:00","248.6782615","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\51-unified-economic-terminal-loh\run-003\process_logs\opt-003.txt","True"
"validation-001","MATLAB","0","2026-08-02T23:20:04.3293150+08:00","2026-08-02T23:20:41.9701353+08:00","37.6408203","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\51-unified-economic-terminal-loh\run-003\process_logs\validation-001.txt","True"
"validation-002","MATLAB","0","2026-08-02T23:20:41.9717052+08:00","2026-08-02T23:21:19.5652701+08:00","37.5935649","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\51-unified-economic-terminal-loh\run-003\process_logs\validation-002.txt","True"
"validation-003","MATLAB","0","2026-08-02T23:21:19.5663874+08:00","2026-08-02T23:21:54.9280342+08:00","35.3616468","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\51-unified-economic-terminal-loh\run-003\process_logs\validation-003.txt","True"
"validation-004","MATLAB","0","2026-08-02T23:21:54.9290555+08:00","2026-08-02T23:22:32.3797148+08:00","37.4506593","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\51-unified-economic-terminal-loh\run-003\process_logs\validation-004.txt","True"
"validation-005","MATLAB","0","2026-08-02T23:22:32.3807123+08:00","2026-08-02T23:23:08.7286957+08:00","36.3479834","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\51-unified-economic-terminal-loh\run-003\process_logs\validation-005.txt","True"
"validation-006","MATLAB","0","2026-08-02T23:23:08.7297236+08:00","2026-08-02T23:23:50.1943718+08:00","41.4646482","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\51-unified-economic-terminal-loh\run-003\process_logs\validation-006.txt","True"
