decision_label,eta,TerminalLOH_total_kg,c_H2_yuan_per_kg,production_cost_yuan,mean_shortage_kg,M_H2_yuan_per_kg,mean_unserved_cost_yuan,mean_economic_total_yuan,production_cost_yuan_change_vs_SAA,mean_unserved_cost_yuan_change_vs_SAA,mean_economic_total_yuan_change_vs_SAA
SAA,0,511.41477784142,32.5213675213675,16631.9079460393,6.18716417096256,1283.205,7939.40000000001,24571.3079460394,0,0,0
ETA_0.003,0.003,526.14352588426,32.5213675213675,17110.9069742702,5.84005744654413,1283.205,7493.99091569267,24604.8978899635,478.999028230901,-445.40908430734,33.5899439241002
ETA_0.01,0.01,532.689620036527,32.5213675213675,17323.7949080255,5.70079772501889,1283.205,7315.29214473286,24639.0870527595,691.886961986198,-624.10785526715,67.7791067200997
