group,relative_hour,actual_n,mean_HTT_kg,median_HTT_kg,q95_HTT_kg,mean_utilization
surplus_gt100,-12,520,0.811617788769,0,0,0.00636078934282
surplus_gt100,-11,520,1.19321160438,0,5.10574487145,0.00982933863666
surplus_gt100,-10,520,0.602581885999,0,0,0.00482911915387
surplus_gt100,-9,520,1.68740233618,0,12.395027764,0.0135616893565
surplus_gt100,-8,520,14.6867519415,12.0753777631,42.1340833048,0.129177391966
surplus_gt100,-7,520,1.13217433327,0,8.8047510412,0.0105947218746
surplus_gt100,-6,520,0.877146840424,0,6.82097442469,0.00845695833019
surplus_gt100,-5,520,1.5685268153,0,11.5433316002,0.0134685568975
surplus_gt100,-4,520,0.415905993047,0,0,0.00403220578498
surplus_gt100,-3,520,1.0608069009,0,7.43739037577,0.0103144972959
surplus_gt100,-2,520,1.1989984974,0,8.95624988933,0.0116002788802
surplus_gt100,-1,520,2.33973968206,0,16.5115008828,0.0219204851531
surplus_gt200,-24,312,5.1808381258,0,36.6684241779,0.039440506917
surplus_gt200,-23,312,0.08102728784,0,0,0.000655257641959
surplus_gt200,-22,312,0.522778961156,0,0,0.0039198633225
surplus_gt200,-21,312,0.523870702218,0,1.54710161165,0.00402332689425
surplus_gt200,-20,312,0.642983238892,0,0,0.00466686960991
surplus_gt200,-19,312,0.756448884124,0,0,0.00592496630374
surplus_gt200,-18,312,0.222913909811,0,0,0.00175513252005
surplus_gt200,-17,312,0.790735401957,0,2.39203546461,0.00607569997416
surplus_gt200,-16,312,13.7945045692,6.6360864747,50.6780871866,0.1116911606
surplus_gt200,-15,312,0.183724268196,0,0,0.00148097219643
surplus_gt200,-14,312,1.02868076352,0,1.00504652273,0.00878795422337
surplus_gt200,-13,312,0.640906981136,0,1.54710161165,0.0049774171999
surplus_gt200,-12,312,1.1957078614,0,1.95899106708,0.00934366700907
surplus_gt200,-11,312,1.615728608,0,9.37693000978,0.01327684485
surplus_gt200,-10,312,0.598229041504,0,0,0.00484415265415
surplus_gt200,-9,312,1.77967642859,0,12.6347584101,0.0142096314097
surplus_gt200,-8,312,15.6301589886,11.9275691369,44.2951806493,0.14168281571
surplus_gt200,-7,312,1.16794999215,0,6.72120405208,0.0114924928473
surplus_gt200,-6,312,0.930808677644,0,7.38468822764,0.008742517488
surplus_gt200,-5,312,1.52507078051,0,11.8427299212,0.0130138528439
surplus_gt200,-4,312,0.46886186525,0,0,0.00489511359903
surplus_gt200,-3,312,0.830305548521,0,5.41345722127,0.00826625642131
surplus_gt200,-2,312,1.25105776257,0,8.81394464537,0.0122954579703
surplus_gt200,-1,312,2.56210609906,0,17.2797203712,0.0243794592238
