group,path_count,mean_real_hour_count,mean_first_HTT_hour_gt0,mean_first_meaningful_HTT_hour_ge1kg,mean_first_meaningful_HTT_hour_ge5kg,mean_peak_HTT_hour,mean_peak_HTT_kg,mean_last_HTT_hour,mean_final16h_HTT_kg,mean_final8h_HTT_kg,mean_final4h_HTT_kg,mean_cumulative_HTT_by_-24h_kg,mean_cumulative_HTT_by_-16h_kg,mean_cumulative_HTT_by_-8h_kg,mean_cumulative_HTT_by_-4h_kg,mean_cumulative_HTT_by_0h_kg
mixed,152,34.6315789474,-12.9635036496,-12.4732824427,-13.1188118812,-12.4407894737,21.5129515365,-5.86861313869,34.2685525336,20.5443211383,4.58338844219,0,3.12904772192,16.8532791172,32.8142118133,37.3976002555
positive_target_adequate,650,36.0369230769,-14.2126245847,-13.9815745394,-13.5865051903,-12.6876923077,25.5467604186,-5.3803986711,37.5352212478,22.0427123721,4.76827258082,0.225856388282,6.25704093933,21.7495498151,39.0239896063,43.7922621871
pure_location,203,35.6650246305,-15.4858757062,-15.0229885057,-14.7295597484,-14.1379310345,29.4155511773,-5.17514124294,43.2674350872,24.2718381026,7.9015057906,0.0156608849265,8.84579424685,27.8413912314,44.2117235435,52.1132293341
surplus_gt100,520,36.3076923077,-14.7972166998,-14.5239043825,-14.2654320988,-12.2115384615,28.0209070258,-5.3041749503,41.4355973952,23.2800510039,5.01545107342,0.282320485353,6.93914770941,25.0946941007,43.3592940312,48.3747451046
surplus_gt200,312,37.1282051282,-15.8246753247,-15.5895765472,-15.0360655738,-12.6891025641,31.4511570709,-5.35714285714,45.2034782358,24.3663197143,5.1123312754,0.470534142255,9.19213065405,30.0292891756,49.2832776145,54.3956088899
