group,relative_hour,path_count_available,real_hour_count,mean_utilization,median_utilization,q95_utilization,mean_HTT_kg,mean_capacity_kg,binding_fraction
all_paths,-24,7905,7905,0.00496401200231,0,0,0.660107510605,153.580607813,0
all_paths,-16,8922,8922,0.0143204230319,0,0.126177046264,1.83874646296,148.010260352,0
all_paths,-8,10000,10000,0.0209898072513,0,0.147753629745,2.51654622771,142.445954286,0
all_paths,-4,10000,10000,0.000691762725949,0,0,0.0763208442879,142.445954286,0
all_paths,-2,10000,10000,0.00140299318237,0,0,0.153516313697,142.445954286,0
all_paths,-1,10000,10000,0.00535660522535,0,0.0350267693361,0.662978976258,142.445954286,0
positive_target_adequate,-24,650,650,0.0276601092544,0,0.243114818069,3.63500815121,148.063472527,0
positive_target_adequate,-16,650,650,0.0841563970793,0.00299146749608,0.357634534883,10.4908387173,134.914285714,0
positive_target_adequate,-8,650,650,0.122332185379,0.0981671971155,0.363949514097,13.9945894078,117.443223443,0
positive_target_adequate,-4,650,650,0.00455145646676,0,0,0.475754329328,117.443223443,0
positive_target_adequate,-2,650,650,0.00965744736253,0,0.0541341759689,0.988577134296,117.443223443,0
positive_target_adequate,-1,650,650,0.0214409522476,0,0.158413370023,2.3138994639,117.443223443,0
positive_target_shortfall,-24,470,470,0.0242872337769,0,0.244030292462,3.19185417945,149.530699088,0
positive_target_shortfall,-16,473,473,0.0750799336529,0,0.317456340568,9.54377095572,137.870290949,0
positive_target_shortfall,-8,473,473,0.112650457864,0.0626931397437,0.388196368617,12.6707656801,122.001328904,0
positive_target_shortfall,-4,473,473,0.00628317531907,0,0,0.6837932403,122.001328904,0
positive_target_shortfall,-2,473,473,0.0116905246082,0,0.0570533581557,1.27361746137,122.001328904,0
positive_target_shortfall,-1,473,473,0.0224281899723,0,0.142026489101,2.47727973924,122.001328904,0
pure_quantity,-24,118,118,0.00315246564476,0,0,0.42173180149,152.743825666,0
pure_quantity,-16,118,118,0.0377024100338,0,0.246627117062,5.02067344835,142.269572236,0
pure_quantity,-8,118,118,0.105307975735,0.0835441143031,0.309310204138,12.1105153752,125.5031477,0
pure_quantity,-4,118,118,0.00289583499823,0,0,0.322678756945,125.5031477,0
pure_quantity,-2,118,118,0.00470064722645,0,0.014216570475,0.586112793645,125.5031477,0
pure_quantity,-1,118,118,0.015171198497,0,0.093027302415,1.58929289351,125.5031477,0
pure_location,-24,200,200,0.0436020443798,0,0.283462980461,5.68492491622,146.51447619,0
pure_location,-16,203,203,0.100829943048,0.00713173870031,0.379615360184,12.6403192296,134.342950973,0
pure_location,-8,203,203,0.11281962498,0.0477691895884,0.396236646152,12.7270209365,119.412995543,0
pure_location,-4,203,203,0.00958466338643,0,0.0297826441206,1.09098637937,119.412995543,0
pure_location,-2,203,203,0.0168117693535,0,0.0845793159655,1.80290501751,119.412995543,0
pure_location,-1,203,203,0.030468187803,0,0.229014699783,3.35124137493,119.412995543,0
mixed,-24,152,152,0.0152802635074,0,0.158344256536,2.06198768765,151.005012531,0
mixed,-16,152,152,0.0697068802313,0.00137230093391,0.29080304334,8.91960126012,139.165914787,0
mixed,-8,152,152,0.11812461554,0.0536817992334,0.420059184884,13.0305664625,122.739598997,0
mixed,-4,152,152,0.00450359689924,0,0,0.420314962699,122.739598997,0
mixed,-2,152,152,0.0102773196593,0,0.0448478621461,1.10046073042,122.739598997,0
