group,path_id,real_hour_count,first_HTT_hour_gt0,first_meaningful_HTT_hour_ge1kg,first_meaningful_HTT_hour_ge5kg,peak_HTT_hour,peak_HTT_kg,last_HTT_hour,final16h_HTT_kg,final8h_HTT_kg,final4h_HTT_kg,cumulative_HTT_by_-24h_kg,checkpoint_-24h_available,cumulative_HTT_by_-16h_kg,checkpoint_-16h_available,cumulative_HTT_by_-8h_kg,checkpoint_-8h_available,cumulative_HTT_by_-4h_kg,checkpoint_-4h_available,cumulative_HTT_by_0h_kg,checkpoint_0h_available
surplus_gt100,2922,40,-16,-16,-16,-16,37.8234174645,-3,71.0235139891,33.2000965246,6.02909540531,0,True,0,True,37.8234174645,True,64.9944185838,True,71.0235139891,True
surplus_gt100,2957,40,-8,-8,-8,-8,14.8653832492,-6,27.0799997769,27.0799997769,0,0,True,0,True,0,True,27.0799997769,True,27.0799997769,True
surplus_gt100,2993,40,-8,-8,-8,-8,41.3683874309,-8,41.3683874309,41.3683874309,0,0,True,0,True,0,True,41.3683874309,True,41.3683874309,True
surplus_gt100,3016,24,-8,-8,-8,-8,18.9239362913,-8,18.9239362913,18.9239362913,0,0,True,0,True,0,True,18.9239362913,True,18.9239362913,True
surplus_gt100,3027,32,-8,-8,-8,-8,30.2080067089,-8,30.2080067089,30.2080067089,0,0,True,0,True,0,True,30.2080067089,True,30.2080067089,True
surplus_gt100,3059,40,-16,-16,-16,-16,12.7338770584,-2,13.9770456597,1.24316860129,1.24316860129,0,True,0,True,12.7338770584,True,12.7338770584,True,13.9770456597,True
surplus_gt100,3071,32,-16,-16,-8,-8,32.1248782025,-1,41.149199943,38.2359516469,6.11107344439,0,True,0,True,2.91324829607,True,35.0381264986,True,41.149199943,True
surplus_gt100,3108,32,-16,-16,-16,-10,26.8384610748,-1,81.9217143021,29.7130407241,27.6121355761,0,True,0,True,52.208673578,True,54.309578726,True,81.9217143021,True
surplus_gt100,3111,24,-8,-8,-8,-7,14.3368773866,-1,37.6521557647,37.6521557647,10.6465837198,0,True,0,True,0,True,27.0055720449,True,37.6521557647,True
surplus_gt100,3128,48,-24,-24,-24,-17,22.0218921213,-8,19.787843554,3.05002872238,0,0,True,35.9930209188,True,52.7308357504,True,55.7808644728,True,55.7808644728,True
