role,source_role,relative_path,size_bytes,sha256
source,path_summary/oos_path_summary.csv,hourly_grid_h2\output\stage89q_penalty1000_vs1500_long_training\run-003\penalty1000\path_summary\oos_path_summary.csv,4203429,99ec55faba4e60e88b25d757deb1a8146515faf666d52979fe69c64362047502
source,path_summary/oos_stage_summary.csv,hourly_grid_h2\output\stage89q_penalty1000_vs1500_long_training\run-003\penalty1000\path_summary\oos_stage_summary.csv,6516901,969c373a9a2ff1b271cde6fda95a6fe8e64b10362518fe4b807c0dc86437c15d
source,path_summary/oos_stage_site_summary.csv,hourly_grid_h2\output\stage89q_penalty1000_vs1500_long_training\run-003\penalty1000\path_summary\oos_stage_site_summary.csv,17769929,eab41bdf5d58fc971bc65af8c5745de3bd08cc25a0a4d44cc386aeba3f99c89e
source,hourly_site/oos_hour_site.csv,hourly_grid_h2\output\stage89q_penalty1000_vs1500_long_training\run-003\penalty1000\hourly_site\oos_hour_site.csv,256068531,af3b3d5c4aa69e6d29b35a88008b4d82360c4b8391fc783141078f7ad68b0cda
source,grid_hourly/oos_hour_system.csv,hourly_grid_h2\output\stage89q_penalty1000_vs1500_long_training\run-003\penalty1000\grid_hourly\oos_hour_system.csv,45445479,b9eaa83ee3e8a720f3cb5afd5d54da050c2d3ef45c434efe74f8ba8b976b63c6
source,htt_od/oos_positive_htt_flows.csv,hourly_grid_h2\output\stage89q_penalty1000_vs1500_long_training\run-003\penalty1000\htt_od\oos_positive_htt_flows.csv,2157490,06a6586574a155eb4588cae691898b3ebda509a79e14e64c8453918b7262fe4a
source,bank,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\03_oos\common\oos_path_manifest.csv,318828,a186e8d4ac870082d0925a05311ab8f4c5a0b70cb61b6fd06955a48a647b3941
source,bank_identity,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\03_oos\common\bank_identity.csv,495,49edacec2d9e76e4e712347e23cdd6735afa3fcc9bbf5ca4578380374a2ebec5
source,target,terminalLoh_wdro\current_w_mainline_stage89\terminal_tables\terminal_loh_stage89k_dro_eta003_adopted.csv,5295,2fa1958944110701239a109ebf46d959324a351f2f27c1c3fbd62f333066eaa8
source,intensity,data\intensity.csv,173,e0fecf329412507c2411bd3f52445bfd69fa700f280b0cca663d5c098f10d0f6
source,location,data\location.csv,306,1450bb3bbb15bcfc32f50ce2854f0d3eb8ed9fd10d7f3c99383358db3b9f0daa
source,landfall,data\landfall_7.csv,189,f9fc71c9da41616894ee8efa910bf143efd12c4b12f6ddc4aabbcd3017962e35
source,old_recover,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\15_mechanism_deep_dive\03_physical_recoverability\physical_recoverability_diagnostic.csv,373172,82330daf2794459c7d7d21d70c22b15e204f03e341324897b7314f1fc67b3012
source,old_candidate,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\06_spatial_htt\pure_location_failure_diagnosis.csv,72216,df52466f7a3db5082f79cd0740b334b8e2e096ec4d2c26646ae5b06edf45bd89
source,training,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-002\02_training\penalty1000\training_summary.csv,736,591497ee8213cf8df047c5be4c2bbd46ca5382af83ab98fc6ac3adad9a08909d
source,builder,hourly_grid_h2\build_integrated_hourly_stage_model_hourly_htt_v1_h2.m,9047,06375232f352ef8da038321703eca4a44ca20ddb5f5c3a46a8d4c79306718f77
source,updater,hourly_grid_h2\update_integrated_hourly_stage_model_hourly_htt_v1_h2.m,2282,cd7e44e5fde0a08831f1b663040e9ee5346290d59003e1460e2f72619d21e49f
source,solver,fa_h2\solve_stage_model_h2.m,4705,e7e86507a1d98b06d9669caf951dae0b94d1666542894416f2d843c7e0d72516
source,loader,load_data_h2_near.m,15438,b2a183b7e6606447f2b42a71f893468b83a58dc217386f19cb8bf76f541fd8ba
source,launcher,fa_msp\current_hourly_stage89_adopted\launcher\run_stage89q_penalty1000_vs1500_5h_hourly_h2.m,43692,338b2b42748d154cbe8c2f10c554d55ee6020657d0b6018a74d5c62f75f2b164
output,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\16_htt_flexibility_audit\01_model_audit\htt_formal_constraint_audit.md,3122,2bd093ee0aaa186894a0b68d566e77d48ced1fbe11feb389ca95d0505f9cd97e
output,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\16_htt_flexibility_audit\02_physical_limits\htt_physical_limit_by_path_time.csv,519059,c299a19d719ff7971d9769abef93c292c1df8457124675f84c91e623075a923a
output,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\16_htt_flexibility_audit\03_capacity_upper_bound\current_vs_infinite_htt_upper_bound.csv,127969,60be940078c0836727c5096bcab39442da58a1fdf7a0d9a2a3d7a9de1a616317
output,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\16_htt_flexibility_audit\03_capacity_upper_bound\current_vs_infinite_htt_upper_bound_summary.csv,875,ed79bef63aebc07ab984463ac77f434d29ef5fda0aeca6fc6c659f703dc4388f
output,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\16_htt_flexibility_audit\04_cap_sensitivity\htt_cap_upper_bound_sensitivity.csv,2026,64104b3ceadbae83562112136f93b3499486c887825aaa761c419ab2ff081bd7
output,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\16_htt_flexibility_audit\04_cap_sensitivity\htt_cap_upper_bound_sensitivity_by_path.csv,583799,bb82faee86c9acbeaffa4271d54f9bd76090b1bc28c5cee7ce879f0d2480a9de
output,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\16_htt_flexibility_audit\05_information_alignment\htt_alignment_expost_vs_information_proxy.csv,1653465,2c3da1a49b76b6cb766f9e6699a4d652c0b2f831bf99030d946bade90f6cc292
output,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\16_htt_flexibility_audit\05_information_alignment\information_state_terminal_target_proxy.csv,66009,9684754b22fdf867149398657fb8f3c4a7e3240576e77448b54971e8f30ab404
output,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\16_htt_flexibility_audit\06_underdispatch\underdispatch_reclassification.csv,16185,ae2f81df8313f797ad8dd72c7ff683bdfc8c323509e057138eab1a633d6d4cb2
output,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\16_htt_flexibility_audit\06_underdispatch\underdispatch_summary.csv,398,da76ba8c31302b486378c845a625cd1c416751c534ce193b947da5637e1c28f1
output,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\16_htt_flexibility_audit\07_od_structure\htt_od_flow_summary.csv,2570,473bb250abfb41d826d27288e68cea0263ec817f22308ec165b749670e03ad89
output,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\16_htt_flexibility_audit\07_od_structure\surplus_to_deficit_od_summary.csv,1854,041d7e3aadec1bd5108558b8013136b0b011fad484e011f4704f797f1c301709
output,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\16_htt_flexibility_audit\08_temporal_vs_spatial_flexibility\flexibility_bottleneck_summary.csv,201,a4fdbae1bdc2520df32078829843b2dc89b962c73888ea0e4aa72d2b494eece7
output,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\16_htt_flexibility_audit\09_economics\htt_cost_formal_audit.md,615,cad832b8b3585b4f9a2cf37ac2e0723e06c107b657910256a709ddaed28c7734
