group,path_count,real_hour_count,mean_utilization,median_utilization,q90,q95,q99,hours_ge_0.8,hours_ge_0.9,hours_ge_0.95,hours_ge_0.99,fraction_ge_0.8,fraction_ge_0.9,fraction_ge_0.95,fraction_ge_0.99,exact_binding_hours,exact_binding_fraction,near_binding_fraction
all_paths,10000,285888,0.00210766671007,0,0,0,0.0615201522582,1,0,0,0,3.49787329304e-06,0,0,0,0,0,0
positive_target_adequate,650,23424,0.0102469900173,0,0,0.0631391047253,0.282545472601,1,0,0,0,4.26912568306e-05,0,0,0,0,0,0
positive_target_shortfall,473,16520,0.0100117587895,0,0,0.0452199972477,0.288300188997,0,0,0,0,0,0,0,0,0,0,0
pure_quantity,118,4016,0.00688095678961,0,0,0.0129378989256,0.205293107842,0,0,0,0,0,0,0,0,0,0,0
pure_location,203,7240,0.012337175377,0,0,0.0699180255455,0.3230190533,0,0,0,0,0,0,0,0,0,0,0
mixed,152,5264,0.00920197245547,0,0,0.0303747485153,0.271745562139,0,0,0,0,0,0,0,0,0,0,0
surplus_gt100,520,18880,0.0112388447996,0,0,0.0787899308208,0.289236981725,1,0,0,0,5.29661016949e-05,0,0,0,0,0,0
surplus_gt200,312,11584,0.012480820403,0,0,0.0919714967745,0.304716918978,1,0,0,0,8.63259668508e-05,0,0,0,0,0,0
difficult_5pct,307,10720,0.00991053017781,0,0,0.0495951125959,0.282545472601,0,0,0,0,0,0,0,0,0,0,0
extreme_1pct,62,2080,0.00843634124937,0,0,0.0575836449679,0.217209617994,0,0,0,0,0,0,0,0,0,0,0
