termination_type,count,fraction_of_10000,mean_operating_hours,mean_production_kg,mean_ordinary_shortage_kg,mean_actual_operating_cost_yuan
LF8_ABSORBING,379,0.0379,30.6068601583,208.323183029,1.80874557924,60795.3827048
PHYSICAL_DISSIPATION_A1,3497,0.3497,19.1615670575,137.762226374,0.014667103924,35266.6123888
STAGE7_TERMINAL_CHECK,6124,0.6124,33.8471587198,227.559097304,3.15304396766,67856.7771376
