source_category,scenario_count,selected_path_count,D_min_kg,D_mean_kg,D_p95_kg,D_max_kg,P_loss_stage_sum_min_kW,P_loss_stage_sum_mean_kW,P_loss_stage_sum_max_kW,A_stage_mean_min,A_stage_mean_mean,A_stage_mean_max,C_masked_min_km,C_masked_mean_km,C_masked_max_km,failed_lines_W3_mean,failed_lines_W3_max,closed_roads_W3_mean,closed_roads_W3_max,joint_line_road_damage_share,multi_line_failure_share,road_disconnection_share,novel_structural_scenario_count,novel_structural_scenario_share,novel_full_scenario_count,novel_full_scenario_share,full_pattern_seen_in_ordinary_count
main_ordinary,200,10,0,145.372719090091,541.963287237815,607.969887897881,0,2664.9,11145,0.477272727272727,0.953383838383838,1,0,19.1769727363381,99.1540622344081,4.065,21,2.26,19,0.345,0.395,0.255,0,0,0,0,200
observed_candidate,200,10,18.001800180018,390.302212039386,607.969887897881,607.969887897881,330,7154.825,11145,0.0454545454545454,0.613396464646464,1,0,12.0994281294957,102.957518512622,19.63,32,15.195,34,0.94,1,0.765,200,1,200,1,0
unobserved_candidate,200,10,22.9113820472956,455.245069961542,607.969887897881,607.969887897881,420,8345.325,11145,0.0378787878787878,0.529469696969697,1,0,10.7712920872495,90.4382116715755,21.655,32,16.98,35,0.91,0.99,0.9,200,1,200,1,0
