check_id,description,passed,observed,expected
AUDIT-01,30 unique paths; 10 per source,1,"30","30"
AUDIT-02,observed candidates trace to main sample,1,"1","1"
AUDIT-03,unobserved candidates overlap main sample,1,"0","0"
AUDIT-04,20 repeats per path and 600 scenarios,1,"600","600"
AUDIT-05,fixed resistance reused W1-W3,1,"1","1"
AUDIT-06,failure/closure/slowdown persistence,1,"1","1"
AUDIT-07,D nonnegative with kg-H2 unit,1,"0","0"
AUDIT-08,A is binary,1,"0,1","0,1"
AUDIT-09,masked C finite and nonnegative,1,"0","0"
AUDIT-10,same-seed replay identical,1,"0","0"
AUDIT-11,all source inputs unchanged,1,"1","1"
AUDIT-12,no WDRO/optimization/MSP calls,1,"0","0"
AUDIT-13,probability identities and pending status,1,"1","1"
AUDIT-14,path stages use selected a/loc/lfw,1,"1","1"
AUDIT-15,detailed output row counts,1,"237600","237600"
AUDIT-16,W1-W3 each 1 h; Hres=3 h,1,"3","3"
