structural_pattern_signature,full_consequence_signature,scenario_count,ordinary_scenario_count,observed_candidate_scenario_count,unobserved_candidate_scenario_count,structural_seen_in_ordinary,full_seen_in_ordinary,novel_structural_vs_ordinary,novel_full_vs_ordinary,D_total_min_kg,D_total_mean_kg,D_total_max_kg
014e8f856dfe61d804866a84af615449aa436553f838e78536052f7439e5e800,ed40c9b97eb9e470985181822247acd05c8055e2699d7b26a43b2b03c277b3e8,1,0,1,0,0,0,1,1,607.969887897881,607.969887897881,607.969887897881
018f7b3fdb186d4f6a057769d28cd4660daf68bc27912a70e63a8e2867862c45,4154d854adee897ba43cdc7ddd254eccc23c03976e55fb3f318b9d6aff2a8300,1,0,0,1,0,0,1,1,494.503995854131,494.503995854131,494.503995854131
01b9472b39209eda0dceaca106ab8608420a3b5584e89be9524ae0d9d730c388,99a48efe97cc270f00a37a118767e6b47e8f435128d257f0f6d6fa5ec676a394,1,0,1,0,0,0,1,1,224.749747702043,224.749747702043,224.749747702043
01bb752610fa7cc501fc95d03006e4470231df87f249e11ad38cc29366849685,ac1af28eeb4ec6cbb0a70827bef5dfd696ac73e934acba59be520a80fedc8084,1,0,1,0,0,0,1,1,217.385374901126,217.385374901126,217.385374901126
021254194a7ed7d728ec51f0bbd1805fb7db1be9e26df79e4ed9a2e021d6928d,22d5ec3f7b4102a2ef5174099a4d40c466bd88c57327331ce7ad426c07d5e94e,1,0,1,0,0,0,1,1,83.7356462919019,83.7356462919019,83.7356462919019
02498b7c0b86b9273d4a15cbc66ec5b5eae3b3b4d709340598a9af34777a7a1b,01cc2ceaec1a322b5b25f434559ab1b714c37a6729425350bce376013a52b674,1,0,1,0,0,0,1,1,607.969887897881,607.969887897881,607.969887897881
0289c528a551f618c95c442e17fa25c0c0b6426af60708f4fdbef1cea7dd3f32,5f597b99915b073c15c93beef656d188d7af919a86cfa22a9a8ab4551b4c8ac7,1,0,0,1,0,0,1,1,562.147123803289,562.147123803289,562.147123803289
028c2542c8c17db4e9a28b663463892dccd24e08bee86ffb6d5f88948afc21c0,c77102e8f6cc2a6f603737fcc0bff5e9cd81a6ecc0ce24a3aded411502613ab3,1,0,0,1,0,0,1,1,451.136022693178,451.136022693178,451.136022693178
0317a267fbabdc05d0731d65953db81a3bc60bab85707679eebc319ad7db5692,4af8662b05215806eb777a1b6465d1dcf8aa90f67533e907109b035ef3d56334,1,0,0,1,0,0,1,1,607.969887897881,607.969887897881,607.969887897881
03522a6e8d037c82453dddeea8359cdec0dce60da662af5a3425cd0892f2ac27,b639f63264f16bcf39afacb5af2bd9b76e96c7d30e242f26cca7442be36c0645,1,0,0,1,0,0,1,1,576.875869405122,576.875869405122,576.875869405122
04203ef5f945ac9e2e636b2fc70e38394a29dc6e895d4927a3387d1908cd5c37,80ed37f9d7e994d91c34d2f3d0db46950f81ba0ef5dd38fbacfceafe90179cc7,1,0,0,1,0,0,1,1,566.511196574203,566.511196574203,566.511196574203
057f1a7eb3cbcedeb975e2e2dd68170038df07cd0cb1cdba37c7106d8c9b0ec8,15d19b40abdda940090c03b839aac7e9bbf71475243b7da35db5ed38b7cc08b8,1,0,0,1,0,0,1,1,375.583012846739,375.583012846739,375.583012846739
0580e52bb6e159ac00a4e5b307a5fc8ef0b3a1506d650e279420fb57b5eb3a9b,1700ceaec584b151c13cc01ed6e8e80198f832efeb71d47f347254bf1bf54ddd,1,0,1,0,0,0,1,1,271.663529989363,271.663529989363,271.663529989363
06e1353b5ce8fe06c50d3ffb0af8e205630bc65648bc5292a74bbd6f670fef15,41cbb2e80f46e40499b3e192dfc985ac280f65eee0a9991b3998adc29185d12a,1,0,0,1,0,0,1,1,571.42077844148,571.42077844148,571.42077844148
0707c038f7bc32f51a4469245a8dbf2d5bcf9de46b0d78b81ce9622ee31b8201,2f6d5135976582c4074ee8ffd0471137b1b0c2bda477a89d068451d54364c39f,1,0,0,1,0,0,1,1,607.969887897881,607.969887897881,607.969887897881
07c9f9074488fdaa1b9a1488ffc8e43687980d755658f0c1212f72a53d6cd47f,d8f66868925dbabff276b4d4c3618f2b7af3ff3d1b7bd4a713bd5445edcff912,1,0,0,1,0,0,1,1,109.374573821018,109.374573821018,109.374573821018
0867f8462a0f860f7b012d587020e1159183ed28a2ccd4bd4c6dcda1163fcdd2,761543ccd8a23b1fa1867d69b00c958ed19754e1d0eea71f60219168a024c109,1,0,1,0,0,0,1,1,374.764749202193,374.764749202193,374.764749202193
0a631259e80f7b95dce256166927670cb934658018a90add69d8ed328eaf268f,7529d4042830b983c018e54fb04fa2f07528ada1cc0ce897c9e581b28769fd69,1,0,1,0,0,0,1,1,394.403076671303,394.403076671303,394.403076671303
0a90cdce4ab2436df904738adb77a4b06bda3efedd321ff6b495ca6c1694ac42,3e3e56a7c1ff53e654a2e29f66aa1e57ae7714f80a9cef91ffa67522fa68b9e3,1,0,1,0,0,0,1,1,415.132422333142,415.132422333142,415.132422333142
0a96bfac21c4ebaf7658f60abdaf7276be693f726fd3cc1a2d752aeee6ea8bb5,8664f840426b13dcf904bbf9b4bbc3e47e4ac11b4758ec508f051c627a7b1afb,1,0,0,1,0,0,1,1,480.04800480048,480.04800480048,480.04800480048
0adb185a5de27a27691b94aaf5635083bc9bcc23d52e2af3d9d2a3fa8ba27907,1510ac665b51d502ccdf055a7a17b13412e359e8813005e163c52b8c5a929c62,1,0,1,0,0,0,1,1,287.483293783924,287.483293783924,287.483293783924
0bad182395945812ee2109fcffa632879ff5bd5197ec5b68c4060cc2dc54d8e2,2a87a362846832ea0e8ad7c8e0603f3df89a539a2c33876f6a777c27c6ce88cc,1,0,1,0,0,0,1,1,322.395875951231,322.395875951231,322.395875951231
0bd51b7a97aabb56257dc8a1361e1c78d07c55134d58b7a373c6410c01902464,d11a799aa6ab6a9489c86130176d31cd299a6eb417c404b19013046274dc8f1e,1,0,0,1,0,0,1,1,39.2766549382211,39.2766549382211,39.2766549382211
0bde6b4cf053cd33de794c0c1109d45e85fdbdca05e10d24e50b3cc091c04cef,2487ca5e51d34408725f7578fbd4dbce0f1e3f7d71dfffe5838d6a9882fd011d,1,0,0,1,0,0,1,1,607.969887897881,607.969887897881,607.969887897881
0be5eeca0c0c13754203e6973b1c2d68699ea7dde5daa9baef185ebd92f5a350,9695833084d66c01a56a8b27ae5c60e460c22ba3c65b21e3fb97e19d95d31f85,1,0,0,1,0,0,1,1,607.969887897881,607.969887897881,607.969887897881
0be8048e1277c290939671122976753bf4918c6e4902d177f966a3b0bc310a08,a9948d9b82a171caee5749d130a8374c06cbf3aa7adbaf72ea34dbef8782be7d,1,0,0,1,0,0,1,1,273.845566374819,273.845566374819,273.845566374819
0d73a91d2a1e46c9263b98783fdd60b61278d6db4458fdf032080bb90f81e838,5a7717ab00594c7f03ad3e18d2608a358ba9d2c90e5b1544064b93541f620fc6,1,0,0,1,0,0,1,1,101.191937375556,101.191937375556,101.191937375556
0d811d3f301c75a66185908f6372211c8c6c1980216fa205d77b5a413e2ce0de,fc970268a6b76a5dd0463172eb8cf066fb8a5fcdaf008c7654ac1973705de1c6,1,0,0,1,0,0,1,1,558.874069225104,558.874069225104,558.874069225104
0fb5004deadae459c4b1fb8cf57d5f7646616d91f2831d81ae3a25e78e4ebcd7,3099e670014efd738156a02c056413b6c4814b1fa89f5e24651c7b30ba98120d,1,0,1,0,0,0,1,1,97.9188827973706,97.9188827973706,97.9188827973706
1137637f5d56d84ce3eae7a951870a4807daeacaa0080c0c6a4a372ea1e51476,17daf71302916f8e3ba25a0827f078a517215523fe55a476394fc3f10b6d00d3,1,0,1,0,0,0,1,1,250.388675231159,250.388675231159,250.388675231159
1143e2bf0c26b13319c92b26de9e9aec664afa82547bf141b250c223d8d6426d,3b4bf1781f6c78f0d2d0dc5b947b2f1f09eb317ac16bfcefa59348ac7bdba798,1,0,0,1,0,0,1,1,22.9113820472956,22.9113820472956,22.9113820472956
117349681ac6a53eef13e1e8c9d0b9b2cda4ad1b5887f1607747aeb15e9c951c,985325b75b83634a3e660ed8dabbfa200d147d22cce0e78c9dc6345c3bed3562,1,0,0,1,0,0,1,1,224.204238605679,224.204238605679,224.204238605679
13e16c985b6024c1ec37d9f825ab0793db735fb2026db6437919663003bd56cb,3fad5b53b30582355c238265850770dd2c2709864d1c7282b4ff676078001a75,1,0,0,1,0,0,1,1,218.749147642037,218.749147642037,218.749147642037
145a3af084fc6ee133ddd9e6de5e7a632c1c30176acda399f6a1d1242a80ce93,07648542ceba1b42f9805fe07ecb656573d1abd17646a64177874abd9fbc0057,1,0,0,1,0,0,1,1,472.683631999564,472.683631999564,472.683631999564
15c53aaf37254455ac1a97b3cbc2f7f52c7c4aacbb3569c6c7a6c8120092f240,324655d45e35f12bdafe081e9e073180ed1185b726c485f62fea5a3f30e1e61e,1,0,1,0,0,0,1,1,153.015301530153,153.015301530153,153.015301530153
