scenario_id,selection_path_id,resistance_repeat,random_seed,source_category,failed_lines_W1,failed_lines_W2,failed_lines_W3,closed_roads_W1,closed_roads_W2,closed_roads_W3,slowdown_max_W1,slowdown_max_W2,slowdown_max_W3,line_recovery_violation_count,road_recovery_violation_count,slowdown_recovery_violation_count,line_persistence_pass,road_persistence_pass,slowdown_persistence_pass
1,1,1,20261718,main_ordinary,3,9,9,1,4,4,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
2,1,2,20261719,main_ordinary,5,11,11,2,7,7,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
3,1,3,20261720,main_ordinary,7,10,10,0,2,2,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
4,1,4,20261721,main_ordinary,8,11,11,0,4,4,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
5,1,5,20261722,main_ordinary,3,10,10,1,6,6,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
6,1,6,20261723,main_ordinary,5,12,12,0,4,4,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
7,1,7,20261724,main_ordinary,7,11,11,2,11,11,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
8,1,8,20261725,main_ordinary,1,7,7,0,10,10,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
9,1,9,20261726,main_ordinary,7,10,10,0,5,5,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
10,1,10,20261727,main_ordinary,9,16,16,0,3,3,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
11,1,11,20261728,main_ordinary,8,15,15,0,8,8,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
12,1,12,20261729,main_ordinary,7,9,9,0,5,5,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
13,1,13,20261730,main_ordinary,7,14,14,0,3,3,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
14,1,14,20261731,main_ordinary,4,9,9,1,4,4,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
15,1,15,20261732,main_ordinary,6,15,15,0,10,10,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
16,1,16,20261733,main_ordinary,4,13,13,3,7,7,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
17,1,17,20261734,main_ordinary,5,13,13,1,4,4,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
18,1,18,20261735,main_ordinary,5,12,12,1,10,10,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
19,1,19,20261736,main_ordinary,4,7,7,1,8,8,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
20,1,20,20261737,main_ordinary,4,9,9,0,7,7,0.0799965855832974,0.239877270075257,0.239877270075257,0,0,0,1,1,1
