scenario_id,selection_path_id,resistance_repeat,random_seed,source_category,line_component_count,road_component_count,line_threshold_draws_per_component,road_threshold_draws_per_component,fixed_line_threshold_checksum,fixed_road_threshold_checksum,line_threshold_reuse_max_abs_error,road_threshold_reuse_max_abs_error,fixed_resistance_pass
1,1,1,20261718,main_ordinary,32,41,1,1,289.009819018114,442.239351124595,0,0,1
2,1,2,20261719,main_ordinary,32,41,1,1,277.907575021666,419.354318256664,0,0,1
3,1,3,20261720,main_ordinary,32,41,1,1,278.973476243414,533.017838826138,0,0,1
4,1,4,20261721,main_ordinary,32,41,1,1,243.829403191482,475.697658109341,0,0,1
5,1,5,20261722,main_ordinary,32,41,1,1,267.327128381344,458.389830389892,0,0,1
6,1,6,20261723,main_ordinary,32,41,1,1,223.765116661483,483.122714961523,0,0,1
7,1,7,20261724,main_ordinary,32,41,1,1,249.053808397654,397.123220867823,0,0,1
8,1,8,20261725,main_ordinary,32,41,1,1,289.084586277219,353.446513126496,0,0,1
9,1,9,20261726,main_ordinary,32,41,1,1,258.90263174405,433.821564946669,0,0,1
10,1,10,20261727,main_ordinary,32,41,1,1,195.91863189935,428.282409044365,0,0,1
11,1,11,20261728,main_ordinary,32,41,1,1,214.242775902092,425.945530495806,0,0,1
12,1,12,20261729,main_ordinary,32,41,1,1,244.073299769333,438.957920856397,0,0,1
13,1,13,20261730,main_ordinary,32,41,1,1,225.74465525391,535.169184652487,0,0,1
14,1,14,20261731,main_ordinary,32,41,1,1,285.73770025002,470.837134978268,0,0,1
15,1,15,20261732,main_ordinary,32,41,1,1,238.787686096494,371.399840682857,0,0,1
16,1,16,20261733,main_ordinary,32,41,1,1,248.966310605822,399.018628453902,0,0,1
17,1,17,20261734,main_ordinary,32,41,1,1,228.532867519514,462.322949528306,0,0,1
18,1,18,20261735,main_ordinary,32,41,1,1,223.005743321421,403.025973043766,0,0,1
19,1,19,20261736,main_ordinary,32,41,1,1,298.805055783606,427.815983376876,0,0,1
20,1,20,20261737,main_ordinary,32,41,1,1,273.21476313484,442.293785296542,0,0,1
21,2,1,20262718,main_ordinary,32,41,1,1,289.607660130461,445.546489340268,0,0,1
22,2,2,20262719,main_ordinary,32,41,1,1,233.858579154129,504.996409867467,0,0,1
23,2,3,20262720,main_ordinary,32,41,1,1,284.542032670845,482.968638118366,0,0,1
24,2,4,20262721,main_ordinary,32,41,1,1,238.037469778493,537.821680423658,0,0,1
25,2,5,20262722,main_ordinary,32,41,1,1,265.995864634143,352.025447042594,0,0,1
26,2,6,20262723,main_ordinary,32,41,1,1,302.157527773146,411.962934794389,0,0,1
27,2,7,20262724,main_ordinary,32,41,1,1,292.574684573283,442.364129403355,0,0,1
