intensity,mode,state_count,road_only_mean_T_total,dual_mean_T_total,absolute_delta_mean_T_total,percent_delta_mean_T_total,road_only_mean_T1,dual_mean_T1,delta_mean_T1,road_only_mean_T2,dual_mean_T2,delta_mean_T2,road_only_mean_T3,dual_mean_T3,delta_mean_T3,road_only_mean_T4,dual_mean_T4,delta_mean_T4,incremental_effect
2,DRO,7,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINLY_REALLOCATES_T
2,SAA,7,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINLY_REALLOCATES_T
3,DRO,7,100.14904440545733,102.7040745853426,2.5550301798852644,2.5512277177015537,46.67213603164761,44.139459802028234,-2.5326762296193763,15.073432125985164,16.178213440592103,1.1047813146069387,6.078535463304716,12.352261833190525,6.273726369885809,32.32494078451983,30.034139509531734,-2.290801274988098,INCREASES_T
3,SAA,7,21.586574241839767,21.7424339836581,0.1558597418183325,0.7220216606497956,12.079129990921171,11.416726088193235,-0.6624039027279363,1.4417026118196237,1.2858428700012858,-0.15585974181833784,1.2468779345467011,1.402737676365039,0.15585974181833784,6.818863704552273,7.637127349098546,0.8182636445462732,MAINLY_REALLOCATES_T
4,DRO,7,293.12422556643105,299.77100140004313,6.646775833612082,2.267562778466332,136.27781167414076,136.66581314745642,0.38800147331565427,55.45774923205804,56.51434895088975,1.0565997188317056,18.514037698300847,27.704108287018613,9.190070588717766,82.87462696193136,78.88673101467832,-3.987895947253037,INCREASES_T
4,SAA,7,247.5831998784294,251.98623758479744,4.403037706368025,1.7784073024866167,112.92038294738565,112.37487385102145,-0.5455090963641993,47.30343164186548,48.12169528641174,0.8182636445462634,13.94944689274122,22.404837886386073,8.455390993644853,73.40993839643704,69.08483056097818,-4.325107835458866,INCREASES_T
5,DRO,7,440.7199605722903,445.85342492124624,5.133464348955954,1.1647905264581098,195.9314193833531,198.28835853998837,2.3569391566352635,82.17668172788261,84.07820817274997,1.9015264448673577,34.99053104292065,44.05193102884626,9.061399985925611,127.6213284181339,119.43492717966167,-8.186401238472229,INCREASES_T
5,SAA,7,400.2088520540365,406.56013653313386,6.35128447909733,1.5869925031642664,176.8618420283586,178.65422905926954,1.7923870309109304,77.0336773937134,78.78709948916969,1.753422095456287,27.431314560027438,36.62703932730934,9.195724767281902,118.8820180719371,112.49176865738518,-6.390249414551917,INCREASES_T
6,DRO,7,540.0301781265531,537.7262142931338,-2.3039638334192887,-0.42663612641280346,238.25606998833936,239.98600577849382,1.7299357901544568,91.58279966115602,94.31679772334935,2.7339980621933364,48.279513840384105,53.3883379059889,5.108824065604793,161.91179463667362,150.03507288530167,-11.876721751371946,MIXED
6,SAA,7,510.3728554673648,509.33015379460005,-1.0427016727647356,-0.204301945449254,225.36305578609804,227.2435035711363,1.8804477850382568,86.26836709644995,88.742640497816,2.474273401366048,42.12109522640573,48.141177754139036,6.020082527733308,156.6203373584111,145.2028319715088,-11.417505386902292,MIXED
