state,intensity,loc,mode,road_only_road_service_kg,road_only_electrical_service_kg,road_only_shortage_kg,inventory_use_site1_kg,inventory_use_site2_kg,inventory_use_site3_kg,inventory_use_site4_kg,dual_shortage_kg,dual_road_service_kg,dual_electrical_service_kg,road_service_share,electrical_service_share,fc_binding_frequency,fc_binding_any_share,inventory_binding_frequency,inventory_binding_site1,inventory_binding_site2,inventory_binding_site3,inventory_binding_site4,road_service_change_kg,electrical_service_change_kg,shortage_change_kg,total_service_change_kg,T_total_change_kg
1,2,1,SAA,0.0,0.0,0.17752684359345022,0.0,0.0,0.0,0.0,0.1775268435934502,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999476,0.9999999999999476,0.9999999999999476,0.9999999999999476,0.0,0.0,-2.7755575615628914e-17,0.0,0.0
2,2,2,SAA,0.0,0.0,0.2153851748811245,0.0,0.0,0.0,0.0,0.2153851748811245,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999478,0.9999999999999478,0.9999999999999478,0.9999999999999478,0.0,0.0,0.0,0.0,0.0
3,2,3,SAA,0.0,0.0,0.29092000109101823,0.0,0.0,0.0,0.0,0.2909200010910182,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.999999999999948,0.999999999999948,0.999999999999948,0.999999999999948,0.0,0.0,-5.551115123125783e-17,0.0,0.0
4,2,4,SAA,0.0,0.0,0.255716480738983,0.0,0.0,0.0,0.0,0.255716480738983,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999486,0.9999999999999486,0.9999999999999486,0.9999999999999486,0.0,0.0,0.0,0.0,0.0
5,2,5,SAA,0.0,0.0,0.1004100410041004,0.0,0.0,0.0,0.0,0.1004100410041004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999472,0.9999999999999472,0.9999999999999472,0.9999999999999472,0.0,0.0,0.0,0.0,0.0
6,2,6,SAA,0.0,0.0,0.01652892561983471,0.0,0.0,0.0,0.0,0.0165289256198347,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999482,0.9999999999999482,0.9999999999999482,0.9999999999999482,0.0,0.0,-1.0408340855860843e-17,0.0,0.0
7,2,7,SAA,0.0,0.0,0.025838947531116756,0.0,0.0,0.0,0.0,0.0258389475311167,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999476,0.9999999999999476,0.9999999999999476,0.9999999999999476,0.0,0.0,-5.551115123125783e-17,0.0,0.0
8,3,1,SAA,0.4486266808499032,0.0,3.4078316922601344,0.3478711507514387,0.0,0.0,0.10075553009846458,3.407831692260135,0.3910209202738456,0.0576057605760575,0.8715953307392996,0.1284046692607003,0.0,0.0,0.5140833333333333,0.0259333333333332,0.9999999999999044,0.9999999999999044,0.0303999999999998,-0.057605760576057596,0.0576057605760575,4.440892098500626e-16,-9.71445146547012e-17,1.7763568394002505e-15
9,3,2,SAA,1.114656920237478,0.0,3.721644891761903,0.7187627853694457,0.0,0.0,0.3958941348680323,3.707498022529525,1.0417041704170418,0.0870996190528143,0.9228390089886916,0.0771609910113083,0.0002333333333333,0.0027999999999999,0.5141500000000001,0.0274666666666665,0.9999999999999044,0.9999999999999044,0.0291333333333331,-0.07295274982043631,0.0870996190528143,-0.014146869232377846,0.014146869232377984,0.545509096364178
10,3,3,SAA,1.7235359899626326,0.0,2.967733136950058,0.8500304575912138,0.134049768613225,0.13863204502268392,0.6008237187355101,2.9673330969460574,1.517297184263881,0.206638845702752,0.8801354330376449,0.119864566962355,0.0011722222222222,0.0120666666666666,0.0329166666666666,0.0264666666666665,0.0376666666666664,0.0361333333333331,0.0313999999999998,-0.20623880569875164,0.206638845702752,-0.00040004000400051254,0.00040004000400037376,-7.105427357601002e-15
