state,intensity,loc,mode,solver_status,objective,T1,T2,T3,T4,T_total,LB,UB,absolute_gap,relative_gap,iterations,cuts,runtime_sec,case_pass,no_electrical_service
1,2,1,DRO,OPTIMAL,1376.946729189425,0.0,0.0,0.0,0.0,0.0,1376.946729189425,1376.946729189425,0.0,0.0,1,3,0.9272643,1,1
1,2,1,SAA,OPTIMAL,227.80333333333314,0.0,0.0,0.0,0.0,0.0,227.80333333333314,227.80333333333314,0.0,0.0,1,0,0.7590901,1,1
2,2,2,DRO,OPTIMAL,1623.5626950337949,0.0,0.0,0.0,0.0,0.0,1623.5626950337949,1623.5626950337949,0.0,0.0,1,3,0.9321839999999999,1,1
2,2,2,SAA,OPTIMAL,276.3833333333336,0.0,0.0,0.0,0.0,0.0,276.3833333333336,276.3833333333336,0.0,0.0,1,0,0.8696934,1,1
3,2,3,DRO,OPTIMAL,1995.1181897428569,0.0,0.0,0.0,0.0,0.0,1995.1181897428569,1995.1181897428569,0.0,0.0,1,3,0.9299483000000001,1,1
3,2,3,SAA,OPTIMAL,373.3099999999988,0.0,0.0,0.0,0.0,0.0,373.3099999999988,373.3099999999988,0.0,0.0,1,0,0.8347618,1,1
4,2,4,DRO,OPTIMAL,1878.3539917019878,0.0,0.0,0.0,0.0,0.0,1878.3539917019878,1878.3539917019878,0.0,0.0,1,3,0.9593072,1,1
4,2,4,SAA,OPTIMAL,328.1366666666654,0.0,0.0,0.0,0.0,0.0,328.1366666666654,328.1366666666654,0.0,0.0,1,0,0.7710815,1,1
5,2,5,DRO,OPTIMAL,951.9140916657781,0.0,0.0,0.0,0.0,0.0,951.9140916657781,951.9140916657781,0.0,0.0,1,3,0.9413266,1,1
5,2,5,SAA,OPTIMAL,128.84666666666658,0.0,0.0,0.0,0.0,0.0,128.84666666666658,128.84666666666658,0.0,0.0,1,0,0.7271881000000001,1,1
6,2,6,DRO,OPTIMAL,267.5592420873259,0.0,0.0,0.0,0.0,0.0,267.5592420873259,267.5592420873259,0.0,0.0,1,3,0.9049717,1,1
