state,intensity,loc,mode,T1,T2,T3,T4,max_inventory_violation_kg,max_demand_balance_error_kg,q_weighted_electrical_service_kg,inventory_qa
1,2,1,DRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
1,2,1,SAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
2,2,2,DRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
2,2,2,SAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
3,2,3,DRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
3,2,3,SAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
4,2,4,DRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
4,2,4,SAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
5,2,5,DRO,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-15,0.0,PASS
5,2,5,SAA,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-15,0.0,PASS
6,2,6,DRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
6,2,6,SAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
7,2,7,DRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
7,2,7,SAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
8,3,1,DRO,48.90607844627881,13.09221824892455,8.18267380358933,70.37077943059047,1.4210854715202004e-13,3.552713678800501e-15,0.0,PASS
8,3,1,SAA,11.455691023647818,0.0,0.0,3.273054578185092,1.3589129821411916e-13,3.1086244689504383e-15,0.0,PASS
9,3,2,DRO,85.15560402707636,19.638352208796608,9.819163734635657,61.09724929742699,8.037304155550373e-11,3.552713678800501e-15,0.0,PASS
9,3,2,SAA,22.365872950931454,0.0,0.0,11.455691023647818,1.687538997430238e-13,3.552713678800501e-15,0.0,PASS
10,3,3,DRO,85.64636819554602,19.638140330485353,9.819165288650808,38.185612778785845,1.4210854715202004e-13,3.552713678800501e-15,0.0,PASS
10,3,3,SAA,27.27545481820909,3.545809126367184,3.818563674549271,16.638027439107546,1.5853984791647235e-13,1.2434497875801753e-14,0.0,PASS
11,3,4,DRO,85.06413504114684,43.326140158259825,9.819163746926195,38.185644056288666,1.7053025658242404e-13,1.7763568394002505e-15,0.0,PASS
11,3,4,SAA,20.183836565474728,6.546109156370182,4.909581867277637,16.365272890925453,2.0605739337042905e-13,3.552713678800501e-15,0.0,PASS
12,3,5,DRO,21.932766511485276,9.8191739354298,4.909581669331015,18.43529992854691,1.3500311979441904e-13,3.552713678800501e-15,0.0,PASS
12,3,5,SAA,3.273054578185091,0.0,0.0,0.0,7.283063041541027e-14,4.440892098500626e-14,0.0,PASS
13,3,6,DRO,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,PASS
13,3,6,SAA,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,PASS
14,3,7,DRO,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,PASS
14,3,7,SAA,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,PASS
15,4,1,DRO,157.10657259669154,40.520676659774004,22.911422719905488,150.9530626316618,1.1368683772161603e-13,3.552713678800501e-15,0.0,PASS
15,4,1,SAA,146.1964378256007,33.82156397457927,16.365272890925453,145.65092872923657,1.4210854715202004e-13,8.881784197001252e-14,0.0,PASS
16,4,2,DRO,172.38087439588497,52.36903735552646,22.911356383489274,142.37758872965782,1.9895196601282805e-13,1.7763568394002505e-15,0.0,PASS
16,4,2,SAA,159.8341652347053,39.276654938221085,16.365272890925453,142.92338324741561,1.4210854715202004e-13,7.37188088351104e-14,0.0,PASS
17,4,3,DRO,182.96387494599475,88.15409324642867,22.91149146030107,91.42746248214011,1.5631940186722204e-13,1.7763568394002505e-15,0.0,PASS
17,4,3,SAA,171.83536535471725,89.46349180372583,16.365272890925453,74.18923710552872,1.4210854715202004e-13,4.529709940470639e-14,0.0,PASS
18,4,4,DRO,157.10625024528588,140.79628672897448,30.861039848190824,76.91681730772001,1.7053025658242404e-13,1.7763568394002505e-15,0.0,PASS
18,4,4,SAA,137.46829228377382,132.55871041649618,24.002400240024002,67.64312794915854,2.5579538487363607e-13,5.240252676230739e-14,0.0,PASS
19,4,5,DRO,168.7391496264098,46.72582572604259,18.001607116891318,71.28470426163564,1.1368683772161603e-13,1.7763568394002505e-15,0.0,PASS
19,4,5,SAA,129.28565583831104,26.18443662548073,16.365272890925453,57.278455118239094,1.9895196601282805e-13,5.861977570020827e-14,0.0,PASS
20,4,6,DRO,112.37481162340899,19.63832490766001,12.001346359327913,39.27665980302801,1.4210854715202004e-13,3.552713678800501e-15,0.0,PASS
20,4,6,SAA,45.82276409459127,9.819163734555273,8.182636445462727,26.18443662548073,2.0605739337042905e-13,8.881784197001252e-15,0.0,PASS
21,4,7,DRO,3.2731482853095017,0.0,0.0,7.886093517676136,1.021405182655144e-13,8.881784197001252e-16,0.0,PASS
21,4,7,SAA,0.0,0.0,0.0,0.0,0.0,2.6645352591003757e-14,0.0,PASS
22,5,1,DRO,213.83949659946245,102.55504657457055,24.547909336063405,181.65463701678823,3.247784263749054e-10,3.552713678800501e-15,0.0,PASS
22,5,1,SAA,206.20243842566074,94.10031912282139,24.54790933638818,175.10841993290242,1.9895196601282805e-13,9.85878045867139e-14,0.0,PASS
23,5,2,DRO,225.8394126397046,93.82530672359077,34.36722621457664,183.5676974784155,2.7000623958883807e-13,3.552713678800501e-15,0.0,PASS
23,5,2,SAA,223.65872950931447,92.46379183372883,28.91198210730164,186.01860186018598,1.9895196601282805e-13,9.059419880941277e-14,0.0,PASS
24,5,3,DRO,219.6513589272778,127.10335476098182,52.368810521354234,151.37842738629377,2.5579538487363607e-13,3.552713678800501e-15,0.0,PASS
24,5,3,SAA,220.1129203829472,127.10361945285436,39.276654938221085,151.10601969287865,2.4158453015843406e-13,9.414691248821327e-14,0.0,PASS
25,5,4,DRO,217.11285404018312,137.4689066114733,63.82477271337325,124.10219078141385,1.7053025658242404e-13,3.552713678800501e-15,0.0,PASS
25,5,4,SAA,212.7485475820309,136.37727409104542,50.186836865504816,118.64822845920953,1.9895196601282805e-13,9.769962616701378e-14,0.0,PASS
26,5,5,DRO,216.48979614441325,68.46147534448677,37.09444706122183,127.17926375427017,1.7053025658242404e-13,1.7763568394002505e-15,0.0,PASS
26,5,5,SAA,196.38327469110547,56.4601914736928,24.54790933638818,111.28385565829302,1.2789769243681803e-13,9.325873406851315e-14,0.0,PASS
