record_scope,metric,rank_or_percent,initial_state_id,scenario_id,value,denominator,share
ALL,tier1_raw_row_count,NaN,NaN,NaN,7733,7733,1
ALL,unordered_unique_pair_count,NaN,NaN,NaN,6321,7733,0.817405922669081
ALL,reverse_duplicate_unordered_classes,NaN,NaN,NaN,1412,6321,0.223382376206296
ALL,rows_in_reverse_duplicate_classes,NaN,NaN,NaN,2824,7733,0.365188154661839
ALL,exact_oriented_duplicate_rows,NaN,NaN,NaN,0,7733,0
ALL,unique_scenario_count,NaN,NaN,NaN,3383,15466,0.218737876632613
STATE,tier1_pair_count,NaN,7,NaN,750,7733,0.0969869390922023
STATE,unique_scenario_count,NaN,7,NaN,142,3383,0.0419745787762341
STATE,tier1_pair_count,NaN,18,NaN,1927,7733,0.249191775507565
STATE,unique_scenario_count,NaN,18,NaN,676,3383,0.199822642624889
STATE,tier1_pair_count,NaN,30,NaN,531,7733,0.0686667528772792
STATE,unique_scenario_count,NaN,30,NaN,522,3383,0.154300916346438
STATE,tier1_pair_count,NaN,31,NaN,586,7733,0.0757791284107074
STATE,unique_scenario_count,NaN,31,NaN,590,3383,0.174401418859001
STATE,tier1_pair_count,NaN,11,NaN,1554,7733,0.200956937799043
STATE,unique_scenario_count,NaN,11,NaN,685,3383,0.202483003251552
STATE,tier1_pair_count,NaN,21,NaN,2385,7733,0.308418466313203
STATE,unique_scenario_count,NaN,21,NaN,768,3383,0.227017440141886
TOP_SCENARIO,incident_pair_count,1,11,119,32,7733,0.0041381094012673
TOP_SCENARIO,incident_pair_count,2,11,10051,28,7733,0.00362084572610888
TOP_SCENARIO,incident_pair_count,3,21,14167,28,7733,0.00362084572610888
TOP_SCENARIO,incident_pair_count,4,21,405,27,7733,0.00349152980731928
TOP_SCENARIO,incident_pair_count,5,11,8395,25,7733,0.00323289796974007
TOP_SCENARIO,incident_pair_count,6,11,895,25,7733,0.00323289796974007
TOP_SCENARIO,incident_pair_count,7,21,12193,24,7733,0.00310358205095047
TOP_SCENARIO,incident_pair_count,8,21,11857,23,7733,0.00297426613216087
TOP_SCENARIO,incident_pair_count,9,21,14901,23,7733,0.00297426613216087
TOP_SCENARIO,incident_pair_count,10,21,8553,23,7733,0.00297426613216087
TOP_SCENARIO,incident_pair_count,11,21,13553,22,7733,0.00284495021337127
TOP_SCENARIO,incident_pair_count,12,21,4231,22,7733,0.00284495021337127
TOP_SCENARIO,incident_pair_count,13,7,7661,22,7733,0.00284495021337127
TOP_SCENARIO,incident_pair_count,14,7,8705,22,7733,0.00284495021337127
TOP_SCENARIO,incident_pair_count,15,18,5663,21,7733,0.00271563429458166
TOP_SCENARIO,incident_pair_count,16,18,9672,21,7733,0.00271563429458166
TOP_SCENARIO,incident_pair_count,17,21,10681,21,7733,0.00271563429458166
TOP_SCENARIO,incident_pair_count,18,21,12705,21,7733,0.00271563429458166
TOP_SCENARIO,incident_pair_count,19,21,12957,21,7733,0.00271563429458166
TOP_SCENARIO,incident_pair_count,20,21,13349,21,7733,0.00271563429458166
HIGH_FREQUENCY,incident_pair_share,1,NaN,NaN,675,7733,0.087288245182982
HIGH_FREQUENCY,remaining_pair_share_after_removal,1,NaN,NaN,7058,7733,0.912711754817018
HIGH_FREQUENCY,remaining_state_count_after_removal,1,NaN,NaN,6,6,1
HIGH_FREQUENCY,incident_pair_share,5,NaN,NaN,2390,7733,0.309065045907151
HIGH_FREQUENCY,remaining_pair_share_after_removal,5,NaN,NaN,5343,7733,0.690934954092849
HIGH_FREQUENCY,remaining_state_count_after_removal,5,NaN,NaN,6,6,1
HIGH_FREQUENCY,incident_pair_share,10,NaN,NaN,3742,7733,0.483900168110694
HIGH_FREQUENCY,remaining_pair_share_after_removal,10,NaN,NaN,3991,7733,0.516099831889306
HIGH_FREQUENCY,remaining_state_count_after_removal,10,NaN,NaN,6,6,1
CATEGORY,NONTAIL_TAIL,NaN,NaN,NaN,1636,7733,0.211560843139791
CATEGORY,TAIL_TAIL,NaN,NaN,NaN,6097,7733,0.788439156860209
