pair_id,group_type,initial_state_id,replay_case,direction,node_id,demand_kg,service_total_kg,shortage_kg,transport_loss,shortage_loss,node_operating_loss,operating_regret_contribution,positive_contribution_rank,service_from_site1_kg,transport_from_site1,service_from_site2_kg,transport_from_site2,service_from_site3_kg,transport_from_site3,service_from_site4_kg,transport_from_site4
2,TIER1,7,T_R_ON_S,R_TO_S,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2,TIER1,7,T_R_ON_S,R_TO_S,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2,TIER1,7,T_R_ON_S,R_TO_S,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
2,TIER1,7,T_R_ON_S,R_TO_S,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
2,TIER1,7,T_R_ON_S,R_TO_S,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
2,TIER1,7,T_R_ON_S,R_TO_S,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
2,TIER1,7,T_R_ON_S,R_TO_S,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
2,TIER1,7,T_R_ON_S,R_TO_S,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
2,TIER1,7,T_R_ON_S,R_TO_S,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
2,TIER1,7,T_R_ON_S,R_TO_S,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
2,TIER1,7,T_R_ON_S,R_TO_S,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
2,TIER1,7,T_R_ON_S,R_TO_S,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
2,TIER1,7,T_R_ON_S,R_TO_S,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
2,TIER1,7,T_R_ON_S,R_TO_S,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
2,TIER1,7,T_R_ON_S,R_TO_S,16,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
2,TIER1,7,T_R_ON_S,R_TO_S,17,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
2,TIER1,7,T_R_ON_S,R_TO_S,18,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
2,TIER1,7,T_R_ON_S,R_TO_S,19,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
2,TIER1,7,T_R_ON_S,R_TO_S,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
2,TIER1,7,T_R_ON_S,R_TO_S,21,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
2,TIER1,7,T_R_ON_S,R_TO_S,22,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
2,TIER1,7,T_R_ON_S,R_TO_S,23,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
2,TIER1,7,T_R_ON_S,R_TO_S,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
