pair_id,initial_state_id,scenario_r,path_id_r,scenario_s,path_id_s,neighbor_categories,nearest_all_rank,pair_type,r_tail95,r_tail99,r_tail995,s_tail95,s_tail99,s_tail995,loss_T50_r,loss_T50_s,d_D,d_Ctilde,d_new,D_l1_difference_kg,max_D_difference_node_id,max_D_difference_kg,A_reachability_change_count,C_common_reachable_l1_km,changed_local_count,max_local_Ctilde,local_dilution_ratio,T_r1,T_r2,T_r3,T_r4,T_s1,T_s2,T_s3,T_s4,d_T_normalized,T_L1_difference_kg,max_single_site_T_difference_kg,max_difference_site_id,optimal_objective_r,optimal_objective_s,own_operating_loss_r,own_operating_loss_s,cross_objective_r_to_s,cross_objective_s_to_r,regret_obj_r_to_s,regret_obj_s_to_r,regret_loss_r_to_s,regret_loss_s_to_r,relative_regret_obj_r_to_s,relative_regret_obj_s_to_r,multiple_optimum_r,multiple_optimum_s,capacity_saturated_r,capacity_saturated_s,tier_0,tier_1,tier_2,tier_3,historical_step03R_false_near,group_type,selection_rule,bidirectional_severity,relative_regret_loss_r_to_s,relative_regret_loss_s_to_r,relative_regret_loss_source
1,7,3576,3576,8245,8245,all;tail,3,TAIL_TAIL,1,1,0,1,1,0,6.81886370455227,20.4565911136568,0.00772698003861666,7.53585279653816e-20,0.00463618802316999,3.27305457818509,16,3.27305457818509,0,3.5527136788005e-15,0,9.94732569143037e-18,0.0447987722772588,0,2.27737204666177e-09,8.18263644318536,0,0,4.45714164243334e-08,11.4556909790764,0,0.00818263639259517,3.27305457818509,3.27305453589105,3,23.1841365954777,43.3679731609525,6.81886371455228,20.4565911236568,6569.29329297091,29.7302457518479,6525.92531979996,6.54610914637018,6532.47142895633,-1.00000008274037e-08,150.477987386576,0.282352940623354,0,0,0,0,0,1,1,1,0,TIER1,MINIMUM_D_NEW,0.282352940623354,319.333333176999,-1.46652011918973e-09,derived_from_frozen_absolute_regret_and_own_operating_loss
2,7,3576,3576,1,1,all;tail,5,TAIL_TAIL,1,1,0,1,1,0,6.81886370455227,0,0.0193174500965416,1.69556687922109e-19,0.011590470057925,8.18263644546273,18,4.90958186727764,0,7.99360577730113e-15,0,9.94732569143037e-18,0.0447987722772588,0,2.27737204666177e-09,8.18263644318536,0,0,0,0,0,0.0204565911108101,8.18263644546273,8.18263644318536,3,23.1841365954777,0,6.81886371455228,0,16.3652728909255,16365.2728909255,16.3652728909255,16342.08875432,0,16358.4540272109,1636527289.09255,704.882352636709,0,0,0,0,0,1,1,1,0,TIER1,MAXIMUM_BIDIRECTIONAL_SEVERITY,704.882352636709,0,2398.99999648035,derived_from_frozen_absolute_regret_and_own_operating_loss
3,7,5076,5076,7008,7008,all;tail,10,TAIL_TAIL,1,1,1,1,1,1,229958.268848774,63060.0958577666,0.118480360592122,0.795848590576469,0.389427652585861,50.1868368655047,2,10.9101819272836,105,18.5769219824261,128,1,1.21844403719378,108.010801080108,184.927583667458,16.3652728909255,16.3652728909204,194.201238305649,50.7323459618689,44.731746156664,115.647928174405,0.475956686790091,348.034803480353,134.195237705589,2,62668.0870721389,3484.09054009949,62016.7492110901,2673.46402291232,162886.128832292,328611.676932418,159402.038292182,265943.58986027,159561.326948321,265784.301204131,45.7514052683524,4.24368450171604,0,0,0,0,0,1,1,1,0,TIER1,CATEGORY_REPRESENTATIVE,4.24368450171604,59.6833641974744,4.2856857959366,derived_from_frozen_absolute_regret_and_own_operating_loss
4,7,224,224,13663,13663,all;tail,1,TAIL_TAIL,1,1,1,1,1,0,45936.7545879684,113.274713248072,0.0540888602703166,0.0303193493715289,0.0445810559108015,22.9113820472956,25,22.9113820472956,4,0.769348598568431,52,1,12.9930028877638,4.90958186727257,0,0,0,4.90958186727257,0,0,0,0,0,0,1,45946.5737517029,123.093876982628,45936.7545879784,113.274713258083,123.093876982618,45946.5737517029,-1.00101118505336e-08,-1.00117176771164e-08,-1.00101118505336e-08,-1.00117176771164e-08,-8.13209567778347e-11,-2.17899113244394e-13,0,0,0,0,0,0,0,0,0,CONTROL,LOW_REGRET_DISTANCE_MATCHED,-8.13209567778347e-11,-8.83702245860181e-11,-2.17945690045253e-13,derived_from_frozen_absolute_regret_and_own_operating_loss
5,18,7951,7951,8139,8139,all;tail,6,TAIL_TAIL,1,0,0,1,0,0,405066.594850584,405135.083406181,0,0.00737664088153913,0.00295065635261565,0,1,0,0,347.765457619901,128,0.105210898084729,13.8305077731494,260.207838965715,120.284755792876,99.8281645900711,96.5551100564602,283.67973161572,66.2793552082481,76.9167825873496,149.999999993805,0.233419932841501,153.833565174699,54.0054005846282,2,5501.74342420027,4902.04376286633,4347.99168540002,3748.29202406609,5553.79833622146,6256.49854842257,651.754573345131,754.755124212306,651.75457334513,754.755124212305,0.132955682338239,0.137184718736797,0,0,0,1,0,1,1,1,0,TIER1,MINIMUM_D_NEW,0.132955682338239,0.173880415175901,0.173587067046764,derived_from_frozen_absolute_regret_and_own_operating_loss
6,18,5578,5578,6733,6733,all;non_tail,6,NONTAIL_TAIL,1,0,0,0,0,0,397874.447333185,316768.233684442,0.0161507402422345,0.116733188095911,0.056383719383705,9.81916373455527,3,4.90958186727764,15,145.997154075658,90,1,5.84082550078204,198.322559533546,200,99.9999999951345,24.5479093363882,216.021602160216,105.556010191036,99.8281645900781,111.283855658293,0.277793688499246,199.050814162595,94.4439898089636,2,6296.35903108252,4820.92448720116,5250.61809336239,3755.54522201191,178001.123206093,158157.059224858,173180.198718882,151860.700193765,173199.837046351,151841.061866296,35.9226117684047,24.1188120696184,0,0,1,0,0,1,1,1,0,TIER1,MAXIMUM_BIDIRECTIONAL_SEVERITY,24.1188120696184,46.11842670172,28.9187023634888,derived_from_frozen_absolute_regret_and_own_operating_loss
7,18,8902,8902,1303,1303,all;tail,9,TAIL_TAIL,1,0,0,1,0,0,492727.060184778,467241.1061603,0,0.277457181969267,0.110982872787707,0,1,0,36,222.987546561932,124,1,3.38572580001909,137.468292283774,200,100,149.999999999995,291.301857458473,76.0985189850612,99.8281645923875,140.741346861959,0.298932165996681,287.165534735287,153.833565174699,1,48066.4506024594,5204.40767135871,46891.5140179018,3988.46789557295,47232.3419774934,311539.712980363,42027.9343061247,263473.262377893,42068.9374973529,263432.259186665,8.07545007231759,5.48143786519484,0,0,1,0,0,1,1,1,0,TIER1,CATEGORY_REPRESENTATIVE,5.48143786519484,10.5476435059306,5.6179090119823,derived_from_frozen_absolute_regret_and_own_operating_loss
8,18,4847,4847,6256,6256,all;loss_similar_spatial;tail,10,TAIL_TAIL,1,0,0,1,0,0,467749.754065941,467175.682224872,0,0.143112860935707,0.0572451443742829,0,1,0,16,1032.49173905808,120,1,6.35226563948934,252.025202520252,58.7431471037698,99.9999999382071,148.105719662875,212.748547582031,96.1255216963756,99.9999999466978,150,0.0826156479390425,78.5533098764422,39.2766549382211,1,104543.974431585,102616.204932113,103426.226293145,101498.456793673,102953.494595905,104850.074701437,337.289663782271,306.100269841903,337.289663782271,306.100269841903,0.00328690448068485,0.00292795707745157,0,0,1,1,0,0,0,0,0,CONTROL,LOW_REGRET_DISTANCE_MATCHED,0.00292795707745157,0.00332310139914656,0.00295960010156719,derived_from_frozen_absolute_regret_and_own_operating_loss
9,30,3991,3991,5821,5821,all;tail,9,TAIL_TAIL,1,0,0,1,0,0,764664.304125603,801093.347886689,0,0.0227291183630685,0.00909164734522742,0,1,0,3,0.0870109291528562,6,1,1.99983759723837,137.468292283774,49.0958186727764,14.7287456018329,24.5479093363833,68.7341461418869,49.0958186727764,14.7287456018329,91.6455281891776,0.169107819872896,135.831764994681,68.7341461418869,1,765115.985657393,768314.478943904,764664.304125613,767866.070466703,902289.735304642,902285.664231675,133975.256360728,137169.678574272,133971.98330615,137172.95162885,0.174375545473103,0.179279587860674,0,0,0,0,0,1,1,1,0,TIER1,MINIMUM_D_NEW,0.174375545473103,0.174473112511304,0.179389767364263,derived_from_frozen_absolute_regret_and_own_operating_loss
10,30,2508,2508,6378,6378,all;non_tail,7,NONTAIL_TAIL,1,0,0,0,0,0,706884.302976619,476336.915390195,0,0.115926007280944,0.0463704029123774,0,1,0,15,107.943301379432,22,1,1.43769867155654,260.207838965715,19.6383274691105,14.7287456018329,24.5479093363832,142.377874151051,83.4628917437198,24.5479093363882,76.9167825873446,0.289801707443471,243.842566074789,117.829964814663,1,491021.920656591,473170.780080363,490383.675013855,472516.169164736,723655.546872584,722681.566648503,250484.766792212,231659.645991902,250501.132065103,231643.280719011,0.529374968483186,0.471790843231854,0,0,0,0,0,1,1,1,0,TIER1,MAXIMUM_BIDIRECTIONAL_SEVERITY,0.471790843231854,0.530142984329853,0.472371517490802,derived_from_frozen_absolute_regret_and_own_operating_loss
