pair_id,group_type,initial_state_id,scenario_r,scenario_s,pair_type,d_D,d_Ctilde,d_new,total_D_r_kg,total_D_s_kg,total_D_absolute_difference_kg,D_l1_difference_kg,demand_relocation_share,centroid_r_x_km,centroid_r_y_km,centroid_s_x_km,centroid_s_y_km,centroid_shift_km,A_change_count,reachable_to_unreachable_count,unreachable_to_reachable_count,service_set_change_node_count,service_count_change_node_count,A_change_affected_demand_kg,best_site_change_node_count,best_site_change_affected_demand_kg,service_count_change_affected_demand_kg,unreachable_D_r_kg,unreachable_D_s_kg,shared_D_r_kg,shared_D_s_kg,mean_best_cost_r_km,mean_best_cost_s_km,mean_second_gap_r_km,mean_second_gap_s_km,T_l1_difference_kg,maximum_site_T_difference_kg,capacity_saturated_r,capacity_saturated_s,centroid_source,covered_D_r_site1_kg,covered_D_s_site1_kg,exclusive_D_r_site1_kg,exclusive_D_s_site1_kg,best_assignment_D_r_site1_kg,best_assignment_D_s_site1_kg,weighted_service_burden_r_site1_kg_km,weighted_service_burden_s_site1_kg_km,covered_D_r_site2_kg,covered_D_s_site2_kg,exclusive_D_r_site2_kg,exclusive_D_s_site2_kg,best_assignment_D_r_site2_kg,best_assignment_D_s_site2_kg,weighted_service_burden_r_site2_kg_km,weighted_service_burden_s_site2_kg_km,covered_D_r_site3_kg,covered_D_s_site3_kg,exclusive_D_r_site3_kg,exclusive_D_s_site3_kg,best_assignment_D_r_site3_kg,best_assignment_D_s_site3_kg,weighted_service_burden_r_site3_kg_km,weighted_service_burden_s_site3_kg_km,covered_D_r_site4_kg,covered_D_s_site4_kg,exclusive_D_r_site4_kg,exclusive_D_s_site4_kg,best_assignment_D_r_site4_kg,best_assignment_D_s_site4_kg,weighted_service_burden_r_site4_kg_km,weighted_service_burden_s_site4_kg_km,path_id_r,path_id_s
1,TIER1,7,3576,8245,TAIL_TAIL,0.00772698003861666,7.53585279653816e-20,0.00463618802316999,8.18263644546273,11.4556910236478,3.27305457818509,3.27305457818509,0,-16.9230769230769,10.8333333333333,-16.9230769230769,11.7857142857143,0.952380952380951,0,0,0,0,0,0,0,0,0,0,0,8.18263644546273,11.4556910236478,7.91741228153213,7.91741228153213,9.93292836999824,9.93292836999824,3.27305457818508,3.27305453589104,0,0,NearStageInput.Spatial.node_positions_affine_km,8.18263644546273,11.4556910236478,0,0,0,0,246.032919725016,333.535905687739,8.18263644546273,11.4556910236478,0,0,0,0,63.2056212614268,77.5776878387139,8.18263644546273,11.4556910236478,0,0,8.18263644546273,11.4556910236478,6.81886370455227,20.4565911136568,8.18263644546273,11.4556910236478,0,0,0,0,231.509731261154,313.203441838332,3576,8245
2,TIER1,7,3576,1,TAIL_TAIL,0.0193174500965416,1.69556687922109e-19,0.011590470057925,8.18263644546273,0,8.18263644546273,8.18263644546273,0,-16.9230769230769,10.8333333333333,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,8.18263644546273,0,7.91741228153213,7.91741228153213,9.93292836999824,9.93292836999824,8.18263644546273,8.18263644318536,0,0,NearStageInput.Spatial.node_positions_affine_km,8.18263644546273,0,0,0,0,0,246.032919725016,0,8.18263644546273,0,0,0,0,0,63.2056212614268,0,8.18263644546273,0,0,0,8.18263644546273,0,6.81886370455227,0,8.18263644546273,0,0,0,0,0,231.509731261154,0,3576,1
3,TIER1,7,5076,7008,TAIL_TAIL,0.118480360592122,0.795848590576469,0.389427652585861,355.126421733082,405.313258598587,50.1868368655047,50.1868368655047,8.49477010473018e-16,-22.885501595179,25.6137992831541,-24.2654519101356,24.5216464782414,1.75984676066629,105,0,105,33,33,405.313258598587,10,134.195237705589,405.313258598587,29.4574912036658,0,0,405.313258598587,10.8062615261969,8.17652858712596,NaN,10.8991875380002,348.034803480353,134.195237705589,0,0,NearStageInput.Spatial.node_positions_affine_km,108.010801080108,405.313258598587,108.010801080108,0,108.010801080108,194.201238305649,290.043852374461,6806.14163430312,184.927583667458,405.313258598587,184.927583667458,0,184.927583667458,50.7323459618689,2795.69096122071,8952.47105320719,16.3652728909255,405.313258598587,16.3652728909255,0,16.3652728909255,44.7317459018629,16.0319901532707,9587.67229560942,16.3652728909255,405.313258598587,16.3652728909255,0,16.3652728909255,115.647928429207,0,8376.46592980042,5076,7008
4,CONTROL,7,224,13663,TAIL_TAIL,0.0540888602703166,0.0303193493715289,0.0445810559108015,27.8209639145733,4.90958186727764,22.9113820472956,22.9113820472956,0,-37.6923076923077,27.5245098039216,-37.6923076923077,12.0833333333333,15.4411764705882,4,0,4,1,1,22.9113820472956,0,0,22.9113820472956,22.9113820472956,0,4.90958186727764,4.90958186727764,8.13778768194392,7.97833343143484,9.35331737201054,9.90322399200601,0,0,0,0,NearStageInput.Spatial.node_positions_affine_km,4.90958186727764,4.90958186727764,0,0,4.90958186727764,4.90958186727764,113.990493377118,113.274713248072,4.90958186727764,4.90958186727764,0,0,0,0,133.313328663258,133.038378533434,4.90958186727764,4.90958186727764,0,0,0,0,132.211819910984,131.93686978116,4.90958186727764,4.90958186727764,0,0,0,0,198.71968079019,198.349535789123,224,13663
5,TIER1,18,7951,8139,TAIL_TAIL,0,0.00737664088153913,0.00295065635261565,576.875869405122,576.875869405122,0,0,0,-23.7250409165303,24.7369976359338,-23.7250409165303,24.7369976359338,0,0,0,0,0,0,0,4,86.7359463219049,0,0,0,576.875869405122,576.875869405122,9.05183010926903,8.36108578278801,9.72736373001677,11.6759825631816,153.833565174699,54.0054005846279,0,1,NearStageInput.Spatial.node_positions_affine_km,576.875869405122,576.875869405122,0,0,260.207838965715,260.207838965715,10754.4007390816,10574.9310946633,576.875869405122,576.875869405122,0,0,120.284755748302,66.2793552082481,11931.9703306156,13661.6240784224,576.875869405122,576.875869405122,0,0,99.8281646346453,76.9167825873496,12791.3670208848,14118.9717917131,576.875869405122,576.875869405122,0,0,96.5551100564602,173.47189264381,13791.2973350101,12161.1954491489,7951,8139
6,TIER1,18,5578,6733,NONTAIL_TAIL,0.0161507402422345,0.116733188095911,0.056383719383705,522.870468865068,532.689632599624,9.81916373455533,9.81916373455527,0,-22.7157818707115,25.6331507563902,-22.885501595179,25.6137992831541,0.170819391140911,15,12,3,4,4,86.7359463219049,6,116.193437525571,86.7359463219049,0,0,498.32255952868,421.40577694133,11.6832595396948,10.2900819105119,8.44709502888909,7.7244795102489,199.050814162595,94.443989808964,1,0,NearStageInput.Spatial.node_positions_affine_km,498.32255952868,421.40577694133,0,0,196.383274691105,216.021602160216,10392.5778066586,8064.60538528765,498.32255952868,421.40577694133,0,0,182.472792733819,105.556010146469,10828.075302101,8662.96708569139,498.32255952868,421.40577694133,0,0,119.466492103756,99.8281646346453,11534.2327338945,9151.17661873337,24.5479093363882,111.283855658293,24.5479093363882,111.283855658293,24.5479093363882,111.283855658293,0,319.465463741684,5578,6733
7,TIER1,18,8902,1303,TAIL_TAIL,0,0.277457181969267,0.110982872787707,607.969887897881,607.969887897881,0,0,0,-24.2654519101356,24.5216464782414,-24.2654519101356,24.5216464782414,0,36,0,36,32,32,607.969887897881,16,200.474592913837,607.969887897881,0,0,470.501595614107,607.969887897881,13.4488829476816,7.85798858596253,6.8807318292628,10.4130799931904,287.165534735286,153.833565174699,1,0,NearStageInput.Spatial.node_positions_affine_km,137.468292283774,607.969887897881,137.468292283774,0,137.468292283774,291.301857458473,244.122968981519,10183.1298467487,470.501595614107,607.969887897881,0,0,29.4574912036658,76.0985189428034,10168.0505503397,13051.223749691,470.501595614107,607.969887897881,0,0,202.111120202929,99.8281646346453,10162.3475387485,14000.2187059904,470.501595614107,607.969887897881,0,0,238.932984207512,140.741346861959,9136.62167514711,12462.2730363318,8902,1303
8,CONTROL,18,4847,6256,TAIL_TAIL,0,0.143112860935707,0.0572451443742829,607.969887897881,607.969887897881,0,0,0,-24.2654519101356,24.5216464782414,-24.2654519101356,24.5216464782414,0,16,4,12,4,4,39.2766549382211,6,56.4601914736928,39.2766549382211,49.0958186727764,49.0958186727764,558.874069225104,558.874069225104,11.8707815060808,7.75313277813016,13.8214792301689,10.5563654564318,78.5533098764425,39.276654938221,1,1,NearStageInput.Spatial.node_positions_affine_km,558.874069225104,558.874069225104,0,0,252.025202520252,212.748547582031,16239.029606005,11546.1087915335,558.874069225104,558.874069225104,0,0,39.2766549382211,76.0985189428034,15756.3461291668,11501.3428075497,558.874069225104,558.874069225104,0,0,119.466492103756,119.466492103756,15817.0828587883,12473.3005441646,558.874069225104,558.874069225104,0,0,148.105719662875,150.560510596514,20312.568863411,12825.1823778782,4847,6256
9,TIER1,30,3991,5821,TAIL_TAIL,0,0.0227291183630685,0.00909164734522742,607.969887897881,607.969887897881,0,0,0,-24.2654519101356,24.5216464782414,-24.2654519101356,24.5216464782414,0,3,1,2,3,3,135.831764994681,0,0,135.831764994681,382.129122003109,383.765649292202,0,0,1.94658871588737,1.99850294414764,NaN,NaN,135.831764994681,68.7341461418871,0,0,NearStageInput.Spatial.node_positions_affine_km,137.468292283774,68.7341461418869,137.468292283774,68.7341461418869,137.468292283774,68.7341461418869,295.340654913804,0,49.0958186727764,49.0958186727764,49.0958186727764,49.0958186727764,49.0958186727764,49.0958186727764,110.719464470543,111.517482850524,14.7287456018329,14.7287456018329,14.7287456018329,14.7287456018329,14.7287456018329,14.7287456018329,0,0,24.5479093363882,91.6455281891825,24.5479093363882,91.6455281891825,24.5479093363882,91.6455281891825,0,223.254399438939,3991,5821
10,TIER1,30,2508,6378,NONTAIL_TAIL,0,0.115926007280944,0.0463704029123774,562.147123803289,562.147123803289,0,0,0,-23.5404769902587,24.5772683163513,-23.5404769902587,24.5772683163513,0,15,8,7,14,13,234.023402340234,1,9.81916373455527,224.204238605679,243.024302430243,234.84166598478,0,0,23.6410141504167,9.76387179942478,NaN,NaN,243.84256607479,117.829964814664,0,0,NearStageInput.Spatial.node_positions_affine_km,260.207838965715,142.377874151051,260.207838965715,142.377874151051,260.207838965715,142.377874151051,4335.07015335864,1308.76674001599,19.6383274691105,83.4628917437198,19.6383274691105,83.4628917437198,19.6383274691105,83.4628917437198,0,1270.77577096879,14.7287456018329,24.5479093363882,14.7287456018329,24.5479093363882,14.7287456018329,24.5479093363882,0,29.27978582624,24.5479093363882,76.9167825873496,24.5479093363882,76.9167825873496,24.5479093363882,76.9167825873496,0,224.014898353995,2508,6378
