metric,tier1_count,control_count,tier1_median,control_median,tier1_q90,control_q90,tier1_maximum,control_maximum,median_difference,median_ratio
total_D_absolute_difference_kg,18,6,0,9.81916373455525,21.9294656738402,21.2748547582031,97.6461282491886,22.9113820472956,-9.81916373455525,0
d_D,18,6,0,0.0161507402422345,0.0490663232452158,0.0431951703773928,0.192911619560024,0.0540888602703166,-0.0161507402422345,0
d_Ctilde,18,6,0.100956869021733,0.101384796378233,0.478627875708401,0.152654682097533,0.795848590576469,0.16219650325936,-0.000427927356500338,0.995779176249426
d_new,18,6,0.0489429866335247,0.046051404152996,0.19145115028336,0.0707523169843541,0.389427652585861,0.0842594895944253,0.00289158248052875,1.06279032167884
A_change_count,18,6,13,11.5,61.7,18.5,105,21,1.5,1.1304347826087
A_change_affected_demand_kg,18,6,148.105719662875,49.0958186727764,607.969887897881,127.649128549219,607.969887897881,169.380574421078,99.009900990099,3.01666666666667
exclusive_D_change_kg,18,6,123.557810326487,0,324.277882333688,6.13697733409705,325.668930529416,12.2739546681941,123.557810326487,123557810326487
shared_D_change_kg,18,6,5.72784551182391,0,237.13280418951,42.9588413386793,405.313258598587,85.9176826773585,5.72784551182391,5727845511823.91
unreachable_D_change_kg,18,6,0.818263644546306,19.6383274691105,78.0623516897144,54.4145323623271,151.37877424106,85.9176826773586,-18.8200638245642,0.0416666666666684
best_site_change_node_count,18,6,3.5,0,11.2,4.5,16,6,3.5,3500000000000
best_cost_change_km,18,6,92.4447214522597,95.3503063815886,169.112189774605,157.247972224622,338.617919554878,180.026610056008,-2.90558492932894,0.969527261740504
second_best_gap_change_km,18,6,3.69123711190182,49.3572491353142,155.396623904005,480.554279441102,286.203159651921,853.210968871995,-45.6660120234123,0.0747861190922978
covered_D_change_kg,18,6,247.933884297521,0,1195.72866377547,92.0546600114556,1485.96677849603,171.835365354717,247.933884297521,247933884297521
maximum_site_T_difference_kg,18,6,96.3178135772581,0.818263649107527,143.523443253416,26.1844366187219,170.542508796334,39.2766549382211,95.4995499281506,117.709999316615
bidirectional_severity,18,6,0.438617753005599,3.14902703261816e-06,38.1118830378669,0.00148781183740122,704.882352636709,0.00292795707745157,0.438614603978567,139286.753801197
