pair_id,group_type,initial_state_id,rank,site_id,node_id,local_Ctilde_difference,A_r,A_s,C_r_km,C_s_km,D_r_kg,D_s_kg
1,TIER1,7,1,1,16,9.94732569143037e-18,1,1,26.7343497862609,26.7343497862609,0,3.27305457818509
1,TIER1,7,2,1,1,0,1,1,17.1027840995538,17.1027840995538,0,0
1,TIER1,7,3,2,1,0,1,1,30.8804340563854,30.8804340563854,0,0
1,TIER1,7,4,3,1,0,1,1,30.6560750820264,30.6560750820264,0,0
1,TIER1,7,5,4,1,0,1,1,32.9807692307692,32.9807692307692,0,0
1,TIER1,7,6,1,2,0,1,1,12.4873994841692,12.4873994841692,0,0
1,TIER1,7,7,2,2,0,1,1,26.2650494410007,26.2650494410007,0,0
1,TIER1,7,8,3,2,0,1,1,26.0406904666418,26.0406904666418,0,0
1,TIER1,7,9,4,2,0,1,1,28.3653846153846,28.3653846153846,0,0
1,TIER1,7,10,1,3,0,1,1,7.8720148687846,7.8720148687846,0,0
2,TIER1,7,1,4,17,9.94732569143037e-18,1,1,27.0428042574257,27.0428042574257,3.27305457818509,0
2,TIER1,7,2,1,18,9.94732569143037e-18,1,1,30.9010164529275,30.9010164529275,4.90958186727764,0
2,TIER1,7,3,2,17,2.48683142285759e-18,1,1,6.47435897435897,6.47435897435897,3.27305457818509,0
2,TIER1,7,4,1,1,0,1,1,17.1027840995538,17.1027840995538,0,0
2,TIER1,7,5,2,1,0,1,1,30.8804340563854,30.8804340563854,0,0
2,TIER1,7,6,3,1,0,1,1,30.6560750820264,30.6560750820264,0,0
2,TIER1,7,7,4,1,0,1,1,32.9807692307692,32.9807692307692,0,0
2,TIER1,7,8,1,2,0,1,1,12.4873994841692,12.4873994841692,0,0
2,TIER1,7,9,2,2,0,1,1,26.2650494410007,26.2650494410007,0,0
2,TIER1,7,10,3,2,0,1,1,26.0406904666418,26.0406904666418,0,0
3,TIER1,7,1,2,1,1,0,1,NaN,32.4090623571917,0,0
3,TIER1,7,2,3,1,1,0,1,NaN,32.148045174146,0,0
3,TIER1,7,3,4,1,1,0,1,NaN,33.0721171384739,0,0
3,TIER1,7,4,2,2,1,0,1,NaN,28.5579918922103,0,10.9101819272836
3,TIER1,7,5,3,2,1,0,1,NaN,28.2786456048212,0,10.9101819272836
3,TIER1,7,6,4,2,1,0,1,NaN,28.5024064769417,0,10.9101819272836
3,TIER1,7,7,1,3,1,0,1,NaN,7.8720148687846,9.81916373455527,9.81916373455527
3,TIER1,7,8,2,3,1,0,1,NaN,25.064378214942,9.81916373455527,9.81916373455527
3,TIER1,7,9,3,3,1,0,1,NaN,24.7850319275528,9.81916373455527,9.81916373455527
3,TIER1,7,10,4,3,1,0,1,NaN,23.8870218615571,9.81916373455527,9.81916373455527
4,CONTROL,7,1,1,25,1,0,1,NaN,3.17274325205119,22.9113820472956,0
4,CONTROL,7,2,2,25,1,0,1,NaN,34.3124577270401,22.9113820472956,0
4,CONTROL,7,3,3,25,1,0,1,NaN,34.0880987526812,22.9113820472956,0
4,CONTROL,7,4,4,25,1,0,1,NaN,30.5025940598658,22.9113820472956,0
4,CONTROL,7,5,1,22,0.000408207764283339,1,1,23.2179636593627,23.0721711767449,4.90958186727764,4.90958186727764
4,CONTROL,7,6,4,22,0.00021109284431752,1,1,40.4758869822818,40.4004946146478,4.90958186727764,4.90958186727764
4,CONTROL,7,7,2,22,0.000156803427799349,1,1,27.1537031598946,27.0977004009515,4.90958186727764,4.90958186727764
4,CONTROL,7,8,3,22,0.000156803427799349,1,1,26.9293441855356,26.8733414265926,4.90958186727764,4.90958186727764
4,CONTROL,7,9,1,21,0.000101897917667397,1,1,17.14460761385,17.1082145030614,0,0
4,CONTROL,7,10,1,20,8.38014454946632e-05,1,1,14.004565412936,13.9746355050444,0,0
5,TIER1,18,1,4,32,0.105210898084729,1,1,40.7913061308593,3.21495562425845,34.3670730709435,34.3670730709435
5,TIER1,18,2,4,33,0.0799038151507553,1,1,36.1268547422731,7.58899583623632,9.81916373455527,9.81916373455527
5,TIER1,18,3,1,32,0.0404639801807752,1,1,47.1952472706677,32.7434297323318,34.3670730709435,34.3670730709435
5,TIER1,18,4,1,33,0.0335777623858342,1,1,42.5307958820816,30.5384092414756,9.81916373455527,9.81916373455527
5,TIER1,18,5,2,15,0.0223073444153439,1,1,2.08333333333333,10.0504603884354,9.81916373455527,9.81916373455527
5,TIER1,18,6,3,7,0.0203966241388077,1,1,13.9380687953795,21.2227770503552,32.7305457818509,32.7305457818509
5,TIER1,18,7,2,22,0.0199435474849037,1,1,26.5658072018276,33.6886979315908,14.7287456018329,14.7287456018329
5,TIER1,18,8,2,21,0.0198531167004761,1,1,21.5020089311905,28.5926020671293,14.7287456018329,14.7287456018329
5,TIER1,18,9,2,20,0.0197721668666851,1,1,18.3930345722161,25.4547162609251,14.7287456018329,14.7287456018329
5,TIER1,18,10,2,19,0.0188353562642543,1,1,21.5020089311905,28.2291062356194,0,0
6,TIER1,18,1,1,1,1,1,0,19.4614779504329,NaN,0,0
6,TIER1,18,2,2,1,1,1,0,31.7171755385683,NaN,0,0
6,TIER1,18,3,3,1,1,1,0,31.3217151309598,NaN,0,0
6,TIER1,18,4,1,29,1,1,0,26.4649123393229,NaN,19.6383274691105,19.6383274691105
6,TIER1,18,5,2,29,1,1,0,24.8050171320753,NaN,19.6383274691105,19.6383274691105
6,TIER1,18,6,3,29,1,1,0,25.9799299059954,NaN,19.6383274691105,19.6383274691105
6,TIER1,18,7,4,29,1,0,1,NaN,6.03621750281811,19.6383274691105,19.6383274691105
6,TIER1,18,8,1,30,1,1,0,30.3614186500966,NaN,32.7305457818509,32.7305457818509
6,TIER1,18,9,2,30,1,1,0,28.701523442849,NaN,32.7305457818509,32.7305457818509
6,TIER1,18,10,3,30,1,1,0,29.8764362167692,NaN,32.7305457818509,32.7305457818509
7,TIER1,18,1,1,2,1,0,1,NaN,12.553467117219,16.3652728909255,16.3652728909255
7,TIER1,18,2,1,3,1,0,1,NaN,7.92732302085007,14.7287456018329,14.7287456018329
7,TIER1,18,3,1,4,1,0,1,NaN,10.2350153285424,19.6383274691105,19.6383274691105
7,TIER1,18,4,1,5,1,0,1,NaN,12.5427076362347,9.81916373455527,9.81916373455527
7,TIER1,18,5,1,6,1,0,1,NaN,14.7047788509628,9.81916373455527,9.81916373455527
7,TIER1,18,6,1,7,1,0,1,NaN,17.0412411636049,32.7305457818509,32.7305457818509
7,TIER1,18,7,1,8,1,0,1,NaN,20.2482497851476,32.7305457818509,32.7305457818509
7,TIER1,18,8,1,9,1,0,1,NaN,22.6560798958404,9.81916373455527,9.81916373455527
7,TIER1,18,9,1,10,1,0,1,NaN,25.0925979220562,9.81916373455527,9.81916373455527
7,TIER1,18,10,1,11,1,0,1,NaN,27.5590651483712,7.36437280091645,7.36437280091645
8,CONTROL,18,1,1,1,1,0,1,NaN,17.5228052546514,0,0
8,CONTROL,18,2,2,1,1,0,1,NaN,31.2879112481632,0,0
8,CONTROL,18,3,3,1,1,0,1,NaN,31.0997054755482,0,0
8,CONTROL,18,4,4,1,1,0,1,NaN,40.1795111823801,0,0
8,CONTROL,18,5,1,4,1,1,0,16.1958300359392,NaN,19.6383274691105,19.6383274691105
8,CONTROL,18,6,2,4,1,1,0,30.1515887394163,NaN,19.6383274691105,19.6383274691105
8,CONTROL,18,7,3,4,1,1,0,29.9900301851145,NaN,19.6383274691105,19.6383274691105
8,CONTROL,18,8,4,4,1,1,0,50.5125422838147,NaN,19.6383274691105,19.6383274691105
8,CONTROL,18,9,1,26,1,0,1,NaN,23.1552623811558,9.81916373455527,9.81916373455527
8,CONTROL,18,10,2,26,1,0,1,NaN,18.8179822223788,9.81916373455527,9.81916373455527
9,TIER1,30,1,1,25,1,1,0,4.29685493297809,NaN,68.7341461418869,68.7341461418869
9,TIER1,30,2,4,30,1,0,1,NaN,2.79780303139565,32.7305457818509,32.7305457818509
9,TIER1,30,3,4,32,1,0,1,NaN,3.83159714996431,34.3670730709435,34.3670730709435
9,TIER1,30,4,2,12,0.000183815125938945,1,1,5.61214049581257,5.67779055418518,9.81916373455527,9.81916373455527
9,TIER1,30,5,2,13,5.17738490811682e-05,1,1,2.95090738030041,2.9693985474282,9.81916373455527,9.81916373455527
9,TIER1,30,6,2,15,8.03495002685548e-06,1,1,2.71280691800786,2.7099372143554,9.81916373455527,9.81916373455527
9,TIER1,30,7,1,1,0,0,0,NaN,NaN,0,0
9,TIER1,30,8,2,1,0,0,0,NaN,NaN,0,0
