pair_id,group_type,initial_state_id,replay_case,T_source_scenario,target_scenario,solver_status,service_cost,shortage_kg,shortage_loss,operating_loss,holding_cost,full_objective,T_site1_kg,service_site1_kg,unused_T_site1_kg,transport_site1,T_site2_kg,service_site2_kg,unused_T_site2_kg,transport_site2,T_site3_kg,service_site3_kg,unused_T_site3_kg,transport_site3,T_site4_kg,service_site4_kg,unused_T_site4_kg,transport_site4
1,TIER1,7,T_R_ON_R,R,R,OPTIMAL,6.81886371455225,0,0,6.81886371455225,16.3652728909255,23.1841366054777,0,0,0,0,2.27737204666177e-09,2.27736673963364e-09,5.3070281351466e-15,1.47444897886537e-08,8.18263644318536,8.18263644318536,0,6.81886369980776,0,0,0,0
1,TIER1,7,T_S_ON_S,S,S,OPTIMAL,20.4565911236568,0,0,20.4565911236568,22.9113820472956,43.3679731709525,0,0,0,0,4.45714164243334e-08,4.45714194441393e-08,-3.01980593744267e-15,1.95714245636125e-07,11.4556909790764,11.4556909790764,0,20.4565909279426,0,0,0,0
1,TIER1,7,T_R_ON_S,R,S,OPTIMAL,6.81886370980776,3.27305457818509,6546.10915637017,6552.92802007998,16.3652728909255,6569.2932929709,0,0,0,0,2.27737204666177e-09,2.27737204666177e-09,0,9.99999905104687e-09,8.18263644318536,8.18263644318536,0,6.81886369980776,0,0,0,0
1,TIER1,7,T_S_ON_R,S,R,OPTIMAL,6.81886370455227,0,0,6.81886370455227,22.9113820472956,29.7302457518479,0,0,0,0,4.45714164243334e-08,0,4.45714164243334e-08,0,11.4556909790764,8.18263644546273,3.27305453361367,6.81886370455227,0,0,0,0
2,TIER1,7,T_R_ON_R,R,R,OPTIMAL,6.81886371455225,0,0,6.81886371455225,16.3652728909255,23.1841366054777,0,0,0,0,2.27737204666177e-09,2.27736673963364e-09,5.3070281351466e-15,1.47444897886537e-08,8.18263644318536,8.18263644318536,0,6.81886369980776,0,0,0,0
2,TIER1,7,T_S_ON_S,S,S,OPTIMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,TIER1,7,T_R_ON_S,R,S,OPTIMAL,0,0,0,0,16.3652728909255,16.3652728909255,0,0,0,0,2.27737204666177e-09,0,2.27737204666177e-09,0,8.18263644318536,0,8.18263644318536,0,0,0,0,0
2,TIER1,7,T_S_ON_R,S,R,OPTIMAL,0,8.18263644546273,16365.2728909255,16365.2728909255,0,16365.2728909255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,TIER1,7,T_R_ON_R,R,R,OPTIMAL,3101.76680374844,29.4574912036658,58914.9824073316,62016.7492110801,651.337861058824,62668.0870721389,108.010801080108,108.010801080108,0,290.043852374461,184.927583667458,184.927583667458,3.97903932025656e-13,2795.69096122071,16.3652728909255,16.3652728909255,4.61852778244065e-14,16.0319901532707,16.3652728909204,16.3652728909255,-5.05195885125431e-12,0
3,TIER1,7,T_S_ON_S,S,S,OPTIMAL,2673.46402291232,0,0,2673.46402291232,810.626517197174,3484.09054010949,194.201238305649,194.201238305649,2.8421709430404e-13,1401.47704100841,50.7323459618689,50.7323459618689,-1.4210854715202e-14,246.690923517964,44.731746156664,44.7317461566645,-4.54747350886464e-13,312.105831892073,115.647928174405,115.647928174405,0,713.190226493877
3,TIER1,7,T_R_ON_S,R,S,OPTIMAL,2946.13483288182,79.6443280691753,159288.656138351,162234.790971232,651.337861058824,162886.128832291,108.010801080108,108.010801080108,0,224.520395516351,184.927583667458,184.927583667458,2.8421709430404e-14,2706.22640468386,16.3652728909255,16.3652728909255,4.61852778244065e-14,15.3880326816021,16.3652728909204,16.3652728909204,0,0
3,TIER1,7,T_S_ON_R,S,R,OPTIMAL,495.592596712176,163.652728909255,327305.457818509,327801.050415221,810.626517197174,328611.676932418,194.201238305649,108.010801080108,86.190437225541,290.043852374461,50.7323459618689,50.7323459618689,0,189.516754184445,44.731746156664,16.3652728909255,28.3664732657385,16.0319901532707,115.647928174405,16.3652728909255,99.2826552834795,0
4,CONTROL,7,T_R_ON_R,R,R,OPTIMAL,113.990493377118,22.9113820472956,45822.7640945913,45936.7545879684,9.81916373454514,45946.5737517029,4.90958186727257,4.90958186727764,-5.06616970596951e-12,113.990493377118,0,0,0,0,0,0,0,0,0,0,0,0
