pair_id,group_type,initial_state_id,node_id,D_r_kg,D_s_kg,service_set_r,service_set_s,service_count_r,service_count_s,best_site_r,best_site_s,second_site_r,second_site_s,best_cost_r_km,best_cost_s_km,second_best_gap_r_km,second_best_gap_s_km,service_relation_changed,unreachable_to_reachable,reachable_to_unreachable,multi_to_exclusive,exclusive_to_multi,exclusive_site_swap
3,TIER1,7,2,0,10.9101819272836,1,1;2;3;4,1,4,1,1,0,3,14.7177418551987,12.4873994841692,NaN,15.7912461206519,1,0,0,0,1,0
3,TIER1,7,3,9.81916373455527,9.81916373455527,NONE,1;2;3;4,0,4,0,1,0,4,NaN,7.8720148687846,NaN,16.0150069927725,1,1,0,0,0,0
3,TIER1,7,4,13.0922183127404,13.0922183127404,NONE,1;2;3;4,0,4,0,1,0,4,NaN,10.1797071764769,NaN,11.3996223773879,1,1,0,0,0,0
3,TIER1,7,5,6.54610915637018,6.54610915637018,2,1;2;3;4,1,4,2,1,0,4,21.9210394049173,12.4873994841692,NaN,6.78423776200324,1,0,0,0,1,0
3,TIER1,7,6,6.54610915637018,6.54610915637018,2,1;2;3;4,1,4,2,1,0,4,19.0754568557152,14.6894279302275,NaN,2.24771178369283,1,0,0,0,1,0
3,TIER1,7,7,21.8203638545673,21.8203638545673,2,1;2;3;4,1,4,2,4,0,3,16.2437289668809,15.4264357373261,NaN,0.0392468790241747,1,0,0,0,1,0
3,TIER1,7,8,21.8203638545673,21.8203638545673,2,1;2;3;4,1,4,2,3,0,2,12.6208229725102,12.182860084522,NaN,0.279346287389153,1,0,0,0,1,0
3,TIER1,7,9,6.54610915637018,6.54610915637018,2,1;2;3;4,1,4,2,2,0,3,11.8577981000578,12.4006507284158,NaN,2.26079945330046,1,0,0,0,1,0
3,TIER1,7,10,6.54610915637018,6.54610915637018,2,1;2;3;4,1,4,2,2,0,3,9.34598644385949,9.87818119546639,NaN,7.3057385191992,1,0,0,0,1,0
3,TIER1,7,11,4.90958186727764,4.90958186727764,2,1;2;3;4,1,4,2,2,0,3,6.90945853028771,7.30989410687179,NaN,9.71498345704541,1,0,0,0,1,0
3,TIER1,7,12,6.54610915637018,6.54610915637018,2,1;2;3;4,1,4,2,2,0,3,4.70981527497986,4.95097814444506,NaN,9.71498345704541,1,0,0,0,1,0
3,TIER1,7,13,6.54610915637018,6.54610915637018,2,1;2;3;4,1,4,2,2,0,3,2.48868092696308,2.60197391532879,NaN,9.71498345704541,1,0,0,0,1,0
3,TIER1,7,14,13.0922183127404,13.0922183127404,2,1;2;3;4,1,4,2,2,0,3,0,0,NaN,9.71498345704541,1,0,0,0,1,0
3,TIER1,7,15,6.54610915637018,6.54610915637018,2,1;2;3;4,1,4,2,2,0,3,2.31421608482789,2.37091764010309,NaN,4.97314817683923,1,0,0,0,1,0
3,TIER1,7,16,6.54610915637018,6.54610915637018,2,1;2;3;4,1,4,2,3,0,2,4.91026053275513,4.71781858482813,NaN,0.279346287389153,1,0,0,0,1,0
3,TIER1,7,17,6.54610915637018,6.54610915637018,3,1;2;3;4,1,4,3,3,0,2,2.44908689578902,2.35071434252323,NaN,5.01355477199895,1,0,0,0,1,0
3,TIER1,7,18,9.81916373455527,9.81916373455527,3,1;2;3;4,1,4,3,3,0,2,0,0,NaN,9.71498345704541,1,0,0,0,1,0
3,TIER1,7,19,0,9.81916373455527,1,1;2;3;4,1,4,1,1,0,3,11.6307914512985,10.6692262245875,NaN,12.8463788704234,1,0,0,0,1,0
3,TIER1,7,20,0,9.81916373455527,NONE,1;2;3;4,0,4,0,1,0,3,NaN,13.7782005835619,NaN,6.62843015247465,1,1,0,0,0,0
3,TIER1,7,21,0,9.81916373455527,NONE,1;2;3;4,0,4,0,1,0,3,NaN,16.8871749425363,NaN,6.62843015247465,1,1,0,0,0,0
3,TIER1,7,22,0,9.81916373455527,NONE,1;2;3;4,0,4,0,1,0,3,NaN,21.9509732131733,NaN,6.62843015247465,1,1,0,0,0,0
3,TIER1,7,23,9.81916373455527,9.81916373455527,1,1;2;3;4,1,4,1,1,0,4,3.47494739472957,3.10897435897436,NaN,21.1935539374106,1,0,0,0,1,0
3,TIER1,7,24,45.8227640945913,45.8227640945913,1,1;2;3;4,1,4,1,1,0,4,0,0,NaN,27.4115026553593,1,0,0,0,1,0
3,TIER1,7,25,45.8227640945913,45.8227640945913,1,1;2;3;4,1,4,1,1,0,4,3.43108355194792,3.10897435897436,NaN,27.4115026553593,1,0,0,0,1,0
3,TIER1,7,26,6.54610915637018,6.54610915637018,1,1;2;3;4,1,4,1,1,0,4,15.0778180426238,12.5818954358332,NaN,2.24771178369283,1,0,0,0,1,0
3,TIER1,7,27,6.54610915637018,6.54610915637018,NONE,1;2;3;4,0,4,0,4,0,1,NaN,11.7094189955158,NaN,3.99266466432773,1,1,0,0,0,0
3,TIER1,7,28,6.54610915637018,6.54610915637018,2,1;2;3;4,1,4,2,4,0,1,19.7146656924807,8.58566074431556,NaN,10.2401811667282,1,0,0,0,1,0
3,TIER1,7,29,13.0922183127404,13.0922183127404,2,1;2;3;4,1,4,2,4,0,1,23.2257679404849,5.46170298637452,NaN,16.4880966826102,1,0,0,0,1,0
3,TIER1,7,30,21.8203638545673,21.8203638545673,2,1;2;3;4,1,4,2,4,0,1,26.618248937721,2.33885122672233,NaN,22.7338002019146,1,0,0,0,1,0
3,TIER1,7,31,16.3652728909255,16.3652728909255,4,1;2;3;4,1,4,4,4,0,2,0,0,NaN,26.8279291566804,1,0,0,0,1,0
3,TIER1,7,32,22.9113820472956,22.9113820472956,2,1;2;3;4,1,4,2,4,0,2,21.9137012866408,3.15095234711202,NaN,20.5260244624563,1,0,0,0,1,0
3,TIER1,7,33,6.54610915637018,6.54610915637018,2,1;2;3;4,1,4,2,4,0,2,17.4645672746204,7.48428043426408,NaN,11.8593682881522,1,0,0,0,1,0
4,CONTROL,7,1,0,0,1;2;3;4,1;2;3;4,4,4,1,1,3,3,17.2557058516441,17.2385370913304,13.6601385571142,13.6493774425595,0,0,0,0,0,0
4,CONTROL,7,2,0,0,1;2;3;4,1;2;3;4,4,4,1,1,3,3,12.5080520847717,12.5017385318716,13.6601385571142,13.6493774425595,0,0,0,0,0,0
4,CONTROL,7,3,0,0,1;2;3;4,1;2;3;4,4,4,1,1,3,3,7.89266746938712,7.88635391648702,15.2761705567616,15.2824841096617,0,0,0,0,0,0
4,CONTROL,7,4,0,0,1;2;3;4,1;2;3;4,4,4,1,1,3,3,10.2003597770794,10.1940462241793,10.660785941377,10.6670994942771,0,0,0,0,0,0
4,CONTROL,7,5,0,0,1;2;3;4,1;2;3;4,4,4,1,1,3,3,12.5080520847717,12.5017385318716,6.04540132599237,6.05171487889246,0,0,0,0,0,0
4,CONTROL,7,6,0,0,1;2;3;4,1;2;3;4,4,4,1,1,3,3,14.6759079504583,14.6695943975582,1.56985315261355,1.57616670551364,0,0,0,0,0,0
4,CONTROL,7,7,0,0,1;2;3;4,1;2;3;4,4,4,3,3,2,2,13.9380687953795,13.9380687953795,0.224358974358971,0.224358974358971,0,0,0,0,0,0
4,CONTROL,7,8,0,0,1;2;3;4,1;2;3;4,4,4,3,3,2,2,10.8290944364051,10.8290944364051,0.224358974358971,0.224358974358971,0,0,0,0,0,0
4,CONTROL,7,9,0,0,1;2;3;4,1;2;3;4,4,4,2,2,3,3,11.0897435897436,11.0897435897436,2.04704315435384,2.04704315435384,0,0,0,0,0,0
4,CONTROL,7,10,0,0,1;2;3;4,1;2;3;4,4,4,2,2,3,3,8.78205128205128,8.78205128205128,6.66242776973846,6.66242776973846,0,0,0,0,0,0
4,CONTROL,7,11,0,0,1;2;3;4,1;2;3;4,4,4,2,2,3,3,6.47435897435897,6.47435897435897,8.5576923076923,8.5576923076923,0,0,0,0,0,0
4,CONTROL,7,12,0,0,1;2;3;4,1;2;3;4,4,4,2,2,3,3,4.39102564102565,4.39102564102565,8.5576923076923,8.5576923076923,0,0,0,0,0,0
4,CONTROL,7,13,0,0,1;2;3;4,1;2;3;4,4,4,2,2,3,3,2.30769230769231,2.30769230769231,8.55769230769231,8.55769230769231,0,0,0,0,0,0
4,CONTROL,7,14,0,0,1;2;3;4,1;2;3;4,4,4,2,2,3,3,0,0,8.55769230769231,8.55769230769231,0,0,0,0,0,0
4,CONTROL,7,15,0,0,1;2;3;4,1;2;3;4,4,4,2,2,3,3,2.08333333333333,2.08333333333333,4.39102564102564,4.39102564102564,0,0,0,0,0,0
4,CONTROL,7,16,0,0,1;2;3;4,1;2;3;4,4,4,3,3,2,2,4.16666666666667,4.16666666666667,0.224358974358971,0.224358974358971,0,0,0,0,0,0
4,CONTROL,7,17,0,0,1;2;3;4,1;2;3;4,4,4,3,3,2,2,2.08333333333333,2.08333333333333,4.39102564102564,4.39102564102564,0,0,0,0,0,0
4,CONTROL,7,18,0,0,1;2;3;4,1;2;3;4,4,4,3,3,2,2,0,0,8.55769230769231,8.55769230769231,0,0,0,0,0,0
4,CONTROL,7,19,0,0,1;2;3;4,1;2;3;4,4,4,1,1,3,3,10.8645232120221,10.8410565070275,10.444194586749,10.4611980888467,0,0,0,0,0,0
4,CONTROL,7,20,0,0,1;2;3;4,1;2;3;4,4,4,1,1,3,3,14.004565412936,13.9746355050444,4.16411018492115,4.19404009281274,0,0,0,0,0,0
4,CONTROL,7,21,0,0,1;2;3;4,1;2;3;4,4,4,1,1,3,3,17.14460761385,17.1082145030614,4.16411018492115,4.19404009281274,0,0,0,0,0,0
4,CONTROL,7,22,4.90958186727764,4.90958186727764,1;2;3;4,1;2;3;4,4,4,1,1,3,3,23.2179636593627,23.0721711767449,3.71138052617291,3.80117024984768,0,0,0,0,0,0
4,CONTROL,7,23,0,0,1;2;3;4,1;2;3;4,4,4,1,1,4,4,3.12962695957688,3.12331340667679,21.0769104415609,21.083223994461,0,0,0,0,0,0
4,CONTROL,7,24,0,0,1;2;3;4,1;2;3;4,4,4,1,1,4,4,0,0,27.3361643607147,27.3298508078146,0,0,0,0,0,0
4,CONTROL,7,25,22.9113820472956,0,NONE,1;2;3;4,0,4,0,1,0,4,NaN,3.17274325205119,NaN,27.3298508078146,1,1,0,0,0,0
4,CONTROL,7,26,0,0,1;2;3;4,1;2;3;4,4,4,1,1,4,4,12.5925746171249,12.5862610642248,2.15101512646483,2.15732867936493,0,0,0,0,0,0
4,CONTROL,7,27,0,0,1;2;3;4,1;2;3;4,4,4,4,4,1,1,11.6346153846154,11.6346153846154,4.06693359148388,4.06062003858379,0,0,0,0,0,0
4,CONTROL,7,28,0,0,1;2;3;4,1;2;3;4,4,4,4,4,2,2,8.52564102564103,8.52564102564103,9.78249127603073,9.78249127603073,0,0,0,0,0,0
4,CONTROL,7,29,0,0,1;2;3;4,1;2;3;4,4,4,4,4,2,2,5.41666666666667,5.41666666666667,16.0004399939795,16.0004399939795,0,0,0,0,0,0
4,CONTROL,7,30,0,0,1;2;3;4,1;2;3;4,4,4,4,4,2,2,2.30769230769231,2.30769230769231,22.2183887119282,22.2183887119282,0,0,0,0,0,0
4,CONTROL,7,31,0,0,1;2;3;4,1;2;3;4,4,4,4,4,2,2,0,0,24.3778996433288,24.3778996433288,0,0,0,0,0,0
4,CONTROL,7,32,0,0,1;2;3;4,1;2;3;4,4,4,4,4,2,2,3.10897435897436,3.10897435897436,18.1599509253801,18.1599509253801,0,0,0,0,0,0
4,CONTROL,7,33,0,0,1;2;3;4,1;2;3;4,4,4,4,4,2,2,7.27564102564102,7.27564102564102,9.82661759204673,9.82661759204673,0,0,0,0,0,0
5,TIER1,18,1,0,0,1;2;3;4,1;2;3;4,4,4,1,1,3,3,18.21038386761,17.3967069258776,12.8064587172785,14.4228603509108,0,0,0,0,0,0
5,TIER1,18,2,0,0,1;2;3;4,1;2;3;4,4,4,1,1,3,3,13.2342317493632,12.6782442878355,12.8064587172786,14.4228603509108,0,0,0,0,0,0
5,TIER1,18,3,14.7287456018329,14.7287456018329,1;2;3;4,1;2;3;4,4,4,1,1,3,4,8.4629512309269,8.05860907308533,14.7471255002485,16.282258034351,0,0,0,0,0,0
5,TIER1,18,4,19.6383274691105,19.6383274691105,1;2;3;4,1;2;3;4,4,4,1,1,3,4,10.8079667925504,10.3793389947541,10.0570943770016,11.6407981910135,0,0,0,0,0,0
5,TIER1,18,5,9.81916373455527,9.81916373455527,1;2;3;4,1;2;3;4,4,4,1,1,3,4,13.1195745513383,12.7115505458004,5.43387885942585,6.97637508892078,0,0,0,0,0,0
5,TIER1,18,6,9.81916373455527,9.81916373455527,1;2;3;4,1;2;3;4,4,4,1,1,3,4,15.3964859823425,14.9626084936201,0.849275120729265,2.38103489861086,0,0,0,0,0,0
5,TIER1,18,7,32.7305457818509,32.7305457818509,1;2;3;4,1;2;3;4,4,4,3,4,2,1,13.9380687953795,15.7055764745638,0.224358974358971,1.6139879572951,1,0,0,0,0,0
5,TIER1,18,8,32.7305457818509,32.7305457818509,1;2;3;4,1;2;3;4,4,4,3,3,2,2,10.8290944364051,11.4468740550375,0.224358974358971,1.08197028221516,0,0,0,0,0,0
5,TIER1,18,9,9.81916373455527,9.81916373455527,1;2;3;4,1;2;3;4,4,4,2,2,3,3,11.0897435897436,11.6949360095657,2.04704315435384,2.14850136427332,0,0,0,0,0,0
5,TIER1,18,10,9.81916373455527,9.81916373455527,1;2;3;4,1;2;3;4,4,4,2,2,3,3,8.78205128205128,9.2824215646095,6.66242776973846,6.97353025418575,0,0,0,0,0,0
5,TIER1,18,11,7.36437280091645,7.36437280091645,1;2;3;4,1;2;3;4,4,4,2,2,3,3,6.47435897435897,6.8532367654639,8.5576923076923,10.0184864675231,0,0,0,0,0,0
5,TIER1,18,12,9.81916373455527,9.81916373455527,1;2;3;4,1;2;3;4,4,4,2,2,3,3,4.39102564102565,4.64553852623027,8.5576923076923,11.6561051682126,0,0,0,0,0,0
5,TIER1,18,13,9.81916373455527,9.81916373455527,1;2;3;4,1;2;3;4,4,4,2,2,3,3,2.30769230769231,2.4414509042962,8.55769230769231,13.286502634303,0,0,0,0,0,0
5,TIER1,18,14,19.6383274691105,19.6383274691105,1;2;3;4,1;2;3;4,4,4,2,2,3,3,0,0,8.55769230769231,15.0924813659723,0,0,0,0,0,0
5,TIER1,18,15,9.81916373455527,9.81916373455527,1;2;3;4,1;2;3;4,4,4,2,3,3,2,2.08333333333333,6.86568636441864,4.39102564102564,3.18477402401672,1,0,0,0,0,0
5,TIER1,18,16,9.81916373455527,9.81916373455527,1;2;3;4,1;2;3;4,4,4,3,3,2,2,4.16666666666667,4.41539213251624,0.224358974358971,6.26169710093979,0,0,0,0,0,0
5,TIER1,18,17,9.81916373455527,9.81916373455527,1;2;3;4,1;2;3;4,4,4,3,3,2,2,2.08333333333333,2.20471052325084,4.39102564102564,10.6830603194706,0,0,0,0,0,0
5,TIER1,18,18,14.7287456018329,14.7287456018329,1;2;3;4,1;2;3;4,4,4,3,3,2,2,0,0,8.55769230769231,15.0924813659723,0,0,0,0,0,0
5,TIER1,18,19,0,0,1;2;3;4,1;2;3;4,4,4,1,1,3,3,10.6692262245875,10.6852627724113,10.608423732244,11.6456421937783,0,0,0,0,0,0
5,TIER1,18,20,14.7287456018329,14.7287456018329,1;2;3;4,1;2;3;4,4,4,1,1,3,3,13.7782005835619,13.8231485786155,4.39047501429526,5.36987058136986,0,0,0,0,0,0
5,TIER1,18,21,14.7287456018329,14.7287456018329,1;2;3;4,1;2;3;4,4,4,1,1,3,3,16.8871749425363,16.9610343848197,4.39047501429527,5.36987058136986,0,0,0,0,0,0
