pair_id,group_type,initial_state_id,primary_failure_type,secondary_failure_type,failure_family,real_bidirectional_high_regret,not_merely_alternative_optimum,demand_relocation_share,A_change_affected_demand_ratio,exclusive_D_change_ratio,shared_D_change_ratio,unreachable_D_change_ratio,best_site_changed_demand_ratio,ranking_change_node_count,both_capacity_saturated,local_average_dilution_supported,r_to_s_main_regret_nodes,s_to_r_main_regret_nodes,r_to_s_most_changed_service_site,s_to_r_most_changed_service_site,r_to_s_unused_T_by_site_kg,s_to_r_unused_T_by_site_kg,bidirectional_cause_explanation
1,TIER1,7,TYPE_9_MIXED_STRUCTURAL_CAUSE,NONE,MIXED,1,1,0,0,0,0.333333333333334,0,0,0,0,0,16;17;1;2;3,1;2;3;4;5,3,2,0;0;0;0,0;4.45714164e-08;3.27305453;0,Cross layouts alter node shortage/service at nodes 16;17;1;2;3 (r-to-s) and 1;2;3;4;5 (s-to-r); the directions are diagnosed separately.
2,TIER1,7,TYPE_9_MIXED_STRUCTURAL_CAUSE,NONE,MIXED,1,1,0,0,0,2,0,0,0,0,0,1;2;3;4;5,18;17;1;2;3,1,3,0;2.27737205e-09;8.18263644;0,0;0;0;0,Cross layouts alter node shortage/service at nodes 1;2;3;4;5 (r-to-s) and 18;17;1;2;3 (s-to-r); the directions are diagnosed separately.
3,TIER1,7,TYPE_3_STATION_IDENTITY_OR_EXCLUSIVE_COVERAGE,TYPE_5_ROAD_IMPEDANCE_RANKING_CHANGE,SERVICE_COUPLING,1,1,8.49477010473018e-16,1.06599713055954,0.856527977044476,1.06599713055954,0.0774748923959828,0.352941176470588,33,0,0,30;32;2;19;21,32;8;7;30;29,2,2,0;2.84217094e-14;4.61852778e-14;0,86.1904372;0;28.3664733;99.2826553,Cross layouts alter node shortage/service at nodes 30;32;2;19;21 (r-to-s) and 32;8;7;30;29 (s-to-r); the directions are diagnosed separately.
4,CONTROL,7,CONTROL_LOW_REGRET,NONE,CONTROL,0,1,0,1.4,0,0,1.4,0,1,0,0,1;2;3;4;5,1;2;3;4;5,1,1,-5.06616971e-12;0;0;0,-5.06616971e-12;0;0;0,Cross layouts alter node shortage/service at nodes 1;2;3;4;5 (r-to-s) and 1;2;3;4;5 (s-to-r); the directions are diagnosed separately.
5,TIER1,18,TYPE_5_ROAD_IMPEDANCE_RANKING_CHANGE,NONE,SERVICE_COUPLING,1,1,0,0,0,0,0,0.150354609929078,12,0,0,29;33;28;7;27,32;8;11;7;10,2,2,0;0;-5.68434189e-14;0,3.97903932e-13;1.42108547e-14;1.42108547e-14;0,Cross layouts alter node shortage/service at nodes 29;33;28;7;27 (r-to-s) and 32;8;11;7;10 (s-to-r); the directions are diagnosed separately.
6,TIER1,18,TYPE_3_STATION_IDENTITY_OR_EXCLUSIVE_COVERAGE,TYPE_5_ROAD_IMPEDANCE_RANKING_CHANGE,SERVICE_COUPLING,1,1,0,0.164341085271318,0.164341085271318,0.145736434108527,0,0.22015503875969,8,0,0,32;30;29;6;26,32;30;29;28;5,4,2,-2.84217094e-14;76.7449472;0.17183536;2.13162821e-14,2.84217094e-14;1.42108547e-14;0;86.7359463,Cross layouts alter node shortage/service at nodes 32;30;29;6;26 (r-to-s) and 32;30;29;28;5 (s-to-r); the directions are diagnosed separately.
7,TIER1,18,TYPE_3_STATION_IDENTITY_OR_EXCLUSIVE_COVERAGE,TYPE_5_ROAD_IMPEDANCE_RANKING_CHANGE,SERVICE_COUPLING,1,1,0,1,0.226110363391655,0.226110363391656,0,0.329744279946164,32,0,0,25;22;2;3;4,4;2;20;19;21,1,2,0;-2.84217094e-14;1.42108547e-14;0,153.833565;5.68434189e-14;0;5.68434189e-14,Cross layouts alter node shortage/service at nodes 25;22;2;3;4 (r-to-s) and 4;2;20;19;21 (s-to-r); the directions are diagnosed separately.
8,CONTROL,18,CONTROL_LOW_REGRET,NONE,CONTROL,0,1,0,0.0646029609690444,0,0,1.16871369767486e-17,0.0928667563930014,22,1,0,7;6;26;5;15,19;6;20;10;7,1,1,-4.26325641e-13;1.42108547e-14;0;0,5.68434189e-14;0;0;0,Cross layouts alter node shortage/service at nodes 7;6;26;5;15 (r-to-s) and 19;6;20;10;7 (s-to-r); the directions are diagnosed separately.
9,TIER1,30,TYPE_3_STATION_IDENTITY_OR_EXCLUSIVE_COVERAGE,NONE,SERVICE_COUPLING,1,1,0,0.223418573351279,0.223418573351279,0,0.00269179004037696,0,3,0,0,32;30;1;2;3,25;1;2;3;4,4,1,68.7341461;3.55271368e-14;-8.8817842e-15;0,-1.42108547e-14;3.55271368e-14;-8.8817842e-15;67.0976189,Cross layouts alter node shortage/service at nodes 32;30;1;2;3 (r-to-s) and 25;1;2;3;4 (s-to-r); the directions are diagnosed separately.
10,TIER1,30,TYPE_3_STATION_IDENTITY_OR_EXCLUSIVE_COVERAGE,NONE,SERVICE_COUPLING,1,1,0,0.416302765647744,0.433770014556041,0,0.0145560407569142,0.0174672489082969,14,0,0,32;30;29;17;13,4;20;21;19;16,2,1,117.829965;-4.61852778e-14;-8.8817842e-15;0,0;63.8245643;9.81916373;52.3688733,Cross layouts alter node shortage/service at nodes 32;30;29;17;13 (r-to-s) and 4;20;21;19;16 (s-to-r); the directions are diagnosed separately.
