pair_id,group_type,initial_state_id,rank,node_id,node_x_km,node_y_km,D_r_kg,D_s_kg,absolute_difference_kg,relative_difference
14,TIER1,31,2,2,-35.3846153846154,22.5,16.3652728909255,16.3652728909255,0,0
14,TIER1,31,3,3,-30.7692307692308,22.5,14.7287456018329,14.7287456018329,0,0
14,TIER1,31,4,4,-28.4615384615385,22.5,19.6383274691105,19.6383274691105,0,0
14,TIER1,31,5,5,-26.1538461538462,22.5,9.81916373455527,9.81916373455527,0,0
15,TIER1,31,1,1,-40,22.5,0,0,0,0
15,TIER1,31,2,2,-35.3846153846154,22.5,0,0,0,0
15,TIER1,31,3,3,-30.7692307692308,22.5,14.7287456018329,14.7287456018329,0,0
15,TIER1,31,4,4,-28.4615384615385,22.5,19.6383274691105,19.6383274691105,0,0
15,TIER1,31,5,5,-26.1538461538462,22.5,9.81916373455527,9.81916373455527,0,0
16,CONTROL,31,1,1,-40,22.5,0,0,0,0
16,CONTROL,31,2,2,-35.3846153846154,22.5,16.3652728909255,16.3652728909255,0,0
16,CONTROL,31,3,3,-30.7692307692308,22.5,14.7287456018329,14.7287456018329,0,0
16,CONTROL,31,4,4,-28.4615384615385,22.5,19.6383274691105,19.6383274691105,0,0
16,CONTROL,31,5,5,-26.1538461538462,22.5,9.81916373455527,9.81916373455527,0,0
17,TIER1,11,1,1,-40,22.5,0,0,0,0
17,TIER1,11,2,2,-35.3846153846154,22.5,10.9101819272836,10.9101819272836,0,0
17,TIER1,11,3,3,-30.7692307692308,22.5,9.81916373455527,9.81916373455527,0,0
17,TIER1,11,4,4,-28.4615384615385,22.5,13.0922183127404,13.0922183127404,0,0
17,TIER1,11,5,5,-26.1538461538462,22.5,6.54610915637018,6.54610915637018,0,0
18,TIER1,11,1,20,-30.7692307692308,16.25,14.7287456018329,0,14.7287456018329,1
18,TIER1,11,2,21,-33.0769230769231,14.1666666666667,14.7287456018329,0,14.7287456018329,1
18,TIER1,11,3,22,-37.6923076923077,12.0833333333333,14.7287456018329,0,14.7287456018329,1
