from_a,to_a,prob
1,1,1
2,1,0.11
2,2,0.83
2,3,0.06
3,2,0.15
3,3,0.6
3,4,0.25
4,3,0.04
4,4,0.68
4,5,0.28
5,4,0.18
5,5,0.79
5,6,0.03
6,5,0.5
6,6,0.5
