from_a,to_a,prob
1,1,1
2,1,0.142
2,2,0.846
2,3,0.012
3,2,0.283333333333333
3,3,0.666666666666667
3,4,0.05
4,3,0.189333333333333
4,4,0.754666666666667
4,5,0.056
5,4,0.196
5,5,0.798
5,6,0.006
6,5,0.6
6,6,0.4
