role,relative_path,size_bytes,sha256,source_head,training_seed,oos_bank_sha,git_tracked
penalty1000,hourly_grid_h2\output\stage89q_penalty1000_vs1500_long_training\run-003\penalty1000\batch_completion.csv,6217,04394ed745311c268212ebc78aa074fe545cbdf8e0f037a7401f250616ed8ffd,cfa789f262b323de1775e5e2376a2d23978753ef,20260513,6bf3d1190a402ded052b8d3d08ed369042236e151f562bdd9fd4db7b8ff386c6,False
grid_hourly,hourly_grid_h2\output\stage89q_penalty1000_vs1500_long_training\run-003\penalty1000\grid_hourly\oos_hour_system.csv,45445479,b9eaa83ee3e8a720f3cb5afd5d54da050c2d3ef45c434efe74f8ba8b976b63c6,cfa789f262b323de1775e5e2376a2d23978753ef,20260513,6bf3d1190a402ded052b8d3d08ed369042236e151f562bdd9fd4db7b8ff386c6,False
hourly_site,hourly_grid_h2\output\stage89q_penalty1000_vs1500_long_training\run-003\penalty1000\hourly_site\oos_hour_site.csv,256068531,af3b3d5c4aa69e6d29b35a88008b4d82360c4b8391fc783141078f7ad68b0cda,cfa789f262b323de1775e5e2376a2d23978753ef,20260513,6bf3d1190a402ded052b8d3d08ed369042236e151f562bdd9fd4db7b8ff386c6,False
htt_od,hourly_grid_h2\output\stage89q_penalty1000_vs1500_long_training\run-003\penalty1000\htt_od\oos_positive_htt_flows.csv,2157490,06a6586574a155eb4588cae691898b3ebda509a79e14e64c8453918b7262fe4a,cfa789f262b323de1775e5e2376a2d23978753ef,20260513,6bf3d1190a402ded052b8d3d08ed369042236e151f562bdd9fd4db7b8ff386c6,False
penalty1000,hourly_grid_h2\output\stage89q_penalty1000_vs1500_long_training\run-003\penalty1000\OOS_COMPLETED.marker,38,5ce1140890f7c2f20010a9e5c1e0a4be9432c947c00f21c0ab5272fa590f76dd,cfa789f262b323de1775e5e2376a2d23978753ef,20260513,6bf3d1190a402ded052b8d3d08ed369042236e151f562bdd9fd4db7b8ff386c6,False
penalty1000,hourly_grid_h2\output\stage89q_penalty1000_vs1500_long_training\run-003\penalty1000\oos_metadata.csv,882,76deac756b625a50833cdd8ce36dbbf9eeff429549bf770ac520a2d62f354223,cfa789f262b323de1775e5e2376a2d23978753ef,20260513,6bf3d1190a402ded052b8d3d08ed369042236e151f562bdd9fd4db7b8ff386c6,False
penalty1000,hourly_grid_h2\output\stage89q_penalty1000_vs1500_long_training\run-003\penalty1000\OOS_RAW_COMPLETED.marker,34,fc4ba61c449d42c4d17bc592cda210b58df2a289b389184d93d65340e7bbffd4,cfa789f262b323de1775e5e2376a2d23978753ef,20260513,6bf3d1190a402ded052b8d3d08ed369042236e151f562bdd9fd4db7b8ff386c6,False
path_summary,hourly_grid_h2\output\stage89q_penalty1000_vs1500_long_training\run-003\penalty1000\path_summary\oos_path_summary.csv,4203429,99ec55faba4e60e88b25d757deb1a8146515faf666d52979fe69c64362047502,cfa789f262b323de1775e5e2376a2d23978753ef,20260513,6bf3d1190a402ded052b8d3d08ed369042236e151f562bdd9fd4db7b8ff386c6,False
path_summary,hourly_grid_h2\output\stage89q_penalty1000_vs1500_long_training\run-003\penalty1000\path_summary\oos_stage_site_summary.csv,17769929,eab41bdf5d58fc971bc65af8c5745de3bd08cc25a0a4d44cc386aeba3f99c89e,cfa789f262b323de1775e5e2376a2d23978753ef,20260513,6bf3d1190a402ded052b8d3d08ed369042236e151f562bdd9fd4db7b8ff386c6,False
path_summary,hourly_grid_h2\output\stage89q_penalty1000_vs1500_long_training\run-003\penalty1000\path_summary\oos_stage_summary.csv,6516901,969c373a9a2ff1b271cde6fda95a6fe8e64b10362518fe4b807c0dc86437c15d,cfa789f262b323de1775e5e2376a2d23978753ef,20260513,6bf3d1190a402ded052b8d3d08ed369042236e151f562bdd9fd4db7b8ff386c6,False
penalty1000,hourly_grid_h2\output\stage89q_penalty1000_vs1500_long_training\run-003\penalty1000\progress.csv,172,a180c1b7f629419f1f29d43479cdc527b6f14f04fd8100c8fc669ea9a3e949c1,cfa789f262b323de1775e5e2376a2d23978753ef,20260513,6bf3d1190a402ded052b8d3d08ed369042236e151f562bdd9fd4db7b8ff386c6,False
stage7_inventory,hourly_grid_h2\output\stage89q_penalty1000_vs1500_long_training\run-003\penalty1000\stage7_inventory\stage7_four_site_inventory.csv,1119051,438f55099128c386f85a90a8e6428388a2475fd96b67d4177117aba2c69be7a3,cfa789f262b323de1775e5e2376a2d23978753ef,20260513,6bf3d1190a402ded052b8d3d08ed369042236e151f562bdd9fd4db7b8ff386c6,False
