figure,title_cn,source_csv,sample_scope_cn,bytes,sha256
01_训练中第一阶段制氢量.png,5小时训练中第一阶段制氢量的变化,05_analysis\08_training_depth\training_stability.csv,全部346轮训练记录,51238,e71a9918df628faaca30c0edb9b71edf1f1ac0182fc5e17820339fc20ad85e16
02_各阶段制氢量.png,各阶段平均制氢量,05_analysis\01_overall\production_inventory_stage.csv,每阶段仍真实运行的路径,49196,2a7e008414d79bc4196e15f36c8012643e79753926d0e444af6fa62b3ea4b56d
03_真实小时制氢.png,仍在运行路径的真实1小时制氢,05_analysis\01_overall\production_inventory_hourly.csv,该小时仍真实运行的路径，未给结束路径补0,95003,eaaa1f9eaa88b903d7b76fa96d162f454855fdde3908e5b5335ed2a1fb39d5f1
04_四站真实小时库存.png,四个站点的真实小时库存变化,05_analysis\01_overall\four_site_hourly.csv,该小时仍真实运行的路径，按站点分别平均,123054,47c05fa8583d1149d703176ae41b74f570b0eb1f9c23f01edb8aa50af095470f
05_普通缺氢.png,普通用氢服务结果,05_analysis\01_overall\ordinary_shortage_summary.csv,全部10000条路径及发生普通缺氢的路径,64524,596d69c255992661c22b74a919aa593f4e15f6047e7b93d27bc35bfb26fe35c4
06_最终库存不足原因.png,最终库存不足的原因,05_analysis\04_stage7_shortfall\quantity_vs_location.csv,真正进入最终储备检查且库存不足的路径,81061,8b3e60ffa6aed408db25e8429e8cadf2071e47394fd7739896c1207e7caa3b0e
07_消散路径预防性库存.png,后来真正消散路径留下的预防性库存,05_analysis\02_dissipation\dissipation_timing.csv,所有物理上真正消散的路径,49674,e2fd45cb30376dd73633d53a8dff72f135c2c00c862b4e45bece73d2bb4df4c6
08_最终检查难度分层.png,普通、较困难和最极端最终检查路径,05_analysis\05_risk_tail\stage7_gap_95_4_1.csv,全部真正进入最终储备检查的路径，按缺口非重叠分层,57702,c10deafdbef3eff16fb72272540cbacad3e79343a637eb4a8d5710b40780351a
09_不足路径最后16小时.png,库存不足路径在最终检查前16小时的响应,05_analysis\04_stage7_shortfall\final16h_shortfall_paths.csv,全部真正发生最终库存不足的路径,136357,6ac5b72a5e1973e8654aeae64f62e1cb85e04d1d61c984cc4b576d821e7ba7ba
10_追产限制.png,库存不足路径最后16小时是否受到追产限制,05_analysis\04_stage7_shortfall\production_constraint_summary.csv,全部正缺口路径的最后16个真实运行小时,78476,d79a570723b2574621f8a35a214d00cc1c5303641dd9020fe3cc29707f995ac4
