question_id,active_level,status,reason,evidence
B5H-A-H1,ENGINEERING_A,COMPLETED,B5H-A restricted engineering smoke,synthetic_case_summary.csv
B5H-A-H2,ENGINEERING_A,COMPLETED,B5H-A restricted engineering smoke,synthetic_case_summary.csv
B5H-A-H3,ENGINEERING_A,COMPLETED,B5H-A restricted engineering smoke,synthetic_case_summary.csv
B5H-A-H4,ENGINEERING_A,COMPLETED,B5H-A restricted engineering smoke,synthetic_case_summary.csv
B5H-A-H5,ENGINEERING_A,COMPLETED,B5H-A restricted engineering smoke,synthetic_case_summary.csv
B5H-A-H6,ENGINEERING_A,COMPLETED,B5H-A restricted engineering smoke,synthetic_case_summary.csv
B5H-A-H7,ENGINEERING_A,COMPLETED,B5H-A restricted engineering smoke,synthetic_case_summary.csv
B5H-A-H8,ENGINEERING_A,COMPLETED,B5H-A restricted engineering smoke,synthetic_case_summary.csv
B5H-A-H9,ENGINEERING_A,COMPLETED,B5H-A restricted engineering smoke,synthetic_case_summary.csv
B5H-A-H10,ENGINEERING_A,COMPLETED,B5H-A restricted engineering smoke,synthetic_case_summary.csv
B5H-A-H11,ENGINEERING_A,COMPLETED,B5H-A restricted engineering smoke,synthetic_case_summary.csv
B5H-A-H12,ENGINEERING_A,COMPLETED,B5H-A restricted engineering smoke,synthetic_case_summary.csv
B5H-A-H13,ENGINEERING_A,COMPLETED,B5H-A restricted engineering smoke,synthetic_case_summary.csv
