component_id,buses,total_P_load_kW,total_Q_load_kvar,total_P_served_kW,total_Q_served_kvar,total_P_shed_kW,total_Q_shed_kvar,total_load,total_served,total_shed,real_sources,actual_injecting_sources,fixture,policy,interval_start_h,interval_end_h,has_real_source,no_source_island_load_kW
1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]",3715.0,2300.0,3715.0,2300.0,0.0,0.0,3715.0,3715.0,0.0,"['UTILITY-BUS-1', 'FC-1', 'FC-2', 'FC-3', 'FC-4']",['UTILITY-BUS-1'],FIXTURE-1_NO_TRANSFER,OFF,0.0,3.5,True,0.0
1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]",3715.0,2300.0,3715.0,2300.0,0.0,0.0,3715.0,3715.0,0.0,"['UTILITY-BUS-1', 'FC-1', 'FC-2', 'FC-3', 'FC-4']",['UTILITY-BUS-1'],FIXTURE-1_NO_TRANSFER,ON,0.0,3.5,True,0.0
1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33]",3295.0,2100.0,3295.0,2100.0,0.0,0.0,3295.0,3295.0,0.0,"['UTILITY-BUS-1', 'FC-2']",['UTILITY-BUS-1'],FIXTURE-2_DEFICIT_REACHABLE,OFF,0.0,3.5,True,0.0
2,[24],420.0,200.0,0.0,0.0,420.0,200.0,420.0,0.0,420.0,[],[],FIXTURE-2_DEFICIT_REACHABLE,OFF,0.0,3.5,False,420.0
1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33]",3295.0,2100.0,3295.0,2100.0,0.0,0.0,3295.0,3295.0,0.0,"['UTILITY-BUS-1', 'FC-2']",['UTILITY-BUS-1'],FIXTURE-2_DEFICIT_REACHABLE,ON,0.0,0.325,True,0.0
2,[24],420.0,200.0,0.0,0.0,420.0,200.0,420.0,0.0,420.0,[],[],FIXTURE-2_DEFICIT_REACHABLE,ON,0.0,0.325,False,420.0
1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33]",3295.0,2100.0,3295.0,2100.0,0.0,0.0,3295.0,3295.0,0.0,"['UTILITY-BUS-1', 'FC-2']",['UTILITY-BUS-1'],FIXTURE-2_DEFICIT_REACHABLE,ON,0.325,3.5,True,0.0
2,[24],420.0,200.0,300.0,145.29663145135575,120.0,54.70336854864425,420.0,300.0,120.0,['FC-1'],['FC-1'],FIXTURE-2_DEFICIT_REACHABLE,ON,0.325,3.5,True,0.0
1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33]",3295.0,2100.0,3295.0,2100.0,0.0,0.0,3295.0,3295.0,0.0,"['UTILITY-BUS-1', 'FC-2']",['UTILITY-BUS-1'],FIXTURE-3_ROAD_CONSTRAINED,OFF,0.0,1.0,True,0.0
2,[24],420.0,200.0,0.0,0.0,420.0,200.0,420.0,0.0,420.0,[],[],FIXTURE-3_ROAD_CONSTRAINED,OFF,0.0,1.0,False,420.0
1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33]",3295.0,2100.0,3295.0,2100.0,0.0,0.0,3295.0,3295.0,0.0,"['UTILITY-BUS-1', 'FC-2']",['UTILITY-BUS-1'],FIXTURE-3_ROAD_CONSTRAINED,OFF,1.0,3.5,True,0.0
2,[24],420.0,200.0,0.0,0.0,420.0,200.0,420.0,0.0,420.0,[],[],FIXTURE-3_ROAD_CONSTRAINED,OFF,1.0,3.5,False,420.0
1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33]",3295.0,2100.0,3295.0,2100.0,0.0,0.0,3295.0,3295.0,0.0,"['UTILITY-BUS-1', 'FC-2']",['UTILITY-BUS-1'],FIXTURE-3_ROAD_CONSTRAINED,ON,0.0,1.0,True,0.0
2,[24],420.0,200.0,0.0,0.0,420.0,200.0,420.0,0.0,420.0,[],[],FIXTURE-3_ROAD_CONSTRAINED,ON,0.0,1.0,False,420.0
1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33]",3295.0,2100.0,3295.0,2100.0,0.0,0.0,3295.0,3295.0,0.0,"['UTILITY-BUS-1', 'FC-2']",['UTILITY-BUS-1'],FIXTURE-3_ROAD_CONSTRAINED,ON,1.0,3.5,True,0.0
2,[24],420.0,200.0,0.0,0.0,420.0,200.0,420.0,0.0,420.0,[],[],FIXTURE-3_ROAD_CONSTRAINED,ON,1.0,3.5,False,420.0
