fixture,vehicle_id,event,time_start_h,time_end_h,from_node,to_node,route,cargo_H2_kg
FIXTURE-2_DEFICIT_REACHABLE,1,DEPARTURE,0.0,0.325,14,24,"[[0, 14, 24]]",51.95974142868832
FIXTURE-2_DEFICIT_REACHABLE,1,ARRIVAL,0.0,0.325,14,24,"[[0, 14, 24]]",0.0
