path,bytes,sha256,role
results/task-002-stage2b-b3-smoke/stage89k-terminalLoh-dual-channel-candidate/run-002/run_stage89k_terminal_loh.py,49696,219181470bbabddfe5307745b241f55b42bb2e46ccca73a7594b753deb9b6d0e,Stage89K source/input lineage
results/task-002-stage2b-b3-smoke/stage89k-terminalLoh-dual-channel-candidate/run-002/stage88_terminalLoh_semantics_audit.md,3441,387fa0c8d5f49969b17fa5fc7682311e2d07020f52c2cf94ace58b40dd7b5d27,Stage89K source/input lineage
terminalLoh_wdro/current_w_mainline_stage88/src_snapshot/terminalLoh_wdro/src/run_step04CC6_35state_case.py,42606,7f18983c6211dd6de10ab242fa94627eaded32d4401ba6ec920f809cd3ec2aab,Stage89K source/input lineage
terminalLoh_wdro/current_w_mainline_stage88/src_snapshot/terminalLoh_wdro/src/run_stage88a_terminal_loh_case.py,11261,0d4813e85e05cbdb741f65f4e51cb423551029254e11c686ea4106a556c8c77f,Stage89K source/input lineage
results/task-002-stage2b-b3-smoke/stage89j-topology-h2-dual-channel-w-candidate/run-001/candidate_bank_manifest.csv,16789,c844c0f96b8f35150fbc13527b5a4f099f7578bc4f521b20cc3691e82fda56ff,Stage89K source/input lineage
results/task-002-stage2b-b3-smoke/stage89j-topology-h2-dual-channel-w-candidate/run-001/fc_static_capacity_metadata.csv,1158,1788ec6a12e1fc47551e881d070194301c1337ea574067fda293ef716cfe32a6,Stage89K source/input lineage
results/task-002-stage2b-b3-smoke/topology-h2-dual-channel-minimal-model/run-006/shared_inventory_semantics_audit.md,650,a6245e0b0bb07ac91c716a632bc24cee826c1d4738368a07fa209b6b51e8f679,Stage89K source/input lineage
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-001/CASE_COMPLETE.txt,57,5c76b709a79cb1cff9ba30acca70066299f50d9baf9d4a3503a2d0a327aab904,formal/smoke checkpoint completion marker
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-002/CASE_COMPLETE.txt,57,1ca13518eb8c3b646b6c62a900d63dddc0aca9934a3f4ea898e231e3dd596682,formal/smoke checkpoint completion marker
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-003/CASE_COMPLETE.txt,57,eba44337df572dca7dba36ea8ecb37cf0dd1d83fbe4f5a77e0aac45fe3338ad4,formal/smoke checkpoint completion marker
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-004/CASE_COMPLETE.txt,57,8e295ae897a5ec40f0bf0f706977af11b7d7b7b626ea699d89ddaf005769fe17,formal/smoke checkpoint completion marker
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-005/CASE_COMPLETE.txt,56,eaa74504a50c6a3ba2ff9a01e26c5be185c2588e0a642a1e137d6f28cec3751f,formal/smoke checkpoint completion marker
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-006/CASE_COMPLETE.txt,57,21feb6680ecd516dbcf13be14b198d234b21c09a409bb0416a795f435e71ee13,formal/smoke checkpoint completion marker
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-007/CASE_COMPLETE.txt,57,954808bd0dc006ecd4ffc226f4da5c53405d89ac0d4ac27a93b743c3dda7da78,formal/smoke checkpoint completion marker
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-008/CASE_COMPLETE.txt,57,5e401c52b8c42526dc4fe9c70d5055508eb80784b809580f874a84b151d8bf2e,formal/smoke checkpoint completion marker
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-009/CASE_COMPLETE.txt,57,131b92c681bf81cf20444cdded39d37112522ce99a8a7372bbb6af9d6a7c90ee,formal/smoke checkpoint completion marker
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-010/CASE_COMPLETE.txt,58,ff8da4c8150337f6433684362c43b51c08a83b6aa885b271d3c75a9d94aad3a7,formal/smoke checkpoint completion marker
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-011/CASE_COMPLETE.txt,57,926a78b0adc29e9c6e4e1e7fdc7dc7c2463c1e9edb8204952338cb7d906e9e86,formal/smoke checkpoint completion marker
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-012/CASE_COMPLETE.txt,58,22ca2d31a97f01991a4710898542d17d70f667ca956a94ef49ca4667d5171ba0,formal/smoke checkpoint completion marker
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-013/CASE_COMPLETE.txt,58,5ecc20f344b95413a8bcf309881d07883bdd30a6c33fee622b1b48bf21008678,formal/smoke checkpoint completion marker
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-014/CASE_COMPLETE.txt,58,59fca5eb44b9666263a5ca304fc2442b2d2f74c7e832a4b83bd169de3497bbd8,formal/smoke checkpoint completion marker
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-015/CASE_COMPLETE.txt,57,a12855b35bf0eff40c8e69538e6d5727f379904d2362e159440c4e6fdafde3cb,formal/smoke checkpoint completion marker
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-016/CASE_COMPLETE.txt,58,543a0646f50ea9d3c0ee6e1d8234dd58181d7e61a9e24ea45e2d0ad82e906758,formal/smoke checkpoint completion marker
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-017/CASE_COMPLETE.txt,58,355353ac9f3c85a28489d6886e398063c63f43800240c6657b702d8811e29dcc,formal/smoke checkpoint completion marker
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-018/CASE_COMPLETE.txt,58,ded6b5028edd37ae8b42bf14add97c15e5e00e6aeb4f75d3caf0c398316bc46b,formal/smoke checkpoint completion marker
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-019/CASE_COMPLETE.txt,58,d6b7748df073a85d2deda15eb559a2a102a28665ec33cffd426573c66c42e5a5,formal/smoke checkpoint completion marker
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-020/CASE_COMPLETE.txt,58,598af68f778435640dd40ca28d7a2f73c232f3680ce680d92d012fd82a5dc470,formal/smoke checkpoint completion marker
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-021/CASE_COMPLETE.txt,58,7264d026189bd1b5fb04013fff5fb9a15b448be340d6126a24fe7e3c63077f7e,formal/smoke checkpoint completion marker
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-022/CASE_COMPLETE.txt,58,ccbad2c600c7d550731ddfde8ce01d012793559dc3beba9bd516e70adbad8bb7,formal/smoke checkpoint completion marker
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-023/CASE_COMPLETE.txt,58,2f7daee7403b67ad38e6e679e807b0576248405152f7e989623ed0390e2cc6f2,formal/smoke checkpoint completion marker
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-024/CASE_COMPLETE.txt,58,cc43eb3b79d18ae9150694d33cf60c2b72ff9e8501f2bda892c33333c984f3c2,formal/smoke checkpoint completion marker
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-025/CASE_COMPLETE.txt,58,c5abe041c09174ded0864cfa11d9ee70be2cbd90e572d5659fb46184b92141f3,formal/smoke checkpoint completion marker
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-026/CASE_COMPLETE.txt,58,7fc4ec126d3991cb161e4e1dcade004d8a583de00eebf0625b7fb16d376b6989,formal/smoke checkpoint completion marker
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-027/CASE_COMPLETE.txt,58,56810049c9d37f7c14ce2f898cb8474e6c1c320d4b31298a35fe21c2490cfa23,formal/smoke checkpoint completion marker
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-028/CASE_COMPLETE.txt,58,766d71f22dcdbefbaccd42747db3a3e3c91ed49e35b12d58d74240b106bc8ef6,formal/smoke checkpoint completion marker
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-029/CASE_COMPLETE.txt,58,15f2d5a2980cc3ab9cfcf6062692bfa33bcfd797a560a5b082bd156891f0111d,formal/smoke checkpoint completion marker
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-030/CASE_COMPLETE.txt,57,c1b2d20ac1a684fe68aae5e0d26c70772233ab081fff7352a5f02a4347ce2cc4,formal/smoke checkpoint completion marker
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-031/CASE_COMPLETE.txt,58,cc36ceab313c4920dfdcefe403c72fac815b9fa1dda46937a120b4259122b51f,formal/smoke checkpoint completion marker
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-032/CASE_COMPLETE.txt,58,bfdbc646fe45c87b8be17ab569b85045a13c14e86b91df6d2b86fbcb9e631225,formal/smoke checkpoint completion marker
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-033/CASE_COMPLETE.txt,58,b157f0648363642a3496b76192b3106a05bee47b68cd2983ef3f753880385d35,formal/smoke checkpoint completion marker
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-034/CASE_COMPLETE.txt,58,a38e15d1a09c35303fdc579377cf6579845be96c87a3cef0e657f39b567e0263,formal/smoke checkpoint completion marker
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-035/CASE_COMPLETE.txt,58,93e82b7b04569b9cc2f854008236cb36d6e48e9ef977fe647a92f487f7bd411a,formal/smoke checkpoint completion marker
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/saa/state-001/CASE_COMPLETE.txt,57,86d01afa7bbaeae9372208fde07cd7a47218b0c7078cc0e4824efe2f089fd0ce,formal/smoke checkpoint completion marker
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/saa/state-002/CASE_COMPLETE.txt,56,276c242970750ffad9ff9f61edd5dfd359d2aa07966e6ae426657604360047f8,formal/smoke checkpoint completion marker
