"process_label","exit_code","started_at","ended_at","runtime_sec","log_path","pass"
"audit-input","0","2026-08-22T11:38:51.7527611+08:00","2026-08-22T11:39:04.0389461+08:00","12.286185","C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage89k_terminalLoh_dual_channel_candidate\run-002\process_logs\audit-input-attempt-001.txt","True"
"smoke-saa-state-004","0","2026-08-22T11:39:04.1091491+08:00","2026-08-22T11:39:07.3172520+08:00","3.2081029","C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage89k_terminalLoh_dual_channel_candidate\run-002\process_logs\smoke-saa-state-004-attempt-001.txt","True"
"smoke-dro-state-004","0","2026-08-22T11:39:07.3563932+08:00","2026-08-22T11:39:10.8635554+08:00","3.5071622","C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage89k_terminalLoh_dual_channel_candidate\run-002\process_logs\smoke-dro-state-004-attempt-001.txt","True"
"smoke-saa-state-025","0","2026-08-22T11:39:10.8861276+08:00","2026-08-22T11:40:21.8673217+08:00","70.9811941","C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage89k_terminalLoh_dual_channel_candidate\run-002\process_logs\smoke-saa-state-025-attempt-001.txt","True"
"smoke-dro-state-025","0","2026-08-22T11:40:21.8894913+08:00","2026-08-22T11:53:43.5207901+08:00","801.6312988","C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage89k_terminalLoh_dual_channel_candidate\run-002\process_logs\smoke-dro-state-025-attempt-001.txt","True"
"smoke-saa-state-032","0","2026-08-22T11:53:43.5504766+08:00","2026-08-22T11:55:31.1854881+08:00","107.6350115","C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage89k_terminalLoh_dual_channel_candidate\run-002\process_logs\smoke-saa-state-032-attempt-001.txt","True"
"smoke-dro-state-032","0","2026-08-22T11:55:31.2102640+08:00","2026-08-22T12:21:53.9680038+08:00","1582.7577398","C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage89k_terminalLoh_dual_channel_candidate\run-002\process_logs\smoke-dro-state-032-attempt-001.txt","True"
"formal-saa-state-001","0","2026-08-22T12:22:17.2627402+08:00","2026-08-22T12:22:19.7890251+08:00","2.5262849","C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage89k_terminalLoh_dual_channel_candidate\run-002\process_logs\formal-saa-state-001-attempt-001.txt","True"
"formal-dro-state-001","0","2026-08-22T12:22:19.8264244+08:00","2026-08-22T12:22:22.7480124+08:00","2.921588","C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage89k_terminalLoh_dual_channel_candidate\run-002\process_logs\formal-dro-state-001-attempt-001.txt","True"
"formal-saa-state-002","0","2026-08-22T12:22:22.7969584+08:00","2026-08-22T12:22:25.7984744+08:00","3.001516","C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage89k_terminalLoh_dual_channel_candidate\run-002\process_logs\formal-saa-state-002-attempt-001.txt","True"
