path,bytes,sha256,logical_rows,role
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-001/case_arrays.npz,4266,27b13469ac324e9a7dac6df1712f79df6b758d94ee4b53458a14c85e42993215,7123,Stage89K smoke/formal case output or completion checkpoint
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-001/CASE_COMPLETE.txt,57,5c76b709a79cb1cff9ba30acca70066299f50d9baf9d4a3503a2d0a327aab904,1,Stage89K smoke/formal case output or completion checkpoint
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-001/result.json,1653,4ca70cb2a33159e01d014db0a6c4dea348cf57e891048d5f4f0db990ce23a58e,1,Stage89K smoke/formal case output or completion checkpoint
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-002/case_arrays.npz,4301,91d9d7ec5d6f7707771d4b17644688ab1c30e6427ee3344ada09bac205f3742b,7111,Stage89K smoke/formal case output or completion checkpoint
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-002/CASE_COMPLETE.txt,57,1ca13518eb8c3b646b6c62a900d63dddc0aca9934a3f4ea898e231e3dd596682,1,Stage89K smoke/formal case output or completion checkpoint
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-002/result.json,1669,418c431ecfead718b5f85e0b33e09f5f05acab46d920032ff02993c6ec9e16c3,1,Stage89K smoke/formal case output or completion checkpoint
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-003/case_arrays.npz,4386,4b4d2bbeb99a93ed8c00e06ac93cf3183c0296f047da09cb6c15e447a420ca0c,7083,Stage89K smoke/formal case output or completion checkpoint
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-003/CASE_COMPLETE.txt,57,eba44337df572dca7dba36ea8ecb37cf0dd1d83fbe4f5a77e0aac45fe3338ad4,1,Stage89K smoke/formal case output or completion checkpoint
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-003/result.json,1631,1064e599a30d1d5addc0d531456adb1ce440ea0471870b922f99d81dc27c839a,1,Stage89K smoke/formal case output or completion checkpoint
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-004/case_arrays.npz,4386,57eed76b5271ddbde369f87390db482182fa7703177492e8c7b6051636ca8964,7004,Stage89K smoke/formal case output or completion checkpoint
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-004/CASE_COMPLETE.txt,57,8e295ae897a5ec40f0bf0f706977af11b7d7b7b626ea699d89ddaf005769fe17,1,Stage89K smoke/formal case output or completion checkpoint
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-004/result.json,1655,55551788a4555037a887b35abab1b8cd74ef7be11355d5cddf0a3dc41cf6f823,1,Stage89K smoke/formal case output or completion checkpoint
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-005/case_arrays.npz,4032,6ecd7912f2e75f01a86a450043586f97ead6467045a2ea7ae3d944cc8ca32101,7176,Stage89K smoke/formal case output or completion checkpoint
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-005/CASE_COMPLETE.txt,56,eaa74504a50c6a3ba2ff9a01e26c5be185c2588e0a642a1e137d6f28cec3751f,1,Stage89K smoke/formal case output or completion checkpoint
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-005/result.json,1651,315f8c5d0a833d58029f68f93b5730270e4e304df2e0b48ca4c34cd8b7181697,1,Stage89K smoke/formal case output or completion checkpoint
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-006/case_arrays.npz,3568,1f7d35f3c16913d3f440fc9db054161843224f58738c808a15294da8dc838468,7061,Stage89K smoke/formal case output or completion checkpoint
terminalLoh_wdro/output/stage89k_terminalLoh_dual_channel_candidate/run-002/formal_cases/dro/state-006/CASE_COMPLETE.txt,57,21feb6680ecd516dbcf13be14b198d234b21c09a409bb0416a795f435e71ee13,1,Stage89K smoke/formal case output or completion checkpoint
