state,intensity,loc,mode,q_weighted_shortage_kg,q_weighted_road_service_kg,q_weighted_electrical_service_kg,road_service_share,electrical_service_share,fc_binding_frequency,fc_binding_any_share,inventory_binding_frequency,inventory_binding_site1,inventory_binding_site2,inventory_binding_site3,inventory_binding_site4
1,2,1,DRO,0.17752684359345022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999477,0.9999999999999477,0.9999999999999477,0.9999999999999477
1,2,1,SAA,0.17752684359345022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999477,0.9999999999999477,0.9999999999999477,0.9999999999999477
2,2,2,DRO,0.2153851748811245,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999478,0.9999999999999478,0.9999999999999478,0.9999999999999478
2,2,2,SAA,0.2153851748811245,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999478,0.9999999999999478,0.9999999999999478,0.9999999999999478
3,2,3,DRO,0.29092000109101823,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.999999999999948,0.999999999999948,0.999999999999948,0.999999999999948
3,2,3,SAA,0.29092000109101823,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.999999999999948,0.999999999999948,0.999999999999948,0.999999999999948
4,2,4,DRO,0.255716480738983,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999486,0.9999999999999486,0.9999999999999486,0.9999999999999486
4,2,4,SAA,0.255716480738983,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999486,0.9999999999999486,0.9999999999999486,0.9999999999999486
5,2,5,DRO,0.1004100410041004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999473,0.9999999999999473,0.9999999999999473,0.9999999999999473
5,2,5,SAA,0.1004100410041004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999473,0.9999999999999473,0.9999999999999473,0.9999999999999473
6,2,6,DRO,0.01652892561983471,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999482,0.9999999999999482,0.9999999999999482,0.9999999999999482
6,2,6,SAA,0.01652892561983471,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999482,0.9999999999999482,0.9999999999999482,0.9999999999999482
