state,intensity,loc,old_saa_T1,new_saa_T1,delta_saa_T1,old_saa_T2,new_saa_T2,delta_saa_T2,old_saa_T3,new_saa_T3,delta_saa_T3,old_saa_T4,new_saa_T4,delta_saa_T4,old_saa_T_total,new_saa_T_total,delta_saa_total,delta_saa_percent,old_dro_T1,new_dro_T1,delta_dro_T1,old_dro_T2,new_dro_T2,delta_dro_T2,old_dro_T3,new_dro_T3,delta_dro_T3,old_dro_T4,new_dro_T4,delta_dro_T4,old_dro_T_total,new_dro_T_total,delta_dro_total,delta_dro_percent
1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,18.001800181105967,0.0,-18.001800181105967,4.909581992772173,0.0,-4.909581992772173,0.0,0.0,0.0,22.91138217387814,0.0,-22.91138217387814,-100.0
3,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.017835675050645,0.0,-11.017835675050645,11.017835675050645,0.0,-11.017835675050645,-100.0
4,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.909309756018222,0.0,-4.909309756018222,0.5270111130442873,0.0,-0.5270111130442873,5.436320869062509,0.0,-5.436320869062509,-100.0
5,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7,2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8,3,1,108.010801080108,11.45569102364782,-96.55511005646018,19.638327469110543,0.0,-19.638327469110543,9.819163734555271,0.0,-9.819163734555271,106.37427379101544,3.273054578185091,-103.10121921283034,243.84256607478926,14.72874560183291,-229.11382047295635,-93.95973154362416,161.49623767880428,63.824487644017545,-97.67175003478673,52.34337957797043,13.092178781483947,-39.251200796486486,16.364952892232328,11.455677405500015,-4.909275486732312,124.92181125483026,54.550939968034314,-70.37087128679595,355.1263814038373,142.9232837990358,-212.20309760480148,-59.754247703577825
9,3,2,142.92338324741564,18.54730927638218,-124.37607397103346,24.547909336388184,0.0,-24.547909336388184,16.365272890925453,0.0,-16.365272890925453,112.92038294738562,15.819763794561272,-97.10061915282435,296.75694842211493,34.36707307094345,-262.3898753511715,-88.41911764705884,189.8369847069476,84.28079275323896,-105.55619195370863,29.45744261150779,19.638395459201206,-9.819047152306585,17.18335805166234,21.00480075033511,3.8214426986727723,138.28669096325376,55.64176756515002,-82.64492339810374,374.7644763333715,180.5657565279253,-194.1987198054462,-51.81887080265763
10,3,3,110.4655920137468,27.54820936639118,-82.91738264735562,51.82336415459728,2.4547909336388183,-49.36857322095846,16.365272890925453,3.273054578185091,-13.092218312740362,52.09611870277936,18.001800180018,-34.094318522761355,230.7503477620489,51.277855058233094,-179.47249270381582,-77.77777777777777,171.32760473167713,70.35486735377559,-100.97273737790154,93.2444071479024,24.01839690512782,-69.22601024277458,16.365203919312588,22.911379008946998,6.54617508963441,61.09700625250112,39.12287233693548,-21.974133915565638,342.0342220513932,156.40751560478589,-185.62670644660733,-54.27138411276153
11,3,4,105.55601014646923,19.092818372746365,-86.46319177372287,83.7356462919019,6.546109156370182,-77.18953713553172,16.365272890925453,6.546109156370182,-9.819163734555271,44.18623680549873,16.365272890925453,-27.820963914573277,249.84316613479533,48.55030957641218,-201.29285655838314,-80.56768558951966,132.55875584975297,70.87773956351243,-61.681016286240535,152.76465278754884,47.77054488327426,-104.99410790427459,24.547909326964064,22.91133885663834,-1.6365704703257222,54.23816680284874,39.27665496533001,-14.961511837518728,364.1094847671146,180.83627826875505,-183.27320649835957,-50.33464223421194
12,3,5,75.2802552982571,3.273054578185091,-72.007200720072,13.092218312740364,0.0,-13.092218312740364,9.819163734555271,0.0,-9.819163734555271,26.729945721844885,0.0,-26.729945721844885,124.92158306739763,3.273054578185091,-121.64852848921254,-97.37991266375545,131.17231656051632,19.638331299653128,-111.53398526086319,19.63829921941852,8.727978055057477,-10.910321164361044,14.728752284633542,8.182636810913209,-6.546115473720333,66.30214968156083,21.64674173127229,-44.65540795028855,231.84151774612923,58.1956878968961,-173.6458298492331,-74.89850460665916
13,3,6,3.818563674549274,0.0,-3.818563674549274,2.4547909336388183,0.0,-2.4547909336388183,4.091318222731363,0.0,-4.091318222731363,19.911082017292635,0.0,-19.911082017292635,30.27575484821209,0.0,-30.27575484821209,-100.0,36.98339369791957,0.0,-36.98339369791957,6.546115152668283,0.0,-6.546115152668283,8.182447343076714,0.0,-8.182447343076714,25.63891661898691,0.0,-25.63891661898691,77.35087281265147,0.0,-77.35087281265147,-100.0
14,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15,4,1,211.9302839374846,149.46949240378572,-62.46079153369888,71.73444617188991,44.18623680549873,-27.548209366391184,24.54790933638818,27.82096391457343,3.273054578185249,193.9284837574666,127.10361945285436,-66.82486430461225,502.1411232032293,348.58031257671223,-153.56081062651708,-30.581205866376955,237.83965632365715,157.10648585077968,-80.73317047287748,83.11732490566399,49.91394151094373,-33.20338339472026,28.911870031843065,31.912611986950207,3.0007419551071415,200.0,135.83173905714276,-64.16826094285724,549.8688512611643,374.7647784058164,-175.1040728553479,-31.844697595387327
16,4,2,241.1150205929683,158.74314704197695,-82.37187355099135,78.55330987644219,44.18623680549873,-34.367073070943455,24.54790933638818,29.457491203665818,4.9095818672776375,188.47339279382484,132.55871041649618,-55.91468237732866,532.6896325996235,364.94558546763767,-167.74404713198578,-31.490015360983087,249.47261874994368,168.32149889128638,-81.1511198586573,97.10063955789326,60.2781032686581,-36.82253628923516,24.54791892258084,34.36707295817927,9.81915403559843,191.0259428740897,132.55868960326845,-58.46725327082126,562.1471201045074,395.5253647213922,-166.62175538311521,-29.640239969945767
17,4,3,258.8440662248041,172.65362899926356,-86.19043722554056,145.10541963287235,79.37157352098842,-65.73384611188393,24.547909336388184,32.45779123366883,7.909881897280645,111.82936475465723,76.91678258734964,-34.91258216730759,540.3267599487218,361.39977634127047,-178.92698360745135,-33.114588591620354,271.66302503303,184.29844979067113,-87.36457524235888,155.92290994127492,82.45597478494416,-73.46693515633076,28.1558539636178,34.3670602262326,6.211206262614802,117.86051831915844,85.64444574838282,-32.21607257077562,573.6023072570812,386.7659305502307,-186.8363767068505,-32.572459061450886
18,4,4,231.56861140659515,137.19553773559164,-94.37307367100351,183.29105637836523,129.8311649346752,-53.459891443690026,24.54790933638818,32.730545781850964,8.182636445462784,93.28205547827508,65.1883370155198,-28.093718462755277,532.6896325996236,364.94558546763756,-167.744047131986,-31.49001536098312,248.7514489929985,168.5629804404292,-80.1884685525693,169.927408399791,132.55898856690476,-37.36841983288625,40.36706974118945,40.91318221270838,0.5461124715189314,100.962514702704,81.82637554514085,-19.13613915756315,560.0084418366829,423.86152676518316,-136.14691507149973,-24.311582629892694
