case_id,eta,design,risk_type,top_k,kappa,domain,loss_mean,loss_q90,loss_q95,loss_q99,loss_max,shortage_mean_kg,shortage_q95_kg,shortage_max_kg,shortage_W1_mean_kg,shortage_W2_mean_kg,shortage_W3_mean_kg,service_rate_mean,zero_shortage_share,unreachable_demand_mean_kg,unreachable_demand_share,total_demand_mean_kg
0,0,R1_MAX,R1_MAX,1,NaN,NOMINAL,10015.9395484092,21088.8456843511,61234.978523041,185907.880980395,605348.344020294,4.5646120975734,28.9119821073016,301.121021193028,0.121332224131504,1.61077162261681,2.83250825082509,0.98735306176486,0.867066666666667,4.46457373010029,0.0338833376620116,131.763103583085
0,0,R1_MAX,R1_MAX,1,NaN,EXTREME,525510.078590218,784161.562633729,820195.36161099,858881.846268602,899141.407567379,261.512060296939,409.404576821319,449.226740855904,77.3481287522692,83.9527185041736,100.211213040496,0.549910473677341,0,257.619701364076,0.458456029080241,561.928920164743
0,0,R2_TOPK_5PCT,R2_TOPK,2,NaN,NOMINAL,10015.9395484092,21088.8456843511,61234.978523041,185907.880980395,605348.344020294,4.5646120975734,28.9119821073016,301.121021193028,0.121332224131504,1.61077162261681,2.83250825082509,0.98735306176486,0.867066666666667,4.46457373010029,0.0338833376620116,131.763103583085
0,0,R2_TOPK_5PCT,R2_TOPK,2,NaN,EXTREME,525510.078590218,784161.562633729,820195.36161099,858881.846268602,899141.407567379,261.512060296939,409.404576821319,449.226740855904,77.3481287522692,83.9527185041736,100.211213040496,0.549910473677341,0,257.619701364076,0.458456029080241,561.928920164743
0,0,R2_TOPK_10PCT,R2_TOPK,3,NaN,NOMINAL,10015.9395484092,21088.8456843511,61234.978523041,185907.880980395,605348.344020294,4.5646120975734,28.9119821073016,301.121021193028,0.121332224131504,1.61077162261681,2.83250825082509,0.98735306176486,0.867066666666667,4.46457373010029,0.0338833376620116,131.763103583085
0,0,R2_TOPK_10PCT,R2_TOPK,3,NaN,EXTREME,525510.078590218,784161.562633729,820195.36161099,858881.846268602,899141.407567379,261.512060296939,409.404576821319,449.226740855904,77.3481287522692,83.9527185041736,100.211213040496,0.549910473677341,0,257.619701364076,0.458456029080241,561.928920164743
0,0.01,R1_MAX,R1_MAX,1,NaN,NOMINAL,10015.9395484092,21088.8456843511,61234.978523041,185907.880980395,605348.344020294,4.5646120975734,28.9119821073016,301.121021193028,0.121332224131504,1.61077162261681,2.83250825082509,0.98735306176486,0.867066666666667,4.46457373010029,0.0338833376620116,131.763103583085
0,0.01,R1_MAX,R1_MAX,1,NaN,EXTREME,525510.078590218,784161.562633729,820195.36161099,858881.846268602,899141.407567379,261.512060296939,409.404576821319,449.226740855904,77.3481287522692,83.9527185041736,100.211213040496,0.549910473677341,0,257.619701364076,0.458456029080241,561.928920164743
0,0.01,R2_TOPK_5PCT,R2_TOPK,2,NaN,NOMINAL,10015.9395484092,21088.8456843511,61234.978523041,185907.880980395,605348.344020294,4.5646120975734,28.9119821073016,301.121021193028,0.121332224131504,1.61077162261681,2.83250825082509,0.98735306176486,0.867066666666667,4.46457373010029,0.0338833376620116,131.763103583085
0,0.01,R2_TOPK_5PCT,R2_TOPK,2,NaN,EXTREME,525510.078590218,784161.562633729,820195.36161099,858881.846268602,899141.407567379,261.512060296939,409.404576821319,449.226740855904,77.3481287522692,83.9527185041736,100.211213040496,0.549910473677341,0,257.619701364076,0.458456029080241,561.928920164743
0,0.01,R2_TOPK_10PCT,R2_TOPK,3,NaN,NOMINAL,10015.9395484092,21088.8456843511,61234.978523041,185907.880980395,605348.344020294,4.5646120975734,28.9119821073016,301.121021193028,0.121332224131504,1.61077162261681,2.83250825082509,0.98735306176486,0.867066666666667,4.46457373010029,0.0338833376620116,131.763103583085
0,0.01,R2_TOPK_10PCT,R2_TOPK,3,NaN,EXTREME,525510.078590218,784161.562633729,820195.36161099,858881.846268602,899141.407567379,261.512060296939,409.404576821319,449.226740855904,77.3481287522692,83.9527185041736,100.211213040496,0.549910473677341,0,257.619701364076,0.458456029080241,561.928920164743
