origin_site,destination_site,flow_occurrence,active_path_hour_count,active_path_count,total_kg,mean_when_active_kg,q95_when_active_kg,share_of_all_HTT,share_in_positive_target_adequate,kg_in_positive_target_adequate,share_in_pure_location,kg_in_pure_location,share_in_mixed,kg_in_mixed,share_in_difficult_5pct,kg_in_difficult_5pct
1,2,73,73,70,900.206080876,12.331590149,30.2187345993,0.0121225131187,0.0162028044253,461.212348714,0.0262652811435,277.86002981,0.00471537145979,26.8042236903,0.0122651419522,152.570502474
1,3,91,91,78,994.376632637,10.9272157433,21.5655195805,0.0133906491304,0.014847608137,422.636726453,0.0265347055598,280.710266818,0.0113578265949,64.5628297326,0.0150177672249,186.811396107
1,4,245,245,233,3931.25213528,16.0459270828,39.6569787888,0.0529397174659,0.0719020359678,2046.68932708,0.102428144831,1083.58586458,0.0809361537015,460.076324197,0.0615670418302,765.854528587
2,1,944,944,878,12042.4205124,12.7568013902,29.0452229039,0.162167756631,0.175467873104,4994.68781786,0.125233926367,1324.84789801,0.171560538555,975.224770955,0.180441686893,2244.57890041
2,3,2708,2708,2529,10530.1966686,3.888551207,12.7654295036,0.1418035825,0.063188115144,1798.64782857,0.0549255658854,581.056768092,0.0749681025319,426.151323821,0.0741626371297,922.535658841
2,4,1496,1496,1365,13776.1027083,9.20862480501,28.0095743231,0.185514172091,0.177660752789,5057.10807323,0.159745296799,1689.94318729,0.199602232046,1134.6259616,0.185716683498,2310.19647628
3,1,1599,1599,1145,22373.3425935,13.9920841736,40.7767589702,0.301287832709,0.320871068876,9133.58548473,0.336340914108,3558.14567184,0.356047999894,2023.93179732,0.362121316904,4504.55701955
3,2,334,334,301,2606.54813537,7.80403633345,21.0546618951,0.0351007559677,0.0420231956233,1196.18902044,0.032871861217,347.750944974,0.0194316969402,110.458222837,0.0272573563766,339.064038124
3,4,425,425,403,5538.33545264,13.0313775356,34.6724588812,0.0745813048884,0.089269264712,2541.04697959,0.112692534296,1192.17269245,0.0525068261776,298.471653004,0.0609824628201,758.582740486
4,1,180,180,179,1365.90880095,7.58838222752,15.6140753596,0.0183938408218,0.0234436223838,667.322017731,0.0212562980778,224.870070314,0.0251563824055,142.999826628,0.0173189918243,215.437154766
4,2,32,32,32,160.382364212,5.01194888164,13.2420901419,0.00215976914117,0.00384687341878,109.501138081,0.00170547171483,18.0421606354,0.00371686969292,21.1283050606,0.00314891354689,39.170465696
4,3,9,9,9,39.9591957266,4.43991063629,8.95203295842,0.000538105534608,0.00127678541791,36.3436591554,0,0,0,0,0,0
