metric,N,mean,median,q25,q75,q90,q95,q99,max
actual_operating_cost,10000,56192.3696759,58228.7647362,49613.7064926,77299.8426255,82521.1618388,98829.1622353,110053.971647,139200.112218
holding_cost,10000,36.8436964162,36.7131194798,28.4407682805,45.2660820669,54.545245821,68.3681857725,94.9589100626,126.039647557
production_cost,10000,55555.2231017,58171.6314582,49585.2657243,77211.2791197,81287.4938859,92841.3312833,108022.380233,117324.367611
electricity_cost,10000,55434.9596614,58063.220031,49509.7857243,77104.9260958,81125.6213769,92478.9264006,107740.117351,116897.339096
production_om_cost,10000,120.263440239,109.368475458,75.48,139.113196448,214.564882679,276.338169179,361.534810588,427.028515096
HTT_cost,10000,199.381943937,0,0,22.0041293892,762.786833714,1457.32062749,2915.97570651,5928.47705848
ordinary_shortage_cost,10000,400.920933899,0,0,0,0,2540.07489061,10196.6183191,22330.9258419
