component,label,N_all,N_positive,unconditional_mean_yuan,conditional_mean_if_positive_yuan,q95_yuan,q99_yuan,mean_fraction_of_reported_objective
ordinary_shortage_penalty_200,MODEL_PENALTY_COMPONENT,10000,550,400.920933898,7289.47152543,2540.07489061,10196.6183191,0.00394246597167
terminal_gap_penalty_1000,MODEL_PENALTY_COMPONENT,10000,473,2158.82815314,45641.1871701,0,75498.0818565,0.0144241651427
