cost_bin,terminal_outcome,N,cost_median_threshold,cost_q75_threshold,cost_q95_threshold,mean_actual_cost_yuan,gap_probability,mean_terminal_gap_kg,mean_terminal_margin_kg,mean_production_kg
low_le_median,adequate,1921,58228.7647362,77299.8426255,98829.1622353,52527.097879,0,1.84940847413e-18,147.683304894,141.421287725
low_le_median,shortfall,66,58228.7647362,77299.8426255,98829.1622353,52562.9709872,1,31.3866183816,-11.8299717115,163.322366053
median_to_q75,adequate,1765,58228.7647362,77299.8426255,98829.1622353,61903.9480074,0,4.83088545559e-17,188.364726684,227.428716993
median_to_q75,shortfall,185,58228.7647362,77299.8426255,98829.1622353,66056.4076638,1,55.5556582255,-24.3435676328,315.946597906
q75_to_q95,adequate,1587,58228.7647362,77299.8426255,98829.1622353,81309.4314801,0,0,169.072021405,262.403565436
q75_to_q95,shortfall,133,58228.7647362,77299.8426255,98829.1622353,86513.0506944,1,40.6351183342,-1.17606475999,400.855816337
high_gt_q95,adequate,378,58228.7647362,77299.8426255,98829.1622353,103995.664297,0,0,191.566270528,363.301381203
high_gt_q95,shortfall,89,58228.7647362,77299.8426255,98829.1622353,110624.986782,1,43.0842382931,7.18420966116,496.453167319
