method,method_label,aggregation_scope,observation_count,mean_target_kg,mean_final_inventory_kg,mean_gap_kg,mean_attainment,positive_gap_probability,target_mass_weighted_attainment
saa,SAA,all_10000_paths_four_station_total,10000,59.3898795106773,348.443097320495,3.57855119496178,,,
saa,SAA,6053_terminal_hit_paths_four_station_total,6053,98.116437321456,380.252607798618,5.91202906816748,,0.117958037336858,
saa,SAA,own_positive_target_paths_four_station_total,1484,400.201344411572,458.257865551778,24.114226381144,0.95378031482102,0.481132075471698,0.939744764184639
saa,SAA,own_positive_target_station_path_cells,5936,100.050336102895,114.564466387945,6.02855659528601,0.951199709504019,0.311826145552561,0.939744764184639
saa,SAA,equal_observed_positive_state_station_cells,96,124.89151614025,125.016625202127,10.9374809237204,0.914787618604738,0.535174727739014,0.912424148078739
saa,SAA,equal_observed_positive_target_states,24,499.566064561001,500.06650080851,43.7499236948815,0.92416713680076,0.710768199239663,0.912424148078739
saa,SAA,common_positive_target_states_oos_frequency_weighted,1484,400.201344411579,458.257865551779,24.114226381144,0.953780314821019,0.481132075471698,0.939744764184639
