state_id,intensity,loc,main_msp_terminal_k,site,arrival_count,arrival_frequency_full_oos,arrival_frequency_given_terminal_hit,T_saa_kg,T_dro_kg,DeltaT_dro_minus_saa_kg,mean_I_saa_kg,mean_I_dro_kg,DeltaI_dro_minus_saa_kg,increment_class,increment_realization_ratio,saa_mean_attainment,dro_mean_attainment,attainment_delta_dro_minus_saa,weighted_DeltaT_per_full_oos_path_kg,weighted_DeltaI_per_full_oos_path_kg,weighted_DeltaT_per_terminal_hit_path_kg,weighted_DeltaI_per_terminal_hit_path_kg,unrealized_increment_DeltaT_minus_DeltaI_kg,weighted_unrealized_increment_per_terminal_hit_path_kg
1,2,1,63,1,354,0.0354,0.0584833966628118,0,63.6167837525965,63.6167837525965,181.444063536124,188.332680339862,6.88861680373822,positive_delta_target,0.108283009567535,,1,,2.25203414484192,0.243857034852333,3.72052559861542,0.402869708991133,56.7281669488583,3.31765588962429
1,2,1,63,2,354,0.0354,0.0584833966628118,0,13.0921331708544,13.0921331708544,79.6476233395038,84.5364629302133,4.88883959070954,positive_delta_target,0.373418107416828,,1,,0.463461514248246,0.173064921511118,0.765672417393435,0.285915945004324,8.20329358014488,0.479756472389111
1,2,1,63,3,354,0.0354,0.0584833966628118,0,4.909665412351,4.909665412351,20.2655455713963,23.900008700422,3.63446312902574,positive_delta_target,0.740266968067253,,1,,0.173802155597225,0.128659994767511,0.287133909792211,0.212555748831176,1.27520228332527,0.0745781609610349
1,2,1,63,4,354,0.0354,0.0584833966628118,0,30.5481142906031,30.5481142906031,77.6114286941566,84.2914342372717,6.68000554311514,positive_delta_target,0.218671616832662,,1,,1.08140324588735,0.236472196226276,1.78655748535825,0.390669413887785,23.868108747488,1.39588807147047
2,2,2,71,1,681,0.0681,0.11250619527507,0,58.9150686076349,58.9150686076349,180.311582168447,187.026009511548,6.71442734310085,positive_delta_target,0.113967911805686,,1,,4.01211617217993,0.457252502065168,6.62831021341473,0.755414673823175,52.200641264534,5.87289553959155
2,2,2,71,2,681,0.0681,0.11250619527507,0,27.0027363942657,27.0027363942657,79.6954631225965,84.5974755262555,4.90201240365899,positive_delta_target,0.181537616487638,,1,,1.83888634844949,0.333827044689177,3.0379751337345,0.551506764726874,22.1007239906067,2.48646836900763
2,2,2,71,3,681,0.0681,0.11250619527507,0,8.1826619672842,8.1826619672842,20.7824264206114,24.6202082158052,3.83778179519383,positive_delta_target,0.469013850326213,,1,,0.557239279972054,0.2613529402527,0.920600165161166,0.431774228073187,4.34488017209037,0.48882593708798
2,2,2,71,4,681,0.0681,0.11250619527507,0,16.3652543612975,16.3652543612975,77.4844512910696,83.3715191348754,5.88706784380578,positive_delta_target,0.359729687900741,,1,,1.11447382200436,0.400909320163174,1.84119250289833,0.6623316044328,10.4781865174917,1.17886089846553
3,2,3,79,1,706,0.0706,0.116636378655212,0,69.666481390842,69.666481390842,178.620770639298,186.003339411737,7.38256877243867,positive_delta_target,0.105970168509316,,1,,4.91845358619345,0.52120935533417,8.12564610307855,0.861076086790303,62.2839126184033,7.26457001628825
3,2,3,79,2,706,0.0706,0.116636378655212,0,9.81885571292145,9.81885571292145,79.5824703024449,84.482802997895,4.90033269545007,positive_delta_target,0.499073704586708,,1,,0.693211213332254,0.345963488298775,1.1452357728932,0.571557059803032,4.91852301747138,0.573678713090169
