method,method_label,state_id,intensity,loc,lfw_table,main_msp_terminal_k,site,target_kg,target_class,arrival_count,arrival_frequency_full_oos,arrival_frequency_given_terminal_hit,mean_final_inventory_kg,mean_gap_kg,mean_attainment,positive_gap_probability,mean_relative_gap
saa,SAA,1,2,1,0,63,1,0,zero_target,354,0.0354,0.0584833966628118,181.444063536124,0,,0,
saa,SAA,1,2,1,0,63,2,0,zero_target,354,0.0354,0.0584833966628118,79.6476233395038,0,,0,
saa,SAA,1,2,1,0,63,3,0,zero_target,354,0.0354,0.0584833966628118,20.2655455713963,0,,0,
saa,SAA,1,2,1,0,63,4,0,zero_target,354,0.0354,0.0584833966628118,77.6114286941566,0,,0,
saa,SAA,2,2,2,0,71,1,0,zero_target,681,0.0681,0.11250619527507,180.311582168447,0,,0,
saa,SAA,2,2,2,0,71,2,0,zero_target,681,0.0681,0.11250619527507,79.6954631225965,0,,0,
saa,SAA,2,2,2,0,71,3,0,zero_target,681,0.0681,0.11250619527507,20.7824264206114,0,,0,
saa,SAA,2,2,2,0,71,4,0,zero_target,681,0.0681,0.11250619527507,77.4844512910696,0,,0,
saa,SAA,3,2,3,0,79,1,0,zero_target,706,0.0706,0.116636378655212,178.620770639298,0,,0,
saa,SAA,3,2,3,0,79,2,0,zero_target,706,0.0706,0.116636378655212,79.5824703024449,0,,0,
saa,SAA,3,2,3,0,79,3,0,zero_target,706,0.0706,0.116636378655212,21.2819633319473,0,,0,
saa,SAA,3,2,3,0,79,4,0,zero_target,706,0.0706,0.116636378655212,76.3240556601821,0,,0,
saa,SAA,4,2,4,0,87,1,0,zero_target,716,0.0716,0.118288452007269,181.594368664991,0,,0,
saa,SAA,4,2,4,0,87,2,0,zero_target,716,0.0716,0.118288452007269,78.6948342408934,0,,0,
saa,SAA,4,2,4,0,87,3,0,zero_target,716,0.0716,0.118288452007269,20.6021407514241,0,,0,
saa,SAA,4,2,4,0,87,4,0,zero_target,716,0.0716,0.118288452007269,76.9045061638604,0,,0,
saa,SAA,5,2,5,0,95,1,0,zero_target,644,0.0644,0.10639352387246,179.629898186649,0,,0,
saa,SAA,5,2,5,0,95,2,0,zero_target,644,0.0644,0.10639352387246,78.0123293180493,0,,0,
saa,SAA,5,2,5,0,95,3,0,zero_target,644,0.0644,0.10639352387246,20.3313815210627,0,,0,
saa,SAA,5,2,5,0,95,4,0,zero_target,644,0.0644,0.10639352387246,75.9826869661025,0,,0,
saa,SAA,6,2,6,0,103,1,0,zero_target,445,0.0445,0.073517264166529,179.42511418653,0,,0,
saa,SAA,6,2,6,0,103,2,0,zero_target,445,0.0445,0.073517264166529,77.7015008241349,0,,0,
saa,SAA,6,2,6,0,103,3,0,zero_target,445,0.0445,0.073517264166529,20.844093746812,0,,0,
saa,SAA,6,2,6,0,103,4,0,zero_target,445,0.0445,0.073517264166529,76.4719714057755,0,,0,
saa,SAA,7,2,7,0,111,1,0,zero_target,1023,0.1023,0.169007103915414,177.386860371229,0,,0,
saa,SAA,7,2,7,0,111,2,0,zero_target,1023,0.1023,0.169007103915414,77.076860919304,0,,0,
saa,SAA,7,2,7,0,111,3,0,zero_target,1023,0.1023,0.169007103915414,20.63234370672,0,,0,
saa,SAA,7,2,7,0,111,4,0,zero_target,1023,0.1023,0.169007103915414,74.3632718949591,0,,0,
saa,SAA,8,3,1,0,119,1,193.11022011292,positive_target,81,0.0081,0.0133817941516603,205.209315899015,4.0348576385093,0.979105934237194,0.246913580246914,0.020894065762806
saa,SAA,8,3,1,0,119,2,80.1898371655347,positive_target,81,0.0081,0.0133817941516603,95.4021511247438,1.01531198295272,0.987338645159525,0.345679012345679,0.0126613548404747
saa,SAA,8,3,1,0,119,3,16.3652728909255,positive_target,81,0.0081,0.0133817941516603,26.2290478151316,0.00914741045862431,0.999441047483926,0.037037037037037,0.000558952516074238
saa,SAA,8,3,1,0,119,4,81.8263644546273,positive_target,81,0.0081,0.0133817941516603,101.423489221012,2.37767335898304,0.970942453879868,0.246913580246914,0.0290575461201317
saa,SAA,9,3,2,0,127,1,181.38177454109,positive_target,133,0.0133,0.0219725755823559,206.814354887559,2.51287764432469,0.986145919838515,0.120300751879699,0.0138540801614851
saa,SAA,9,3,2,0,127,2,78.2805553282601,positive_target,133,0.0133,0.0219725755823559,97.442412560596,0.223659926166118,0.997142841856088,0.157894736842105,0.00285715814391233
saa,SAA,9,3,2,0,127,3,21.2748547582031,positive_target,133,0.0133,0.0219725755823559,26.8625019922965,0.582341139252649,0.972627726681513,0.165413533834586,0.027372273318487
saa,SAA,9,3,2,0,127,4,101.191937375556,positive_target,133,0.0133,0.0219725755823559,102.3466436157,10.1724484956814,0.899473725283783,0.548872180451128,0.100526274716217
saa,SAA,10,3,3,0,135,1,198.29255652838,positive_target,131,0.0131,0.0216421609119445,201.867762853129,7.69258995518815,0.961205856186099,0.389312977099237,0.0387941438139014
saa,SAA,10,3,3,0,135,2,77.7350462318959,positive_target,131,0.0131,0.0216421609119445,91.0258587153516,0.0475581205847713,0.999388202324561,0.0534351145038168,0.00061179767543841
saa,SAA,10,3,3,0,135,3,22.0931184027493,positive_target,131,0.0131,0.0216421609119445,24.8425435365809,0.65342687718872,0.970423963458803,0.458015267175573,0.0295760365411976
saa,SAA,10,3,3,0,135,4,74.1892371055287,positive_target,131,0.0131,0.0216421609119445,95.8502923310731,1.01643750558717,0.98629939401936,0.0916030534351145,0.0137006059806406
saa,SAA,11,3,4,0,143,1,192.564711016556,positive_target,139,0.0139,0.02296381959359,206.720099176608,3.95054647795353,0.979484577121641,0.179856115107914,0.0205154228783584
saa,SAA,11,3,4,0,143,2,72.007200720072,positive_target,139,0.0139,0.02296381959359,94.0827615690927,2.49865675711897e-13,0.999999999999997,0,3.47000957144897e-15
saa,SAA,11,3,4,0,143,3,16.3652728909255,positive_target,139,0.0139,0.02296381959359,25.0070355458055,0.020531062971449,0.99874544939713,0.0287769784172662,0.00125455060287039
saa,SAA,11,3,4,0,143,4,74.1892371055287,positive_target,139,0.0139,0.02296381959359,99.949110859234,0.364319191722688,0.995089325541864,0.0575539568345324,0.00491067445813563
