state_id,category,ordinary_shortage_worse_count,share_of_all_280,baseline_terminal_arrival_count,baseline_share_full_oos,ordinary_worse_probability_given_category,DeltaT_total_kg,DeltaI_total_kg,saa_mean_attainment,dro_mean_attainment,attainment_delta_dro_minus_saa,increment_realization_ratio_total
14,terminal_state,38,0.135714285714286,188,0.0188,0.202127659574468,113.738621912302,17.1988484814597,1,0.98542768095449,-0.0145723190455099,0.15121379345286
21,terminal_state,31,0.110714285714286,124,0.0124,0.25,29.184689306981,4.52810093582468,0.993592967982996,0.984453664107623,-0.00913930387537287,0.155153302753905
12,terminal_state,24,0.0857142857142857,117,0.0117,0.205128205128205,56.695543010981,14.988708460886,0.966911848169758,0.927303388361146,-0.0396084598086123,0.264371900591602
13,terminal_state,19,0.0678571428571429,89,0.0089,0.213483146067416,114.556940848197,15.6910943148772,0.999415806082615,0.98735731121171,-0.0120584948709054,0.136972008842921
0,no_terminal_hit,17,0.0607142857142857,3947,0.3947,0.00430706865974158,,,,,,
7,terminal_state,17,0.0607142857142857,1023,0.1023,0.0166177908113392,0,27.9222459312619,,,,
11,terminal_state,16,0.0571428571428571,139,0.0139,0.115107913669065,40.914030552838,10.0089268939153,0.987791962334173,0.970914370394908,-0.016877591939265,0.244633118729023
9,terminal_state,12,0.0428571428571429,133,0.0133,0.0902255639097744,23.184152922676,11.8102147359219,0.964694323388116,0.955136018389269,-0.00955830499884747,0.509408938739814
16,terminal_state,11,0.0392857142857143,78,0.0078,0.141025641025641,13.09285849484,2.94675233133813,0.865887495435968,0.854686599445572,-0.0112008959903952,0.225065621269753
8,terminal_state,10,0.0357142857142857,81,0.0081,0.123456790123457,33.821570963408,12.1902345260611,0.979980735778142,0.958885606082957,-0.0210951296951857,0.360427803287135
10,terminal_state,10,0.0357142857142857,131,0.0131,0.0763358778625954,33.003300378402,14.4967881081384,0.97472532697672,0.962389642320663,-0.0123356846560566,0.439252679032833
18,terminal_state,9,0.0321428571428571,55,0.0055,0.163636363636364,25.6389274950481,3.72724758620478,0.871283608735624,0.844694243300181,-0.0265893654354431,0.145374551526177
19,terminal_state,9,0.0321428571428571,44,0.0044,0.204545454545455,31.5468584908569,5.99912498959833,0.919795144854842,0.895481461808695,-0.0243136830461471,0.190165527617814
4,terminal_state,7,0.025,716,0.0716,0.00977653631284916,67.6431305846633,24.1231617689881,,1,,0.35662396995058
5,terminal_state,7,0.025,644,0.0644,0.0108695652173913,30.2757519474911,24.8585648788269,,1,,0.821071758083516
17,terminal_state,7,0.025,78,0.0078,0.0897435897435897,16.365232420983,3.80451649735346,0.860704891538348,0.846906421933182,-0.0137984696051654,0.232475555463265
3,terminal_state,6,0.0214285714285714,706,0.0706,0.0084985835694051,79.4853371037635,21.1667230188032,,1,,0.266297203862534
23,terminal_state,6,0.0214285714285714,20,0.002,0.3,14.7442899187671,2.36161549176347,0.922106175242716,0.907235282349789,-0.014870892892927,0.160171531133386
24,terminal_state,6,0.0214285714285714,28,0.0028,0.214285714285714,13.1078813891501,3.16147852384347,0.908995635282457,0.895737953680391,-0.0132576816020653,0.24118913117877
20,terminal_state,4,0.0142857142857143,37,0.0037,0.108108108108108,64.453333750583,2.97649883971314,0.988209101120776,0.949843786836484,-0.0383653142842915,0.0461806809129748
15,terminal_state,3,0.0107142857142857,34,0.0034,0.0882352941176471,9.27150847371001,2.43064200555494,0.844320055761399,0.836297924962064,-0.00802213079933456,0.262162517830533
25,terminal_state,3,0.0107142857142857,24,0.0024,0.125,14.160795398638,2.11492655490451,0.896570040314991,0.882922781742082,-0.0136472585729087,0.149350830611388
22,terminal_state,2,0.00714285714285714,9,0.0009,0.222222222222222,2.18694233930307,1.90351762036096,0.855760402069238,0.855729392659496,-3.10094097415448e-05,0.87040137554224
26,terminal_state,2,0.00714285714285714,22,0.0022,0.0909090909090909,1.74425520071964e-05,0.163467010117643,0.911947679119317,0.916020143230354,0.00407246411103734,9371.73700558268
28,terminal_state,2,0.00714285714285714,40,0.004,0.05,11.047259887741,0.402396117514172,0.915354837152144,0.907031008512794,-0.00832382863935088,0.0364249706808025
1,terminal_state,1,0.00357142857142857,354,0.0354,0.00282485875706215,112.166696626405,22.091925066588,,1,,0.196956188699841
6,terminal_state,1,0.00357142857142857,445,0.0445,0.00224719101123596,0.71367875842609,26.9807772522893,,1,,37.8052126867154
2,terminal_state,0,0,681,0.0681,0,110.465721330482,21.3412893857605,,1,,0.19319377204729
27,terminal_state,0,0,9,0.0009,0,4.50795081773003,2.27373675443232e-13,0.852644070527034,0.850830074541427,-0.00181399598560705,5.04383664854901e-14
29,terminal_state,0,0,0,0,,9.02488109745389,,,,,
30,terminal_state,0,0,0,0,,5.40429148288194,,,,,
31,terminal_state,0,0,1,0.0001,0,5.21581211430305,0,0.895643419987918,0.888743217662345,-0.00690020232557298,0
32,terminal_state,0,0,0,0,,10.3041869524748,,,,,
33,terminal_state,0,0,1,0.0001,0,8.456155682901,0,0.850888566301515,0.839938005741562,-0.010950560559953,0
34,terminal_state,0,0,0,0,,15.3645930639087,,,,,
35,terminal_state,0,0,2,0.0002,0,2.60282706676662e-06,2.46807296322856,0.952787189061446,0.954605255574235,0.00181806651278948,948227.792288384
