weighted_unrealized_rank,state_id,saa_arrival_count,saa_target_total_kg,saa_mean_final_total_kg,saa_mean_gap_total_kg,saa_mean_attainment,saa_positive_gap_probability,dro_arrival_count,dro_target_total_kg,dro_mean_final_total_kg,dro_mean_gap_total_kg,dro_mean_attainment,dro_positive_gap_probability,arrival_count,arrival_frequency_full_oos,arrival_frequency_given_terminal_hit,DeltaT_total_kg,DeltaI_total_kg,increment_realization_ratio_total,attainment_delta_dro_minus_saa,weighted_DeltaT_per_terminal_hit_path_kg,weighted_DeltaI_per_terminal_hit_path_kg,weighted_unrealized_increment_per_terminal_hit_path_kg,ordinary_shortage_worse_count,ordinary_shortage_worse_share_of_all_280,ordinary_shortage_worse_probability_given_state,unrealized_increment_total_kg,weighted_unrealized_mass,share_of_weighted_unrealized_increment
1,2,681,0,358.273923002725,0,,0,681,110.465721330482,379.615212388486,0,1,0,681,0.0681,0.11250619527507,110.465721330482,21.3412893857605,0.19319377204729,,12.4280780152087,2.40102727105616,10.0270507441525,0,0,0,89.1244319447215,60693.7381543553,0.289734047209964
2,3,706,0,355.809259933873,0,,0,706,79.4853371037635,376.975982952676,0,1,0,706,0.0706,0.116636378655212,79.4853371037635,21.1667230188032,0.266297203862534,,9.27088187597175,2.46880992091112,6.80207195506063,6,0.0214285714285714,0.0084985835694051,58.3186140849603,41172.941543982,0.196547508059877
3,1,354,0,358.968661141181,0,,0,354,112.166696626405,381.060586207769,0,1,0,354,0.0354,0.0584833966628118,112.166696626405,22.091925066588,0.196956188699841,,6.55988941115932,1.29201081671438,5.26787859444494,1,0.00357142857142857,0.00282485875706215,90.074771559817,31886.4691321752,0.152216621250207
4,4,716,0,357.795849821169,0,,0,716,67.6431305846633,381.919011590157,0,1,0,716,0.0716,0.118288452007269,67.6431305846633,24.1231617689881,0.35662396995058,,8.00140120578538,2.85349146317454,5.14790974261084,7,0.025,0.00977653631284916,43.5199688156752,31160.2976720234,0.148750092370686
5,14,188,185.745847312004,413.956951586481,0,1,0,188,299.484469224306,431.15580006794,4.36418323471177,0.98542768095449,0.223404255319149,188,0.0188,0.0310589790186684,113.738621912302,17.1988484814597,0.15121379345286,-0.0145723190455099,3.53260547158645,0.534178674130915,2.99842679745553,38,0.135714285714286,0.202127659574468,96.5397734308423,18149.4774049983,0.0866402647654127
6,13,89,240.569511496604,433.927998341484,0.140539245324601,0.999415806082615,0.0224719101123595,89,355.126452344801,449.619092656361,4.48975321748495,0.98735731121171,0.179775280898876,89,0.0089,0.0147034528333058,114.556940848197,15.6910943148772,0.136972008842921,-0.0120584948709054,1.68438257648927,0.23071326516175,1.45366931132752,19,0.0678571428571429,0.213483146067416,98.8658465333198,8799.06034146546,0.0420041250037017
7,12,117,325.668930529416,418.919461726889,10.7757830197497,0.966911848169758,0.452991452991453,117,382.364473540397,433.908170187775,27.796601637461,0.927303388361146,0.717948717948718,117,0.0117,0.0193292582190649,56.695543010981,14.988708460886,0.264371900591602,-0.0396084598086123,1.09588279072935,0.289720616210748,0.806162174518606,24,0.0857142857142857,0.205128205128205,41.706834550095,4879.69964236112,0.0232942502726511
8,11,139,355.126421733082,425.75900715074,4.33539673264792,0.987791962334173,0.20863309352518,139,396.04045228592,435.767934044655,11.5190859038214,0.970914370394908,0.525179856115108,139,0.0139,0.02296381959359,40.914030552838,10.0089268939153,0.244633118729023,-0.016877591939265,0.939542416462,0.229843191517302,0.709699224944698,16,0.0571428571428571,0.115107913669065,30.9051036589227,4295.80940859026,0.0205069301025444
9,5,644,0,353.956295991863,0,,0,644,30.2757519474911,378.81486087069,0,1,0,644,0.0644,0.10639352387246,30.2757519474911,24.8585648788269,0.821071758083516,,3.22114393758207,2.64479031587057,0.576353621711502,7,0.025,0.0108695652173913,5.41718706866416,3488.66847221972,0.0166538767682987
10,21,124,405.313258598587,502.120622225864,2.59685502475741,0.993592967982996,0.201612903225806,124,434.497947905568,506.648723161689,6.75485104268845,0.984453664107623,0.298387096774194,124,0.0124,0.0204857095655047,29.184689306981,4.52810093582468,0.155153302753905,-0.00913930387537287,0.597869068902304,0.0927613606545945,0.505107708247709,31,0.110714285714286,0.25,24.6565883711563,3057.41695802338,0.0145952089324873
